Time,x,y
7.704,5.227300509,1.283523909
7.742,5.269384267,1.276526612
7.78,5.311331112,1.269202267
7.817,5.352115891,1.261800732
7.854,5.392861371,1.254132877
7.892,5.43463771,1.245943363
7.93,5.476276029,1.237373848
7.967,5.517695525,1.228354377
8.005,5.557745653,1.219080216
8.043,5.59854372,1.209008683
8.081,5.638987794,1.198370426
8.119,5.679095703,1.187185039
8.157,5.718915698,1.175500408
8.195,5.758515959,1.163383717
8.233,5.797968309,1.150911277
8.271,5.842512164,1.136464392
8.309,5.876664861,1.125197942
8.347,5.915982459,1.112088823
8.385,5.955299438,1.098885069
8.424,5.99461207,1.085632244
8.462,6.034941224,1.072022951
8.5,6.074204025,1.058796389
8.538,6.113424736,1.045645908
8.576,6.15260139,1.032618085
8.614,6.191740059,1.019765028
8.651,6.229825748,1.007473847
8.689,6.268935334,0.995140423
8.727,6.308016616,0.983146347
8.765,6.346985554,0.971509859
8.803,6.385759065,0.960236475
8.841,6.424321132,0.949338108
8.879,6.462769485,0.938848083
8.918,6.501329954,0.928828916
8.956,6.541382743,0.919133594
8.994,6.581302312,0.91037865
9.032,6.62250918,0.902426095
9.07,6.668738993,0.894854381
9.108,6.70975496,0.889268846
9.146,6.75582137,0.884127074
9.184,6.803233349,0.87990996
9.222,6.851614405,0.876548899
9.26,6.900539068,0.873958542
9.298,6.949603635,0.872052659
9.336,6.998482251,0.870757219
9.374,7.046956918,0.870018604
9.412,7.094921846,0.869806456
9.45,7.142367609,0.870111899
9.488,7.189349133,0.870941812
9.526,7.235950051,0.872311165
9.564,7.282256991,0.874235793
9.602,7.328341431,0.876726062
9.64,7.374249925,0.87978266
9.678,7.420000643,0.883395215
9.716,7.464390194,0.887427645
9.755,7.510986594,0.892199494
9.793,7.557348183,0.897471984
9.831,7.602259648,0.903056262
9.869,7.646889264,0.90904982
9.907,7.691230737,0.915424932
9.945,7.735297715,0.922158757
9.983,7.779119976,0.929232696
10.021,7.822735725,0.936630741
10.059,7.866186153,0.94433762
10.096,7.909510452,0.952335256
10.135,7.952742565,0.960599108
10.173,7.995907405,0.969095883
10.211,8.039018219,0.977783149
10.25,8.083212599,0.986844897
10.288,8.126224887,0.995761494
10.327,8.16918706,1.004710338
10.365,8.213226092,1.013877072
10.403,8.25608416,1.022749074
10.441,8.298893891,1.031528156
