Time,traj,gen
4.3500000000000005,-2.4866312733207407,-2.4866262175507456
4.36,-2.487807928509276,-2.4878027897815382
4.37,-2.488958059166339,-2.4889528478465848
4.38,-2.4900816198813702,-2.490076346353943
4.39,-2.491178566734955,-2.491173241384715
4.4,-2.492248857294262,-2.492243490488713
4.41,-2.493292450608606,-2.493287052680276
4.42,-2.494309307205137,-2.4943038884342394
4.43,-2.4952993890846553,-2.4952939596820394
4.44,-2.4962626597175386,-2.4962572298079677
4.45,-2.497199084039794,-2.497193663645557
4.46,-2.4981086284492195,-2.498103227474103
4.47,-2.4989912608016813,-2.498985889015318
4.48,-2.4998469504074974,-2.4998416174301115
4.49,-2.500675668027932,-2.5006703833154935
4.5,-2.501477385871791,-2.5014721587016044
4.51,-2.5022520775921264,-2.5022469170488577
4.5200000000000005,-2.5029997182830357,-2.5029946332452027
4.53,-2.503720284476563,-2.503715283603498
4.54,-2.504413754139698,-2.504408845858996
4.55,-2.505080106671465,-2.5050752991669327
4.5600000000000005,-2.5057193229001125,-2.5057146241002264
4.57,-2.506331385080385,-2.506326802647273
4.58,-2.506916276890893,-2.506911818209845
4.59,-2.50747398343156,-2.5074696556010845
4.6000000000000005,-2.508004491221168,-2.5080003010435923
4.61,-2.5085077881949736,-2.508503742167607
4.62,-2.508983863702419,-2.508979968009276
4.63,-2.509432708504914,-2.5094289690090106
4.64,-2.509854314773704,-2.5098507370099297
4.65,-2.510248676087811,-2.5102452652563825
4.66,-2.5106157874320556,-2.5106125483925528
4.67,-2.5109556451951516,-2.510952582461143
4.68,-2.5112682471678727,-2.511265364902132
4.69,-2.511553592541296,-2.511550894551608
4.7,-2.5118116819051126,-2.5118091716406745
4.71,-2.512042517246009,-2.5120401977944247
4.72,-2.5122461019461184,-2.5122439760309834
4.73,-2.5124224407815396,-2.512420510760618
4.74,-2.51257153992092,-2.5125698077849115
4.75,-2.5126934069241043,-2.512691874295999
4.76,-2.5127880507408507,-2.5127867188758644
4.7700000000000005,-2.512855481709606,-2.5128543514956974
4.78,-2.5128957115563453,-2.5128947835153066
4.79,-2.5129087533934715,-2.512908027682588
4.8,-2.512894621718776,-2.512894098133051
4.8100000000000005,-2.512853332414458,-2.512853010389393
4.82,-2.512784902746203,-2.512784781361127
4.83,-2.512689351362318,-2.512689429344258
4.84,-2.5125666982929236,-2.51256697402101
4.8500000000000005,-2.512416964949203,-2.512417436459598
4.86,-2.512240174122705,-2.512240839114042
4.87,-2.5120363499847005,-2.512037205824034
4.88,-2.5118055180855956,-2.5118065618148386
4.89,-2.5115477053543955,-2.51154893369724
4.9,-2.511262940098221,-2.511264349467529
4.91,-2.5109512520018766,-2.510952838507528
4.92,-2.51061267212747,-2.510614431584655
4.93,-2.5102472329140824,-2.510249160852024
4.94,-2.509854968177487,-2.509857059848582
4.95,-2.509435913109918,-2.5094381634992793
4.96,-2.5089901042798908,-2.508992508115276
4.97,-2.5085175796320622,-2.508520131394179
4.98,-2.508018378487149,-2.508021072420312
4.99,-2.507492541541886,-2.507495371665017
5.0,-2.506940110869034,-2.506943070986987
5.01,-2.5063611299174338,-2.506364213632624
5.0200000000000005,-2.505755643512104,-2.5057588442364302
5.03,-2.5051236978543887,-2.505127008821424
5.04,-2.5044653405221444,-2.5044687547995848
5.05,-2.503780620469977,-2.5037841309723246
5.0600000000000005,-2.5030695880295197,-2.5030731875309824
5.07,-2.5023322949097557,-2.502335976057348
5.08,-2.5015687941973854,-2.5015725495242056
5.09,-2.500779140357236,-2.500782962295907
5.1000000000000005,-2.4999633892327147,-2.499967270128963
5.11,-2.4991215980463024,-2.4991255301726603
5.12,-2.498253825400095,-2.498257800969702
5.13,-2.4973601312763813,-2.4973641424568673
5.14,-2.496440577038266,-2.4964446159656957
5.15,-2.4954952254303326,-2.4954992842231905
5.16,-2.4945241405793506,-2.494528211352545
5.17,-2.4935273879950204,-2.493531462873888
5.18,-2.492505034570762,-2.49250910570505
5.19,-2.4914571485845434,-2.4914612081623515
5.2,-2.49038379969975,-2.490387839961408
5.21,-2.489285058966094,-2.4892890722179577
5.22,-2.488160998820565,-2.4881649774487076
5.23,-2.4870116930884216,-2.4870156295721997
5.24,-2.485837216984219,-2.4858411039096957
5.25,-2.4846376471128835,-2.4846414771860834
5.26,-2.4834130614708188,-2.483416827530799
5.2700000000000005,-2.4821635394470594,-2.482167234478773
5.28,-2.4808891618244586,-2.480892778971391
5.29,-2.479590010780919,-2.4795935433574794
5.3,-2.4782661698906585,-2.478269611394307
5.3100000000000005,-2.476917724125523,-2.476921068248605
5.32,-2.4755447598563287,-2.4755480004976125
5.33,-2.4741473648542525,-2.4741504961301373
5.34,-2.472725628292255,-2.472728644547638
5.3500000000000005,-2.4712796407465474,-2.4712825365653286
5.36,-2.469809494198093,-2.469812264413302
5.37,-2.468315282034151,-2.468317921737675
5.38,-2.46679709904986,-2.466799603601756
5.39,-2.465255041449855,-2.4652574064872326
5.4,-2.4636892068499283,-2.463691428295382
5.41,-2.4620996942787277,-2.4621017683483064
5.42,-2.460486604179493,-2.460488527390187
5.43,-2.458850038411832,-2.4588518075885655
5.44,-2.4571901002535337,-2.4571917125356477
5.45,-2.455506894402422,-2.4555083472496313
5.46,-2.453800526978246,-2.4538018181760592
5.47,-2.4520711055246114,-2.4520722331891998
5.48,-2.450318739010948,-2.45031970159345
5.49,-2.4485435378345155,-2.448544334124768
5.5,-2.446745613822452,-2.446746242952133
5.51,-2.444925080233855,-2.4449255416790328
5.5200000000000005,-2.4430820517619054,-2.443082345344976
5.53,-2.4412166445360266,-2.4412167704270415
5.54,-2.439328976124084,-2.439328934841451
5.55,-2.437419165534622,-2.437418957945176
5.5600000000000005,-2.435487333219139,-2.4354869605375757
5.57,-2.433533601074402,-2.4335330648620648
5.58,-2.4315580924447953,-2.4315573946078173
5.59,-2.429560932124712,-2.429560074911504
5.6000000000000005,-2.4275422463609804,-2.427541232359063
5.61,-2.425502162855329,-2.4255009949875044
5.62,-2.4234408107668894,-2.423439492286757
5.63,-2.421358320714736,-2.421356855201544
5.64,-2.4192548247804653,-2.419253216133305
5.65,-2.4171304565108076,-2.4171287089421494
5.66,-2.414985350920283,-2.414983468948855
5.67,-2.412819644493889,-2.412817632936905
5.68,-2.4106334751898264,-2.410631339154565
5.69,-2.4084269824422626,-2.408424727317005
5.7,-2.4062003071641316,-2.4061979386084635
5.71,-2.403953591749968,-2.4039511156844555
5.72,-2.401686980078782,-2.401684402674026
5.73,-2.3994006175169633,-2.399397945182049
5.74,-2.397094650921227,-2.397091890291574
5.75,-2.3947692286415925,-2.394766386566218
5.76,-2.3924245005243945,-2.3924215840526104
5.7700000000000005,-2.3900606179153345,-2.390057634282883
5.78,-2.3876777336625614,-2.3876746902772132
5.79,-2.3852760021197894,-2.3852729065464158
5.8,-2.382855579149448,-2.3828524390945893
5.8100000000000005,-2.3804166221258667,-2.3804134454218144
5.82,-2.37795928993849,-2.3779560845269048
5.83,-2.3754837429951254,-2.3754805169102142
5.84,-2.3729901432252296,-2.372986904576497
5.8500000000000005,-2.3704786540832137,-2.3704754110378254
5.86,-2.36794944055179,-2.3679462013165646
5.87,-2.365402669145345,-2.3653994419484032
5.88,-2.36283850791334,-2.3628353009854424
5.89,-2.3602571264437455,-2.3602539479993436
5.9,-2.3576586958665,-2.357655554084536
5.91,-2.3550433888569975,-2.3550402918614832
5.92,-2.3524113796396025,-2.3524083354800096
5.93,-2.34976284399119,-2.349759860622689
5.94,-2.3470979592447123,-2.34709504450829
5.95,-2.3444169042927876,-2.34441406589529
5.96,-2.341719859591315,-2.3417171050854453
5.97,-2.339007007163109,-2.339004343927422
