,Time,traj_x,traj_y,gen_x,gen_y
117,6.83,4.121553131,1.204390707,4.777722590387125,1.9802386952655975
118,6.868,4.173495898,1.218239475,4.799736136465879,1.9570291595700628
119,6.906,4.225029643,1.231027767,4.820999871570024,1.9331888557868309
120,6.944,4.276262541,1.242810203,4.841515509417598,1.9087190663599531
121,6.982,4.32727621,1.253639694,4.8612993918817,1.8836315219870283
122,7.02,4.378113498,1.263557697,4.880385848138927,1.8579501823965658
123,7.058,4.4287781,1.272589371,4.898830895443811,1.8317131811538343
124,7.096,4.47924035,1.280742836,4.9167160236677185,1.8049747810179737
125,7.134,4.529447047,1.288012288,4.934151707052723,1.777807123001434
126,7.172,4.579335474,1.294383489,4.951280173714468,1.7503014914345185
127,7.21,4.628848697,1.299839977,4.96827685266962,1.722568767400488
128,7.248,4.677948056,1.304368398,4.985349837750102,1.6947387184396745
129,7.286,4.726621491,1.307961005,5.002736696826608,1.6669577927090284
130,7.324,4.774882992,1.310616614,5.020698058340009,1.63938517094918
131,7.362,4.822766785,1.312338913,5.039507665226796,1.6121869938687254
132,7.4,4.870282781,1.313116004,5.059439016945732,1.5855289253260434
133,7.438,4.917354511,1.312899795,5.080749299849339,1.5595675091054102
134,7.476,4.963848793,1.311631564,5.103661954301634,1.5344410781780797
135,7.514,5.009629696,1.309276498,5.1283498065092115,1.5102612076169897
136,7.552,5.054604558,1.305848286,5.154921033098539,1.4871057890811874
137,7.59,5.098757019,1.301419773,5.183410170032799,1.4650146911112851
138,7.628,5.142158024,1.296117756,5.213775841835636,1.443988647851326
139,7.666,5.184947916,1.290099508,5.2459059142264985,1.4239915417322981
140,7.704,5.227300509,1.283523909,5.279629544345325,1.404955716494156
141,7.742,5.269384267,1.276526612,5.314734401786074,1.3867894997155283
142,7.78,5.311331112,1.269202267,5.350986465685179,1.3693858336778015
143,7.817,5.352115891,1.261800732,5.388149493964478,1.3526308630776156
144,7.854,5.392861371,1.254132877,5.4255224097281225,1.336393924130349
145,7.892,5.43463771,1.245943363,5.463055336347971,1.3205706987603854
146,7.93,5.476276029,1.237373848,5.5012478002343315,1.3051147361377509
147,7.967,5.517695525,1.228354377,5.539856366772676,1.289932902659601
148,8.005,5.557745653,1.219080216,5.578088451773638,1.274879038202387
149,8.043,5.59854372,1.209008683,5.61673524602145,1.2600035453899388
150,8.081,5.638987794,1.198370426,5.655578863086539,1.2452324538582582
151,8.119,5.679095703,1.187185039,5.694486534131637,1.23051112261996
152,8.157,5.718915698,1.175500408,5.7333816459665226,1.2158001298355132
153,8.195,5.758515959,1.163383717,5.772222368043465,1.2010714135606024
154,8.233,5.797968309,1.150911277,5.810987167129969,1.1863052002691163
155,8.271,5.842512164,1.136464392,5.849665774281592,1.1714878079431754
156,8.309,5.876664861,1.125197942,5.888253989553678,1.156610185224389
157,8.347,5.915982459,1.112088823,5.9267509143951544,1.1416669800799069
158,8.385,5.955299438,1.098885069,5.9651575722690104,1.1266559503834015
159,8.424,5.99461207,1.085632244,6.003476249788418,1.1115775801157115
160,8.462,6.034941224,1.072022951,6.042780319986649,1.096656023048401
161,8.5,6.074204025,1.058796389,6.081062425294379,1.0814500326968524
162,8.538,6.113424736,1.045645908,6.119138967915743,1.0661638929539168
163,8.576,6.15260139,1.032618085,6.15713289630467,1.0508355041448199
164,8.614,6.191740059,1.019765028,6.195062313597203,1.0354789620209144
165,8.651,6.229825748,1.007473847,6.2329342861879065,1.0201074440010727
166,8.689,6.268935334,0.995140423,6.2694230509579425,1.004429838778413
167,8.727,6.308016616,0.983146347,6.307339792861715,0.9891372260845752
168,8.765,6.346985554,0.971509859,6.345076170565546,0.9738403584426493
169,8.803,6.385759065,0.960236475,6.382803606478868,0.9586014150633468
170,8.841,6.424321132,0.949338108,6.4205073134900355,0.9434370715441168
171,8.879,6.462769485,0.938848083,6.458200694459686,0.9283730055570673
172,8.918,6.501329954,0.928828916,6.495892210401141,0.9134354844442008
173,8.956,6.541382743,0.919133594,6.535255718868003,0.8990648590930423
174,8.994,6.581302312,0.91037865,6.572324829324423,0.8842852066006529
175,9.032,6.62250918,0.902426095,6.610340271835383,0.8699632926694868
176,9.07,6.668738993,0.894854381,6.647993939887287,0.8557924883683248
177,9.108,6.70975496,0.889268846,6.685896389092408,0.8419647117459472
178,9.146,6.75582137,0.884127074,6.72376079529256,0.8284412501357511
179,9.184,6.803233349,0.87990996,6.761762845815659,0.8153053987862002
180,9.222,6.851614405,0.876548899,6.799819518195798,0.8025751065588561
181,9.26,6.900539068,0.873958542,6.838005802699323,0.7903112195123918
182,9.298,6.949603635,0.872052659,6.8762941994535804,0.778549541236791
