t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
5.33,0.5335335335335335,8.099742310121165,19.511479073098016,20.580841877751197,-17.34175400981308,5.699437850093529,-10.899411642120928,-2.5536428512932785,5.6114041763127105,1.986221941782097,-30.087922038395632
5.34,0.5345345345345345,8.10079228479999,19.509980509102267,20.582256157240497,-17.341444656031967,5.699092839003969,-10.897632420393194,-2.558885546235787,5.612075281555563,1.988491936702923,-30.088329698208458
5.3500000000000005,0.5355355355355356,8.101844487534088,19.508485719508503,20.583678690112635,-17.34113405000578,5.698752358535385,-10.895848869531553,-2.5641656991082513,5.612749084602063,1.9907659557371287,-30.088730989848415
5.36,0.5365365365365365,8.102898809738743,19.506994761801685,20.585109456407377,-17.34082216020754,5.69841641965401,-10.894060968527326,-2.5694832651115265,5.613425823897952,1.9930437597869477,-30.089125949904524
5.37,0.5375375375375375,8.103955138710056,19.505507693390456,20.586548435010894,-17.34050895602289,5.698085034481877,-10.892268697807358,-2.5748381921393535,5.614105741431884,1.995325105290094,-30.089514614809858
5.38,0.5385385385385385,8.10501335760208,19.504024571620384,20.587995603631345,-17.340194407768152,5.6977582163191,-10.890472039258654,-2.5802304207343103,5.614789082746624,1.997609744242368,-30.089897020864985
5.39,0.5395395395395395,8.106073345406399,19.50254545378739,20.589450938774576,-17.33987848670848,5.697435979666218,-10.888670976252866,-2.585659884049199,5.61547609694902,1.9998974242241483,-30.090273204261408
5.4,0.5405405405405406,8.107134976934207,19.50107039715134,20.590914415719897,-17.339561165076137,5.697118340246575,-10.886865493670639,-2.59112650781406,5.616167036718738,2.0021878884308415,-30.090643201104964
5.41,0.5415415415415415,8.108198122801001,19.499599458949827,20.592386008496025,-17.33924241608888,5.696805315028748,-10.885055577925774,-2.596630210308995,5.616862158315722,2.004480875707352,-30.091007047439227
5.42,0.5425425425425425,8.109262649413958,19.498132696412103,20.59386568985716,-17.338922213968395,5.696496922249007,-10.883241216989196,-2.602170902342969,5.617561721586333,2.006776120586633,-30.091364779268833
5.43,0.5435435435435435,8.110328418962071,19.496670166773217,20.59535343125925,-17.338600533958836,5.696193181433789,-10.881422400412706,-2.6077484872387764,5.618265989968169,2.0090733533323757,-30.091716432582754
5.44,0.5445445445445445,8.111395289409149,19.495211927288317,20.596849202836456,-17.338277352345393,5.695894113422205,-10.879599119352491,-2.6133628608243296,5.618975230493497,2.0113722999858856,-30.092062043377496
5.45,0.5455455455455456,8.112463114489744,19.493758035247108,20.598352973377832,-17.3379526464729,5.695599740388536,-10.87777136659237,-2.619013911430436,5.6196897137913036,2.0136726824171913,-30.092401647680212
5.46,0.5465465465465466,8.113531743708082,19.492308547988507,20.599864710304274,-17.337626394764467,5.695310085864738,-10.875939136566759,-2.6247015198952233,5.620409714087916,2.0159742183804257,-30.0927352815717
5.47,0.5475475475475475,8.114601022340082,19.49086352291546,20.60138437964572,-17.337298576740118,5.695025174762932,-10.874102425383331,-2.630425559575358,5.6211355092061766,2.0182766215735097,-30.093062981209275
5.48,0.5485485485485485,8.11567079143852,19.48942301750993,20.602911946018654,-17.33696917303541,5.694745033397876,-10.872261230845343,-2.6361858963642035,5.621867380563139,2.020579601702169,-30.093384782849533
5.49,0.5495495495495496,8.116740887841418,19.48798708934806,20.60444737260394,-17.33663816542002,5.6944696895094005,-10.870415552473606,-2.6419823887170546,5.622605613166277,2.0228828645483024,-30.093700722870917
5.5,0.5505505505505506,8.117811144183722,19.4865557961155,20.605990621124977,-17.336305536816287,5.694199172284814,-10.868565391528085,-2.6478148876835697,5.623350495608164,2.025186112042713,-30.094010837796148
5.51,0.5515515515515516,8.11888138891232,19.48512919562292,20.60754165182625,-17.335971271317682,5.6939335123812524,-10.866710751029101,-2.6536832369475283,5.624102320059622,2.0274890423422134,-30.094315164314466
5.5200000000000005,0.5525525525525525,8.119951446304457,19.48370734582169,20.609100423452247,-17.335635354207195,5.693672741947971,-10.864851635778106,-2.6595872728740164,5.624861382261308,2.0297913499110987,-30.09461373930365
5.53,0.5535535535535535,8.121021136489626,19.482290304819692,20.610666893226824,-17.33529777197562,5.693416894648567,-10.862988052378004,-2.6655268245641426,5.625627981513728,2.032092725606983,-30.09490659985185
5.54,0.5545545545545546,8.12209027547494,19.480878130897374,20.612241016832986,-17.334958512339703,5.693166005683121,-10.861120009253025,-2.6715017139173742,5.626402420665659,2.034392856770981,-30.095193783279157
5.55,0.5555555555555556,8.123158675174071,19.479470882523906,20.613822748393147,-17.33461756426017,5.692920111810251,-10.859247516668077,-2.6775117557015737,5.627185006100971,2.0366914273222094,-30.095475327158933
5.5600000000000005,0.5565565565565566,8.124226143439754,19.478068618373545,20.615412040449886,-17.33427491795956,5.692679251369056,-10.857370586747608,-2.683556757630803,5.627976047723826,2.038988117856583,-30.09575126933888
5.57,0.5575575575575575,8.125292484099933,19.476671397342148,20.617008843947204,-17.333930564939894,5.692443464300964,-10.855489233493907,-2.6896365204509487,5.628775858942254,2.0412826057498545,-30.096021647961805
5.58,0.5585585585585585,8.126357496997542,19.47527927856386,20.618613108212333,-17.33358449800014,5.692212792171436,-10.853603472804854,-2.6957508380332222,5.629584756650099,2.04357456526486,-30.096286501486112
5.59,0.5595595595595596,8.127420978033959,19.473892321427982,20.620224780938106,-17.333236711253445,5.691987278191554,-10.851713322491081,-2.7018994974755537,5.630403061207316,2.045863667662905,-30.096545868705938
5.6000000000000005,0.5605605605605606,8.128482719216148,19.472510585595977,20.621843808165917,-17.332887200144132,5.691766967239455,-10.84981880229252,-2.7080822792119115,5.631231096418624,2.0481495813192345,-30.09679978877099
5.61,0.5615615615615616,8.12954250870751,19.47113413101868,20.62347013426928,-17.332535961464416,5.691551905881607,-10.847919933894326,-2.714298957129545,5.632069189510515,2.0504319718425017,-30.097048301206
5.62,0.5625625625625625,8.130600130882426,19.469763017953643,20.625103701938034,-17.332182993370846,5.691342142393919,-10.84601674094215,-2.720549298694148,5.632917671106609,2.052710502198164,-30.09729144592984
5.63,0.5635635635635635,8.131655366384502,19.46839730698267,20.626744452163205,-17.33182829540045,5.6911377267826735,-10.844109249056725,-2.726833065082921,5.633776875201362,2.054984832835709,-30.09752926327422
5.64,0.5645645645645646,8.132707992188525,19.46703705902951,20.628392324222535,-17.33147186848651,5.690938710805265,-10.842197485847757,-2.733150011325492,5.634647139132128,2.05725462181961,-30.097761794002007
5.65,0.5655655655655656,8.133757781666088,19.465682335377714,20.63004725566672,-17.331113714974048,5.690745147990736,-10.840281480927118,-2.7394998864526543,5.635528803549582,2.059519524963908,-30.09798907932512
5.66,0.5665665665665666,8.134804504654877,19.464333197688656,20.631709182306377,-17.330753838634894,5.690557093660097,-10.838361265921279,-2.745882433652852,5.636422212386511,2.061779195970299,-30.098211160921984
5.67,0.5675675675675675,8.1358479275316,19.462989708019737,20.633378038199723,-17.33039224468238,5.690374604946424,-10.836436874482994,-2.7522973904363326,5.637327712824976,2.0640332865696007,-30.098428080954548
