t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
0.24,0.024024024024024024,7.002520215274809,-32.59103005255923,-17.913345072438005,3.6579608591181825,-12.57586179117674,5.808452536509952,19.69948369164947,40.56964561094395,-5.455816487883357,22.737717301134932,-22.97253275616452,-7.04821303910566,-5.98045159906094,9.954265105630798,-25.37819890999789,-0.47543896268647967,-12.87286383270877,33.34186413369158,7.109406708263382,-31.254938200636865,-15.143200569420646,31.632707032289026,-13.72381918941759,28.973505257357182,6.914374160046629,-15.144398393916045,37.57750338493724,5.5613771465748165,9.271025274301643,-15.799633734639206,31.441350145743606,-31.42169898464949,-32.49272480947642
0.25,0.025025025025025023,7.001708166421277,-32.59097965779344,-17.914597176918885,3.658186222896986,-12.575953468252148,5.8087784529967,19.699405381433614,40.56987571429107,-5.456766735866748,22.737991692289068,-22.973372099364127,-7.047868506076166,-5.98082506190919,9.954401765661872,-25.37889441572315,-0.47485363623398685,-12.873084433813794,33.34266580240536,7.109153061877739,-31.25512360167584,-15.142690280517602,31.633406228155867,-13.724132670654571,28.973846383589073,6.913770568872847,-15.144767789410565,37.57892453655933,5.5621164213026315,9.271230863437653,-15.79940444906868,31.441732340971008,-31.421976515915805,-32.49291092643805
0.26,0.026026026026026026,7.000857001643944,-32.5908999163256,-17.915886808062094,3.6584178036671076,-12.576038587941898,5.809113411417477,19.69930717659786,40.57008204271155,-5.457752004461695,22.73825928812956,-22.974227629388984,-7.047504017053761,-5.981209016006903,9.954536548975387,-25.379597625832748,-0.4742439623221209,-12.8733036378837,33.34347307110559,7.108882990785202,-31.25529095011958,-15.142145451052533,31.63410804682667,-13.724447706510709,28.97417824919763,6.913136426083893,-15.14513949087239,37.58037235509823,5.5628822358323715,9.271437498243472,-15.799151855907608,31.442104254389694,-31.422239895557528,-32.49307766787645
0.27,0.02702702702702703,6.999966794974063,-32.59079080992877,-17.91721398583095,3.658655575356039,-12.576117172398785,5.809457423322741,19.69918902770718,40.57026462639774,-5.458772294135027,22.73852016256744,-22.975099391537718,-7.047119589185396,-5.9816034456274725,9.954669526344713,-25.380308531779264,-0.47361001913942097,-12.873521475120278,33.34428591562032,7.108596491441473,-31.255440314988228,-15.141565996507206,31.634812455720354,-13.724764299189758,28.974500922681944,6.91247177714735,-15.145513444082768,37.58184669612446,5.563674617334073,9.271645186963955,-15.798875904127508,31.442465882328623,-31.422489203372567,-32.49322502755201
0.28,0.028028028028028028,6.999037623951976,-32.59065231879446,-17.918578729779274,3.6588995111047247,-12.576189245021796,5.809810499829086,19.699050882416685,40.570423495847955,-5.459827604903637,22.738774392549907,-22.975987432624155,-7.046715238916926,-5.982008333214752,9.954800771262066,-25.381027124450192,-0.47295188875637556,-12.873737977912683,33.345104310136804,7.1082935596935295,-31.255571769812743,-15.14095182744288,31.635519421130414,-13.725082451049285,28.974814474964557,6.911776670190298,-15.145889591795124,37.58334741004865,5.564493592908741,9.271853938078777,-15.798576541078683,31.442817221586626,-31.422724523662716,-32.493352998955785
0.29,0.029029029029029027,6.998069569645513,-32.59048442155031,-17.9199810590158,3.659149583281498,-12.57625483045868,5.8101726516031595,19.698892685447436,40.570558681865634,-5.460917936288485,22.73902205806699,-22.976891800975395,-7.046290982010391,-5.982423659395663,9.954930359955137,-25.381753394170982,-0.47226965714720204,-12.873953180839756,33.34592822719654,7.10797419079072,-31.255685392631527,-15.14030284948348,31.636228908216193,-13.725402164599508,28.975118979404275,6.91105115600559,-15.14626787373161,37.58487434209624,5.565339189539466,9.27206376030479,-15.79825371247516,31.443158269420845,-31.42294594522568,-32.49346157531107
0.3,0.03003003003003003,6.997062716668573,-32.590287095278896,-17.921420992167405,3.6594057634967805,-12.57631395460851,5.810543888845057,19.698714378561533,40.57067021555833,-5.462043287267085,22.739263242158497,-22.977812546429828,-7.04584683356191,-5.982849402993474,9.955058371404236,-25.38248733070826,-0.47156341421228176,-12.874167120672425,33.34675763768999,7.107638379396319,-31.25578126598678,-15.139618963297922,31.636940880993983,-13.725723442502051,28.975414511809365,6.910295288057992,-15.1466482265794,37.58642733228221,5.566211434040655,9.272274662598388,-15.797907362379073,31.443489023534706,-31.42315356134667,-32.49355074957531
0.31,0.031031031031031032,6.996017153199811,-32.59006031553763,-17.922898547341124,3.659668022618556,-12.576366644624239,5.810924221271183,19.698515900536417,40.57075812833659,-5.463203656224506,22.739498030921236,-22.978749720335124,-7.045382808020199,-5.9832855410417665,9.955184887359986,-25.383228923273176,-0.4708332538012148,-12.874379836376187,33.34759251085108,7.107286119599532,-31.255859476920612,-15.13890006458161,31.637655302328003,-13.72604628756862,28.975701150451126,6.909509122490136,-15.147030583986696,37.588006215386024,5.567110353005375,9.27248665415787,-15.79753743318451,31.443809482065447,-31.423347469789505,-32.49362051444231
0.32,0.03203203203203203,6.994932971001397,-32.58980405637972,-17.924413742084976,3.6599363307886232,-12.576412928915227,5.811313658096577,19.69829718713842,40.57082245191269,-5.464399040902901,22.739726513516498,-22.979703375546162,-7.04489891920571,-5.9837320487990775,9.955309992361531,-25.38397816052496,-0.47007927373645747,-12.87459136911367,33.34843281425143,7.10691740492793,-31.255920116970852,-15.138146044037118,31.638372133921255,-13.726370702759585,28.975978976077872,6.908692718128276,-15.14741487655849,37.58961082092679,5.568035972750795,9.272699744425829,-15.797143865600821,31.444119643571177,-31.423527772787253,-32.493670862344764
0.33,0.03303303303303303,6.993810265437763,-32.58951829037631,-17.925966593347642,3.6602106574396336,-12.576452837149773,5.81171220801672,19.69805817109552,40.570863218299245,-5.465629438349591,22.739948782177812,-22.980673566422908,-7.044395180330387,-5.98418889976422,9.955433773755288,-25.384735030574593,-0.46930157583750237,-12.874801762247241,33.34927851379435,7.106532228360314,-31.255963282166555,-15.137356787354046,31.63909133630623,-13.726696691182482,28.9762480719293,6.907846136487795,-15.14780103185203,37.59124097313868,5.568988319261738,9.272913943091549,-15.796726598635361,31.4444195070175,-31.42369457703235,-32.493701785457105
0.34,0.03403403403403403,6.992649135494285,-32.58920298863969,-17.927557117436958,3.6604909713129192,-12.576486400257608,5.812119879188799,19.697798782069352,40.57088045980767,-5.466894844863723,22.740164932218946,-22.98166034882822,-7.043871604018051,-5.984656065692277,9.955556321714226,-25.38549952098866,-0.4685002659455618,-12.875011061341702,33.35012957370859,7.1061305823400085,-31.2559890730232,-15.136532175188103,31.639812868835506,-13.727024256090429,28.976508523751257,6.906969441778435,-15.148188974372033,37.59289649094678,5.5699674181323395,9.273129260093413,-15.79628556957569,31.444709071763636,-31.4238479936662,-32.493713275698695
0.35000000000000003,0.035035035035035036,6.99144968379583,-32.588858120847654,-17.929185329977276,3.66077724047712,-12.576513650432368,5.812536679212454,19.69751894662635,40.57087420904652,-5.46819525594152,22.740375062042165,-22.98266378012558,-7.043328202325401,-5.985133516611267,9.955677729257681,-25.386271618793373,-0.4676754539487113,-12.875219314167015,33.350985956541834,7.105712458788547,-31.255997594537554,-15.135672083139394,31.64053668967222,-13.727353400880451,28.97676041981088,6.906062700909206,-15.1485786255656,37.59457718794323,5.570973294505802,9.273345705621336,-15.79582071397121,31.444988337548097,-31.42398813826824,-32.49370532473729
