t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
7.58,0.7587587587587588,24.304348564073866,-0.8493737126156726,43.17204582908609,-0.8897165014705862,-19.72837433537073,-7.138205102744237,18.030850831238013,-7.125055164839814,-32.277035818009665,-13.420038549907167,43.167442867046596,-13.415162247920037,-0.8377335079234188,24.293520273321302,36.91490767312586,-25.965522134779604,-19.709548998296135,-26.03292657627772,-19.700948769076458,43.16834563027857,-19.70602134682125,-25.996790727690804,5.442012729094099,-0.8470766867498454,24.29872534008131,11.750374600471696,11.72286853681338,-25.967699991371894,5.449809302462044,-26.05846195902161,-25.979190754698113,-0.8749543130510283,-0.8253227489256094,24.295472571321362
7.59,0.7597597597597597,24.30424262912225,-0.8493337586529341,43.172016026992054,-0.889246256136122,-19.728210779420007,-7.138107804088015,18.030818397809707,-7.125018990174457,-32.27694072082923,-13.420167143037567,43.16743344124327,-13.41513201672282,-0.8377239906441972,24.29348688330642,36.91488396184778,-25.966014686421,-19.709493390165274,-26.032785201396724,-19.700890748619177,43.168234138041846,-19.706047899120108,-25.996690155477147,5.442044682983663,-0.8470182303419063,24.298714224687245,11.750245536405153,11.722839607431748,-25.968023624411035,5.449774439722059,-26.058252572860066,-25.97933627041999,-0.8749317395810648,-0.8253183890057086,24.295515198784155
7.6000000000000005,0.7607607607607607,24.304137647433567,-0.8492944681870627,43.17198604831421,-0.8887809513564807,-19.728048744290724,-7.138012226258382,18.03078599959895,-7.124983650918481,-32.27684709069159,-13.420293897063411,43.167423416650834,-13.415102460885912,-0.8377148211397071,24.29345370761594,36.91485873570088,-25.966500491692695,-19.70943856900623,-26.03264519175647,-19.70083364083781,43.1681241034478,-19.706073312531846,-25.996591147746887,5.442076010652029,-0.8469613259243427,24.298703148899282,11.75011734486781,11.722810806162824,-25.968342824239016,5.449740189632211,-26.058043974746646,-25.97947773222833,-0.8749085761313841,-0.8253148880008524,24.29555762751072
7.61,0.7617617617617618,24.304033613746274,-0.8492558300931571,43.17195589771006,-0.8883205398598852,-19.727888214316167,-7.137918339299006,18.030753637986052,-7.124949130995447,-32.27675490688439,-13.420418831130045,43.1674128043539,-13.415073566271523,-0.8377059934637208,24.293420749314354,36.91483202353246,-25.96697963224974,-19.709384520230945,-26.032506526379194,-19.700777430558542,43.16801550114178,-19.706097614160303,-25.996493679122043,5.442106722406069,-0.8469059453240986,24.29869211067251,11.749990024160674,11.722782135739372,-25.968657643996256,5.4497065372807905,-26.057836164445582,-25.97961523541141,-0.874884837107977,-0.8253122270631196,24.295599851171048
7.62,0.7627627627627628,24.30393052269915,-0.849217833432059,43.171925579701096,-0.8878649747750953,-19.72772917398962,-7.137826113731056,18.030721314264504,-7.124915414631331,-32.276664148913085,-13.420541964235516,43.16740161527928,-13.41504531900656,-0.8376975017691629,24.29338801125976,36.9148038538646,-25.967452188838806,-19.70933122950801,-26.032369184586255,-19.70072210286465,43.16790830619537,-19.70612083054347,-25.99639772459571,5.442136828362148,-0.8468520607449598,24.298681108014744,11.749863572448767,11.722753598797535,-25.96896813629221,5.449673468070369,-26.05762914169549,-25.979748873231312,-0.8748605366375921,-0.8253103876949347,24.295641863612364
7.63,0.7637637637637638,24.30382836883701,-0.8491804674473162,43.17189509867742,-0.8874142096286814,-19.7275716079633,-7.13773552054696,18.030689029644186,-7.124882486349094,-32.276574796500256,-13.420663315231476,43.16738986019797,-13.415017705478483,-0.8376893403064322,24.293355496111324,36.91477425489433,-25.967918241307927,-19.70927868275926,-26.032233145995164,-19.700667643092377,43.16780249410011,-19.706142987664244,-25.996303259527643,5.442166338450317,-0.8467996447647536,24.298670138985997,11.749737987765862,11.722725197878543,-25.969274353208757,5.449640967712312,-26.057422906208814,-25.97987873696361,-0.874835688572815,-0.825309351742853,24.295683658857634
7.640000000000001,0.7647647647647647,24.303727146616215,-0.8491437215621919,43.17186445890229,-0.8869681983423,-19.72741550104727,-7.137646531204199,18.030656785254493,-7.124850330963349,-32.27648682958493,-13.420782902824032,43.16737754972714,-13.414990712331216,-0.8376815034217499,24.293323206336485,36.91474325449401,-25.96837786861613,-19.709226866156353,-26.032098390516612,-19.700614036826863,43.16769804076127,-19.706164110961037,-25.996210259639835,5.442195262418397,-0.8467486703325154,24.298659201697927,11.74961326801908,11.722696935430418,-25.96957634630355,5.449609022221369,-26.057217457671328,-25.98000491593631,-0.8748103064970676,-0.82530910139145,24.29572523110399
7.65,0.7657657657657657,24.30362685041001,-0.8491075853767187,43.171833664516505,-0.8865268952299695,-19.72726083820832,-7.137559117619149,18.030624582147386,-7.124818933575101,-32.27640022832183,-13.420900745574603,43.16736469433206,-13.414964326461094,-0.8376739855555358,24.293291144217974,36.91471088021169,-25.968831148842956,-19.709175766117387,-26.031964898351493,-19.700561269898134,43.167594922491745,-19.706184225338173,-25.99611870101214,5.442223609835964,-0.8466991107656237,24.298648294313267,11.74948941099338,11.72266881380967,-25.969874166613458,5.449577617910335,-26.057012795741652,-25.980127497568095,-0.8747844037295256,-0.8253096191573145,24.295766574721103
7.66,0.7667667667667668,24.30352747451366,-0.8490720486648008,43.171802719542605,-0.8860902549953495,-19.727107604568847,-7.137473252160962,18.030592421300355,-7.1247882795665785,-32.276314973080595,-13.42101686190074,43.167351304328,-13.414938535012855,-0.8376667812408114,24.2932593118606,36.91467715927165,-25.969278159197863,-19.7091253693035,-26.03183264998791,-19.700509328377116,43.16749311600594,-19.706203355176125,-25.996028560077924,5.442251390098234,-0.8466509397469042,24.298637415045246,11.749366414355913,11.722640835282977,-25.970167864657935,5.449546741384777,-26.056808920050823,-25.98024656740588,-0.8747579933299554,-0.8253108878831444,24.295807684249475
7.67,0.7677677677677678,24.303429013149447,-0.8490371013713574,43.17177162788898,-0.8856582327290231,-19.72695578540569,-7.137388907645499,18.030560303619318,-7.124758354596142,-32.27623104444495,-13.421131270076938,43.16733738988218,-13.41491332537567,-0.837659885101628,24.293227711197822,36.914642118575,-25.96971897602953,-19.709075662615493,-26.031701626198185,-19.700458198571738,43.16739259841382,-19.706221524341547,-25.995939813619742,5.442278612429852,-0.8466041313217076,24.298626562156986,11.749244275660274,11.722613002028858,-25.970457490442467,5.449516379537842,-26.056605830201875,-25.980362209161672,-0.8747310881034723,-0.8253128907319428,24.2958485543987
