t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
0.27,0.02702702702702703,-17.835436959962518,-40.27608573401997,3.0660984237920865,-27.048551900803446,-20.613546325056866,9.914218845767389,33.836474461212504,-11.642098090648629,-0.1917667886780474,19.67081162183062,-9.165534936666548,34.016074806319104,-31.436771517430117,26.32930231777075,35.582941855966716,-11.387171898322656,12.85021441220317,27.052077663013108,16.30359450090671,-9.498202026736116,-8.739657482869807,1.2314145188439745,-1.7661753196800887,11.378106437993434,37.62759029121446,-23.931873602846437,8.538105927808036,-28.319842515581946,-25.39946619143776,-3.5836180332896865,6.908082742568139,-35.09422351861015,-16.64647184104695,18.155668894123824,-3.5846654228678436,13.952313017279515,6.889061418093833,7.9832321149758405,-6.375173229410916,-7.4936024937620305,36.548680320959896,-14.61408654738964,-9.80239861394677
0.28,0.028028028028028028,-17.835646340117314,-40.27701003687389,3.065846990405852,-27.0490651571001,-20.613667026918538,9.91314801402532,33.83702141331584,-11.641695284094201,-0.19157004966863025,19.671754998746565,-9.166055451902196,34.015693938461716,-31.4373309245357,26.33009386907636,35.5827623606998,-11.386100500173393,12.851315308759986,27.05306578427274,16.304083172647392,-9.498775509614957,-8.740446501061113,1.2317968829581474,-1.7656062984495553,11.378045734688268,37.6282648295683,-23.931961015704836,8.538457268836888,-28.320916938205634,-25.3994099145279,-3.5833787980549716,6.908457087503805,-35.095338203612236,-16.646989106778054,18.156115611689685,-3.5844971763432687,13.952522836419396,6.8894837594063425,7.983455076251518,-6.375352525530495,-7.4941453054286145,36.5490135819365,-14.614375189556787,-9.80342166383987
0.29,0.029029029029029027,-17.83585033529153,-40.277939351033595,3.0655839203698494,-27.049577558848462,-20.61377683755606,9.912029573150685,33.83756292437105,-11.641268509243469,-0.1913654110811113,19.67271894259308,-9.166588817912352,34.01527353512431,-31.437887200096156,26.330896041638887,35.58254937945592,-11.384979961318548,12.852448581674977,27.05407014477678,16.304577141457123,-9.499363530097813,-8.741257470032409,1.232192799968962,-1.7650154663071458,11.37797449879273,37.62893660751356,-23.932033532187255,8.538815466304372,-28.322010916738787,-25.39933246835995,-3.5831288006493147,6.9088406464955305,-35.09646827405132,-16.647513389343846,18.15656548364164,-3.58432024285019,13.95273057872217,6.8899176069771215,7.983680793388252,-6.375533324587222,-7.49470294921257,36.54933206115241,-14.61466454898524,-9.804474230206907
0.3,0.03003003003003003,-17.836048939800506,-40.27887375133797,3.0653091964508503,-27.05008911973358,-20.613875753998773,9.910863449500278,33.838098930370464,-11.640817733230275,-0.19115281593740166,19.673703468662026,-9.167135075438631,34.01481355527979,-31.43844027580998,26.331708922427712,35.58230285924086,-11.383810195976196,12.853614326704019,27.05509071176531,16.30507633032687,-9.499966131883046,-8.742090318873744,1.232602292864008,-1.7644028849129403,11.377892733850588,37.629605636847195,-23.932091116885243,8.53918052612382,-28.32312454686461,-25.39923381982926,-3.5828681212332976,6.909233461113069,-35.09761375017913,-16.64804471109623,18.157018504446103,-3.5841346537295027,13.952936274551023,6.890363031414794,7.9839093081741845,-6.375715584494297,-7.495275461026802,36.54963574578583,-14.614954701231431,-9.805556200817795
0.31,0.031031031031031032,-17.836242146394916,-40.279813315990964,3.0650228007145293,-27.050599853395106,-20.61396377299315,9.909649567075673,33.8386293661009,-11.640342922604399,-0.19093220467947153,19.67470859255974,-9.167694266776499,34.01431395566849,-31.438990080163375,26.33253260153338,35.582022745719115,-11.382591116915291,12.854812641821514,27.056127451236144,16.305580660077364,-9.500583360072964,-8.742944974541846,1.233025385391753,-1.7637686178390632,11.377800443382732,37.63027193041785,-23.932133733700823,8.539552453840033,-28.324257927953738,-25.399113933832137,-3.582596842563148,6.909635574621046,-35.09877465282576,-16.648583095199964,18.157474668231288,-3.58394044136352,13.953139954496672,6.890820104550209,7.984140663832538,-6.375899261252983,-7.495862877756839,36.54992462260255,-14.615245723581783,-9.806667459897632
0.32,0.03203203203203203,-17.836429946252657,-40.28075812656694,3.0647247145415975,-27.05110977343171,-20.61404089100892,9.908387847586768,33.83915416514783,-11.639844043344379,-0.19070351515315162,19.67573433020215,-9.16826643577356,34.013774690838325,-31.439536538399175,26.333367172156606,35.581708983213986,-11.381322635543958,12.856043627196936,27.05718032788481,16.30609004934426,-9.501215261184425,-8.743821361864,1.2334621020559515,-1.7631127305668959,11.377697630883148,37.63093550213437,-23.93216134584262,8.53993125462244,-28.32541116304627,-25.398972773249078,-3.5823150499994956,6.910047031983759,-35.099951003376674,-16.649128565625574,18.157933968795128,-3.5837376391949998,13.953341649382276,6.891288899465855,7.984374905017101,-6.3760843089328585,-7.496465237264081,36.55019867795122,-14.615537695084889,-9.807807888120061
0.33,0.03303303303303303,-17.836612328970386,-40.28170826801585,3.064414918644624,-27.051618893405397,-20.614107104245377,9.907078210517927,33.83967325990024,-11.639321060870838,-0.1904666825910967,19.676780697809907,-9.168851627827834,34.01319571318662,-31.440079572484578,26.334212730596533,35.58136151470802,-11.380004662001719,12.857307385170246,27.058249305042736,16.306604414562717,-9.50186188315979,-8.744719403542362,1.233912468109619,-1.7624352904841643,11.377584299814869,37.63159636697453,-23.93217391582197,8.540316933257985,-28.32658435883309,-25.398810298927426,-3.582022831516343,6.91046787986988,-35.10114282374933,-16.64968114714215,18.15839639961351,-3.5835262817469125,13.953541390268448,6.891769490526226,7.984612077807394,-6.376270679651197,-7.497082578389124,36.550457897758285,-14.615830696584686,-9.808977362600533
0.34,0.03403403403403403,-17.836789282554708,-40.28266382866841,3.064093393085556,-27.052127226845688,-20.614162408637846,9.905720573196799,33.840186581556274,-11.6387739400603,-0.19022163959490782,19.677847711903436,-9.169449889885968,34.0125769730038,-31.440619101077687,26.335069376238206,35.58098028184376,-11.378637105255734,12.858604020226164,27.059334344613585,16.30712366995149,-9.502523275378245,-8.745639020158686,1.2343765095485688,-1.7617363668818977,11.377460453605883,37.632254540993905,-23.932171405449036,8.540709494143764,-28.327777625636568,-25.39862646966348,-3.5817202777102333,6.910898166657029,-35.10235013636946,-16.650240865310046,18.15886195384872,-3.5833064046429604,13.953739208458364,6.892261953409142,7.984852229703509,-6.376458323551475,-7.497714940955139,36.55070226752276,-14.616124810754622,-9.810175756889468
0.35000000000000003,0.035035035035035036,-17.836960793413006,-40.28362490024107,3.06376011729394,-27.052634787253677,-20.614206799864334,9.904314850865862,33.84069406012969,-11.638202645259502,-0.18996831611641057,19.678935389298005,-9.170061270441416,34.01191841851891,-31.44115503949287,26.335937211539235,35.58056522492476,-11.377219873201106,12.859933638967217,27.06043540700783,16.307647727496445,-9.503199488667484,-8.746580130179515,1.2348542531045017,-1.7610160309512521,11.377326095644996,37.632910041334995,-23.932153775828922,8.541108941279399,-28.328991077390498,-25.398421242184032,-3.581407481809601,6.911337942436247,-35.10357296414698,-16.650807746473472,18.159330624358216,-3.5830780446288397,13.953935135502967,6.892766365138034,7.985095409620607,-6.376647188780979,-7.498362365771321,36.550931772310776,-14.616420122132855,-9.811402940965346
0.36,0.036036036036036036,-17.837126846343928,-40.2845915778409,3.0634150700858536,-27.053141588105987,-20.61424027335236,9.902860956756733,33.8411956244571,-11.637607140300224,-0.18970663943808608,19.680043747098736,-9.170685819532567,34.011219995946924,-31.441687299664917,26.336816342015624,35.580116282917,-11.375752872765325,12.861296350085567,27.061552451075485,16.308176496933537,-9.503890575315756,-8.747542649961824,1.2353457262376424,-1.760274355780194,11.377181229277667,37.63356288623645,-23.932120987357802,8.54151527825916,-28.330224831619326,-25.398194571127352,-3.581084539684296,6.911787259016333,-35.10481133045149,-16.651381817752963,18.159802403703612,-3.582841239594249,13.954129203206277,6.893282804115209,7.98534166788306,-6.3768372214675235,-7.499024894636398,36.551146396749864,-14.616716717158473,-9.812658781227757
0.37,0.037037037037037035,-17.837287424527506,-40.28556395997028,3.063058229683547,-27.05364764285861,-20.614262824285962,9.901358802167305,33.84169120220602,-11.636987388514612,-0.18943653415265135,19.681172802695578,-9.171323588740808,34.01048164953805,-31.442215790112,26.33770687622673,35.57963339345049,-11.374236010016924,12.862692264333532,27.062685434037075,16.308709885731258,-9.50459658908427,-8.74852649375915,1.235850957128917,-1.759511416350039,11.377025857801792,37.63421309504256,-23.932072999719068,8.541928508263815,-28.331479009416586,-25.39794640902363,-3.5807515498552585,6.912246169928075,-35.10606525908741,-16.651963107037727,18.160277284160024,-3.5825960285956433,13.954321443630798,6.893811350156098,7.985591056218228,-6.37702836569526,-7.4997025703422056,36.55134612502302,-14.617014684208774,-9.813943140490403
0.38,0.03803803803803804,-17.837442509514965,-40.286542148531495,3.0626895737358106,-27.054152964950653,-20.61427444761286,9.899808296541785,33.84218071988379,-11.636343352751032,-0.18915792214178653,19.682322573758253,-9.171974631188517,34.00970332162892,-31.442740415897447,26.338608925759342,35.57911649282133,-11.372669190278398,12.864121494492778,27.063834311412794,16.309247799072494,-9.505317585219963,-8.749531573728197,1.2363699746716628,-1.75872728953184,11.376859984463444,37.63486068821288,-23.932009771879507,8.542348634052214,-28.33275373542253,-25.39767670627484,-3.580408613504335,6.91271473042834,-35.10733477426869,-16.65255164297787,18.160755257725647,-3.5823424518797276,13.95451188910303,6.894352084524505,7.985843627749857,-6.377220563479563,-7.500395436677313,36.55153094086249,-14.617314113637603,-9.815255877974106
0.39,0.03903903903903904,-17.83759208121814,-40.28752624883102,3.062309079339062,-27.054657567807975,-20.61427513805183,9.898209347553664,33.84266410284733,-11.635674995390431,-0.18887072255400525,19.683493078231137,-9.172639001536982,34.008884952695745,-31.443261078590282,26.33952260521083,35.57856551599396,-11.371052318243468,12.865584155342141,27.06499903694991,16.30979013983586,-9.506053620468617,-8.750557799935969,1.2369028084628648,-1.757922054082621,11.376683612452574,37.63550568733203,-23.931931262085513,8.542775657952605,-28.33404913780091,-25.397385411134092,-3.580055834484219,6.91319299750405,-35.10861990059319,-16.653147454976473,18.161236316131674,-3.5820805509076967,13.954700572219092,6.894905089968867,7.986099436991082,-6.377413754740989,-7.501103538430718,36.551700827543385,-14.61761509781477,-9.81659684929982
0.4,0.04004004004004004,-17.837736117898594,-40.2885163695837,3.0619167230591686,-27.055161464846755,-20.614264890100237,9.896561861191689,33.84314127531376,-11.634982278363232,-0.18857485178166547,19.684684334328104,-9.173316755984247,34.008026481409544,-31.44377767622462,26.340448032171345,35.57798039660385,-11.369385298098763,12.867080363624,27.066179562548385,16.31033680857644,-9.506804753088346,-8.751605080367405,1.2374494887939098,-1.7570957906414482,11.37649674489866,37.63614811511969,-23.931837427859346,8.54320958185368,-28.3353653482149,-25.3970724696844,-3.5796933193284937,6.9136810298760105,-35.10992066301656,-16.653750573181537,18.161720450852517,-3.5818103683802125,13.954887525850449,6.89547045075953,7.986358539837032,-6.377607877278297,-7.50182692139559,36.551855767876944,-14.617917731166575,-9.817965906481682
