t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0.43,0.043043043043043044,5.194914885395498,9.166607383497208,-14.205857182664783,-18.654636001276177,28.60341195192106,-22.51713483204228,-24.432537903644754,31.44154612195592,-5.127167965638764,7.068874448937949,24.220985397098445,-18.232740672323516,4.991417053157832,-6.645631109029608
0.44,0.044044044044044044,5.195688202483478,9.166033981647873,-14.204559275078873,-18.6551982854281,28.603399327506516,-22.51819036221644,-24.433693212095896,31.441359409763916,-5.12695934486721,7.06910992312851,24.221304541565804,-18.23278933575606,4.992167106392593,-6.645621101702082
0.45,0.04504504504504504,5.196476708672392,9.165442807575698,-14.20322340929995,-18.655765254930866,28.603372995027424,-22.51926071467513,-24.434864477537648,31.44115387447843,-5.126743351909052,7.06934682735693,24.221620480666783,-18.232830437896855,4.992933013945122,-6.645607486129248
0.46,0.04604604604604605,5.1972803728017185,9.164833843425935,-14.20184951078972,-18.65633691897328,28.60333293828355,-22.52034593706317,-24.43605173333559,31.440929527624508,-5.126519973720309,7.069585105809902,24.221933245079857,-18.232863958950414,4.9937148216694665,-6.645590246518429
0.47000000000000003,0.04704704704704705,5.198099162936836,9.164207070793992,-14.200437503858424,-18.656913286369235,28.603279140366187,-22.52144607791748,-24.43725501346242,31.440686381265728,-5.126289196756393,7.0698247014078,24.22224286586902,-18.23288987846987,4.994512576347735,-6.645569366809451
0.48,0.04804804804804805,5.198933046366105,9.163562470729223,-14.198987311705753,-18.657494365544505,28.60321158365649,-22.522561186666763,-24.43847435248003,31.440424448023133,-5.126051006974841,7.070065555803366,24.22254937448798,-18.232908175359086,4.9953263256844735,-6.6455448306757665
0.49,0.04904904904904905,5.199781989597885,9.162900023738867,-14.197498856463184,-18.658080164523092,28.60313024982377,-22.523691313631144,-24.439709785521,31.44014374109478,-5.125805389838142,7.0703076093805235,24.222852802784388,-18.23291882787488,4.996156118300865,-6.645516621525616
0.5,0.050050050050050046,5.200645958357495,9.162219709792144,-14.195972059237791,-18.65867069091316,28.603035119823748,-22.524836510021828,-24.440961348269518,31.439844274275906,-5.125552330316695,7.0705508012533365,24.223153183004186,-18.232921813629336,4.9970020037287535,-6.645484722503225
0.51,0.05105105105105105,5.201524917584127,9.161521508324485,-14.194406840157535,-18.659265951892493,28.60292617389673,-22.525996827940777,-24.442229076941686,31.439526061979738,-5.125291812891863,7.070795069265108,24.223450547796002,-18.232917109592243,4.997864032404474,-6.645449116490047
0.52,0.05205205205205205,5.202418831427702,9.160805398241942,-14.192803118418082,-18.659865954193563,28.602803391565764,-22.527172320380345,-24.44351300826523,31.439189119258906,-5.1250238215591555,7.071040349987642,24.22374493021562,-18.23290469209364,4.998742255662492,-6.645409786106036
0.53,0.05305305305305305,5.20332766324569,9.160071357925741,-14.191160812331136,-18.66047070408809,28.60266675163474,-22.528363041222942,-24.444813179458563,31.438833461827496,-5.1247483398315214,7.071286578720674,24.22403636373052,-18.232884536826464,4.99963672572884,-6.64536671371097
0.54,0.05405405405405406,5.2042513755998865,9.15931936523699,-14.189479839374348,-18.661080207371178,28.60251623218643,-22.52956904524069,-24.4461296282092,31.438459106083716,-5.124465350742768,7.071533689491466,24.224324882224508,-18.232856618849336,5.000547495714342,-6.645319881405809
0.55,0.055055055055055056,5.205189930253145,9.158549397521575,-14.187760116242805,-18.661694469344983,28.6023518105805,-22.53079038809507,-24.447462392651527,31.43806606913319,-5.124174836851096,7.071781615054607,24.224610520002404,-18.232820912589453,5.00147461960762,-6.645269271034096
0.56,0.056056056056056056,5.206143288166086,9.157761431615192,-14.186001558902124,-18.662313494801907,28.602173463451443,-22.53202712633656,-24.448811511343887,31.437654368812865,-5.123876780242763,7.072030286891989,24.22489331179481,-18.23277739184561,5.00241815226788,-6.645214864183403
0.5700000000000001,0.057057057057057055,5.2071114094937725,9.156955443848572,-14.184204082643186,-18.662937288007324,28.601981166706484,-22.533279317404272,-24.450177023244958,31.437224023715558,-5.12357116253587,7.072279635213004,24.225173292762946,-18.232726029791348,5.00337814941745,-6.645156642186815
0.58,0.058058058058058054,5.2080942535823604,9.15613141005287,-14.182367602138525,-18.66356585268182,28.60177489552343,-22.534547019625595,-24.451558967689436,31.436775053215097,-5.12325796488428,7.072529588954953,24.225450498503587,-18.23266679897825,5.004354667634093,-6.645094586124463
0.59,0.05905905905905906,5.20909177896573,9.155289305565228,-14.180492031500396,-18.66419919198296,28.60155462434847,-22.53583029221581,-24.452957384362996,31.436307477492093,-5.122937167981659,7.0727800757836805,24.22572496505404,-18.232599671339354,5.005347764343054,-6.645028676825098
0.6,0.06006006006006006,5.210103943362101,9.15442910523452,-14.178577284340562,-18.664837308486533,28.601320326893916,-22.537129195277707,-24.454372313276487,31.435821317560325,-5.1226087520656645,7.073031022094455,24.22599672889723,-18.23252461819271,5.006357497808852,-6.644958894867712
0.61,0.06106106106106106,5.2111307036706345,9.153550783427283,-14.176623273831797,-18.66548020416734,28.6010719761359,-22.53844378980119,-24.45580379473939,31.43531659529374,-5.122272696922254,7.07328235301309,24.22626582696682,-18.232441610245086,5.007383927126806,-6.644885220583202
0.62,0.062062062062062065,5.2121720159680365,9.152654314033825,-14.17462991277116,-18.666127880379456,28.60080954431202,-22.539774137662864,-24.457251869332488,31.434793333454063,-5.121928981890139,7.073533992397337,24.22653229665247,-18.232350617595827,5.008427112214276,-6.644807634056081
0.63,0.06306306306306306,5.2132278355051485,9.151739670474527,-14.17259711364503,-18.66678033783598,28.600533002918937,-22.541120301625636,-24.458716577879756,31.434251555718994,-5.121577585865378,7.073785862838547,24.22679617580511,-18.232251609740853,5.009487113801623,-6.644726115126238
0.64,0.06406406406406406,5.2142981167035485,9.15080682570634,-14.170524788695973,-18.66743757658829,28.600242322709892,-22.542482345338264,-24.46019796141941,31.433691286711035,-5.121218487306114,7.074037885663618,24.22705750274234,-18.232144555576834,5.010563993422867,-6.644640643390742
0.65,0.06506506506506507,5.215382813152158,9.14985575222948,-14.168412849991396,-18.66809959600476,28.599937473692226,-22.543860333334923,-24.461696061174173,31.43311255202691,-5.120851664237455,7.074289980937238,24.227316316253873,-18.232029423405496,5.01165781340604,-6.644551198205701
0.66,0.06606606606606606,5.216481877603864,9.148886422094307,-14.166261209494094,-18.66876639474897,28.59961842512478,-22.54525433103474,-24.463210918520655,31.432515378267563,-5.120477094256501,7.074542067464449,24.227572655607073,-18.23190618093813,5.012768636863225,-6.644457758688155
0.67,0.06706706706706707,5.217595261972161,9.147898806908438,-14.16406977913463,-18.669437970757368,28.599285145515307,-22.54666440474132,-24.464742574957896,31.431899793068773,-5.1200947545375275,7.07479406279352,24.227826560552575,-18.23177479530024,5.013896527680266,-6.64436030371804
0.68,0.06806806806806806,5.218722917327808,9.146892877844033,-14.161838470885638,-18.670114321216424,28.598937602617774,-22.548090621642242,-24.466291072075023,31.431265825132314,-5.119704621837314,7.075045883219169,24.228078071329982,-18.231635233036386,5.01504155050614,-6.644258811940182
0.6900000000000001,0.06906906906906907,5.219864793895532,9.14586860564532,-14.15956719683802,-18.670795442539223,28.598575763429643,-22.54953304980854,-24.46785645151801,31.430613504257746,-5.119306672500636,7.075297443786128,24.22832722867363,-18.231487460115193,5.016203770741989,-6.644153261766355
0.7000000000000001,0.07007007007007007,5.2210208410507475,9.144825960636322,-14.1572558692791,-18.671481330341518,28.5981995941891,-22.550991758194186,-24.469438754955533,31.429942861374734,-5.118900882465917,7.075548658293071,24.228574073818454,-18.231331441934564,5.017383254529787,-6.644043631377379
0.71,0.07107107107107107,5.222191007316331,9.143764912728804,-14.15490440077271,-18.672171979417254,28.597809060372203,-22.5524668166355,-24.47103802404389,31.429253928575946,-5.118487227271034,7.075799439296926,24.2288186485059,-18.231167143327063,5.018580068740643,-6.643929898725284
0.72,0.07207207207207207,5.223375240359438,9.142685431430447,-14.152512704241277,-18.672867383713523,28.597404126689998,-22.553958295850588,-24.47265430039096,31.428546739150526,-5.118065682059296,7.076049698117566,24.229060994989972,-18.2309945285655,5.019794280962729,-6.643812041535515
0.73,0.07307307307307308,5.224573486988368,9.141587485853256,-14.150080693049881,-18.673567536304965,28.596984757085572,-22.55546626743872,-24.474287625519235,31.427821327618098,-5.117636221585587,7.076299344842917,24.229301156043306,-18.230813561368723,5.021025959488812,-6.643690037309192
0.74,0.07407407407407407,5.225785693149496,9.140471044722178,-14.147608281092344,-18.674272429367626,28.596550914731054,-22.556990803879703,-24.475938040827838,31.42707772976331,-5.117198820222684,7.076548288334476,24.229539174963357,-18.230624204907617,5.022275173303394,-6.6435638633254275
0.75,0.07507507507507508,5.227011803924263,9.139336076383985,-14.14509538287933,-18.674982054152238,28.596102562024548,-22.558531978533193,-24.47760558755357,31.426315982670932,-5.116753451967741,7.076796436233271,24.229775095578653,-18.23042642181129,5.023541992069435,-6.643433496643699
0.76,0.07607607607607608,5.228251763526239,9.138182548816376,-14.142541913628495,-18.675696400956937,28.595639660587025,-22.56008986563802,-24.479290306730917,31.425536124761447,-5.116300090448959,7.077043694966257,24.230008962255148,-18.23022017417352,5.024826486114655,-6.643298914106271
0.77,0.07707707707707707,5.229505515298265,9.137010429637332,-14.139947789356707,-18.676415459099427,28.59516217125915,-22.56166454031144,-24.480992239151067,31.42473819582718,-5.115838708932436,7.077289969753191,24.23024081990264,-18.23000542355938,5.026128726417404,-6.6431600923406755
0.78,0.07807807807807808,5.230773001709676,9.135819686114724,-14.137312926974314,-18.677139216888566,28.59467005409805,-22.56325607854838,-24.48271142531986,31.42392223706892,-5.115369280329192,7.077535164613973,24.230470713981276,-18.22978213101212,5.027448784592088,-6.643017007762248
0.79,0.07907907907907907,5.232054164353618,9.134610285176164,-14.134637244381505,-18.677867661595375,28.594163268374025,-22.564864557220627,-24.484447905414676,31.423088291133006,-5.114891777202392,7.077779182376487,24.230698690508152,-18.229550257060264,5.028786732874136,-6.642869636576722
0.8,0.08008008008008008,5.233348943944456,9.133382193419129,-14.131920660566772,-18.678600779423483,28.59364177256721,-22.56649005407599,-24.486201719240274,31.422236402148936,-5.114406171774753,7.078021924684943,24.23092479606398,-18.22930976172498,5.0301426441045,-6.642717954782879
0.81,0.08108108108108109,5.234657280315296,9.132135377121333,-14.129163095707456,-18.679338555479,28.59310552436417,-22.568132647737425,-24.487972906183522,31.421366615767393,-5.113912435936149,7.078263292008756,24.23114907779985,-18.229060604527646,5.031516591713679,-6.6425619381752545
0.8200000000000001,0.08208208208208208,5.235979112415603,9.13086980225138,-14.126364471272414,-18.68008097373981,28.59255448065443,-22.569792417702093,-24.489761505167046,31.42047897919874,-5.113410541251408,7.078503183651948,24.231371583444066,-18.22880274449772,5.032908649705244,-6.642401562346906
0.8300000000000001,0.08308308308308308,5.237314378308953,9.129585434479683,-14.12352471012679,-18.680828017024293,28.591988597526967,-22.57146944434041,-24.491567554601748,31.41957354125195,-5.1129004589683165,7.078741497763124,24.231592361309087,-18.22853614018083,5.034318892638871,-6.642236802692237
0.84,0.08408408408408408,5.238663015170893,9.128282239189655,-14.120643736638907,-18.681579666959475,28.59140783026662,-22.573163808895007,-24.493391092338214,31.418650352373934,-5.112382160025821,7.078978131345999,24.231811460298523,-18.228260749647156,5.035747395612848,-6.642067634409876
0.85,0.08508508508508508,5.2400249592869494,9.126960181489196,-14.117721476789285,-18.68233590394861,28.590812133350443,-22.574875593479685,-24.495232155616975,31.41770946468929,-5.111855615062447,7.079212980270531,24.23202892991424,-18.227976530500065,5.037194234246065,-6.6418940325056255
0.86,0.08608608608608609,5.241400146050762,9.125619226222451,-14.114757858281754,-18.683096707138166,28.590201460444025,-22.57660488107828,-24.497090781017626,31.416750932040404,-5.111320794424916,7.079445939284638,24.23224482026353,-18.22768343988504,5.038659484659457,-6.641715971795463
0.87,0.08708708708708708,5.242788509962369,9.124259337981876,-14.111752810656702,-18.683862054384278,28.589575764397704,-22.578351755543483,-24.49896700440678,31.41577481002795,-5.110777668176994,7.079676902026553,24.232459182066393,-18.227381434498888,5.040143223456905,-6.641533426908603
0.88,0.08808808808808809,5.244189984626647,9.122880481120585,-14.108706265406425,-18.684631922218614,28.58893499724277,-22.580116301595623,-24.50086086088486,31.414781156051692,-5.110226206108544,7.079905761037795,24.23267206666287,-18.227070470599223,5.041645527705571,-6.641346372290619
