t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
1.11,0.1111111111111111,-19.204102935278932,-35.81385033065207,13.153137673943025,8.95349167393397,27.747601374777812,-20.44310104300078,36.96606130840844,11.400363344038524,1.8752131375143324,-27.153463041014085,-36.003479523440056,-29.433195112468617,8.444734294155735,-22.044416584368328,12.675450987512939,34.03107143009643,1.0611677670260218,-31.56671493519548,-39.476227754750795,30.335881859381846,5.934660314632115,-18.65953511930975,8.431527367471652,26.090163799281147,12.579288621909322,12.76480353175935,21.960997299103603,22.641027790445634,-37.05404421399016,-34.31797373485687,29.558334939199145,27.003972462725866
1.12,0.11211211211211211,-19.2049421165162,-35.81507391275166,13.154417312702135,8.954876232376138,27.748078703040665,-20.442045201268417,36.96751745208266,11.403242854482558,1.8722847723834497,-27.15423057417047,-36.00730049137721,-29.431712169011675,8.443155874660416,-22.044508952063715,12.676017626520238,34.02898558432243,1.0611623739392537,-31.568605111686896,-39.47572809746753,30.338110228167817,5.93886728590826,-18.658039005770597,8.428412261459451,26.09050015865329,12.579936078793834,12.765946107195274,21.96277595213852,22.639861005897764,-37.053718959733956,-34.32099920701635,29.558740175749506,27.002862407351998
1.1300000000000001,0.11311311311311312,-19.20578473736743,-35.81630544099361,13.155708954431066,8.956266943836656,27.748550581747438,-20.440971888267107,36.96898527476348,11.406147463080739,1.8693320748560067,-27.154998692553445,-36.011147414977195,-29.430215305644044,8.441556690016029,-22.044600693080337,12.676593402144883,34.02687366820171,1.0611558780226524,-31.570489925636185,-39.47521503421988,30.340361251221125,5.943107337258129,-18.65652052171918,8.425256657187065,26.090832949714397,12.580595049441772,12.76710501677316,21.96455903936597,22.638679142271087,-37.05338868345345,-34.32405705698628,29.559146493990582,27.001728175565173
1.1400000000000001,0.11411411411411411,-19.20663077076827,-35.81754502094652,13.157012661405737,8.957663640284405,27.749016877340214,-20.439880963555144,36.97046495645179,11.409077191860002,1.8663551219735959,-27.15576734071862,-36.01502018214908,-29.428704676165506,8.439936563901153,-22.04469188937588,12.677178517148793,34.02473565579826,1.0611482495812168,-31.572369012347362,-39.47468848465239,30.342635154206373,5.9473803423921066,-18.65497951269971,8.422060283614652,26.09116213852064,12.581265718845126,12.768280497234437,21.96634636926242,22.637482180007122,-37.05305350585583,-34.32714760766521,29.559553973500893,27.00056952256157
1.1500000000000001,0.11511511511511512,-19.20748018909188,-35.81879275977644,13.158328495557416,8.959066150824976,27.74947745485423,-20.438772284269042,36.97195668013236,11.412032063449272,1.8633539921661069,-27.156536461916243,-36.01891867755316,-29.427180437323756,8.438295316610793,-22.044782624023092,12.67777317715987,34.022571521440305,1.0611394584567773,-31.57424200633739,-39.474148366531736,30.344932165567492,5.951686172946555,-18.653415823348446,8.418822869249107,26.09148769133084,12.581948272003244,12.769472787316774,21.9681377488824,22.636270099412496,-37.052713548759584,-34.330271186454056,29.55996269464664,26.999386202368168
1.16,0.11611611611611611,-19.208332964140826,-35.82004876626519,13.159656518428958,8.96047430167821,27.749932177913777,-20.437645705085078,36.97346063178988,11.415012101110547,1.86032876527639,-27.15730599806583,-36.02284278255602,-29.425642748866682,8.436632765014902,-22.044872981210386,12.678377590674751,34.0203812397446,1.0611294740206834,-31.576108541363595,-39.47359459571231,30.34725251655374,5.956024698462639,-18.651829297441154,8.415544142270615,26.091809574615443,12.582642893850656,12.770682127693336,21.969932983862485,22.6350428806634,-37.05236893509743,-34.333428125309595,29.56037273857889,26.998177967901192
1.17,0.11711711711711711,-19.209189067138873,-35.82131315082881,13.160996791129813,8.961887916156074,27.750380908728232,-20.43650107818021,36.97497700042397,11.41801732877048,1.857279522585366,-27.15807588973042,-36.02679237518587,-29.42409177359522,8.434948722517298,-22.044963046242167,12.678991969060334,34.018164785641346,1.0611182651662177,-31.57796825045056,-39.473027086101,30.349596441245843,5.9603957863648525,-18.65021977794241,8.412223830664331,26.092127755065654,12.583349769183027,12.771908760908357,21.971731878425555,22.63380050380979,-37.05201978891914,-34.33661876079787,29.56078418723073,26.99694457102627
1.18,0.11811811811811812,-19.21004846872264,-35.82258602553628,13.162349374289802,8.963306814640884,27.75082350808822,-20.43533825319238,36.97650597806307,11.421047771052491,1.8542063468375827,-27.158846076090526,-36.03076733008816,-29.422527677416742,8.433242999014979,-22.045052905538846,12.679616526554016,34.015922134399695,1.0611058003007285,-31.57982076591642,-39.47244574962098,30.351964176582204,5.964799301939243,-18.648587107056812,8.408861662357324,26.092442199602708,12.584069082581237,12.773152931308903,21.97353423538521,22.632542948779342,-37.051666235394265,-34.339843434147326,29.561197123314354,26.995685762620386
1.19,0.11911911911911911,-19.21091113893316,-35.823867504128415,13.16371432801163,8.964730814563891,27.75125983536192,-20.43415707718019,36.97804775977712,11.42410345330936,1.8511093222672215,-27.15961649491774,-36.03476751848153,-29.42095062939903,8.431515400857945,-22.045142646636542,12.680251480262614,34.01365326165391,1.0610920473374787,-31.581665719398597,-39.47185049617471,30.354355962385256,5.969235108311305,-18.646931126282105,8.405457365360904,26.092752875387273,12.584801018333563,12.774414884972717,21.975339856150455,22.63127019538111,-37.0513084008147,-34.3431024913017,29.561611630318115,26.99440129263562
1.2,0.12012012012012012,-19.21177704720732,-35.82515770203695,13.165091711822136,8.966159730384295,27.75168974849153,-20.432957394581965,36.9796025436891,11.427184401656328,1.8479885346245581,-27.160387082547963,-36.03879280811409,-29.41936080182476,8.429765730809523,-22.045232358186485,12.680897050159901,34.01135814343017,1.061076973687202,-31.583502741878977,-39.47124123360591,30.35677204138786,5.973703066423529,-18.64525167646429,8.402010667918473,26.093059749828996,12.585545760355947,12.775694869632044,21.977148540730592,22.629982223308893,-37.05094641259709,-34.34639628297254,29.56202779250352,26.99309091016473
