t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
8.26,0.8268268268268268,15.413868976046905,-15.598891238430555,34.55543323850253,-28.811896622114336,-16.14849442137158,28.352080610920588,-28.40529246450579,2.8250984913021795,28.60105114412592,-9.666746858498659,-15.769188640870727,21.543244113594305,-21.968129692668263,-3.200169682001168,2.989944884043919,-21.820682892685678,22.067881812520827,15.734537356512467,-9.279773188070447
8.27,0.8278278278278278,15.415731388814248,-15.603176738774934,34.5549684980676,-28.807135146881752,-16.144974647492777,28.350553828435448,-28.405198090135563,2.8276566183484606,28.596568195196955,-9.665368479365313,-15.77002008784495,21.54831342347632,-21.96940118120014,-3.200500692750668,2.990270664130953,-21.82313450896463,22.066768697186895,15.733501486217401,-9.281548300111126
8.28,0.8288288288288288,15.4175847107569,-15.60737454582449,34.554507780799845,-28.8024159911514,-16.141490802655337,28.349037655247344,-28.405097649769985,2.8301941444160628,28.59212099656799,-9.664004032028322,-15.770837760258104,21.55329936223349,-21.97066251462931,-3.2008261392661836,2.9906011997252713,-21.8255749151594,22.06566078393547,15.73247075643995,-9.283318113027363
8.290000000000001,0.8298298298298298,15.419428844054881,-15.611486284016944,34.554051003389084,-28.797739142217885,-16.13804253866243,28.34753213318584,-28.404991321528918,2.832710916095695,28.587709689724857,-9.662653327423117,-15.771641780933773,21.558203402401656,-21.971913710940946,-3.2011460911334813,2.990936315061273,-21.828003953155864,22.064558092974153,15.731445204489651,-9.285082525011308
8.3,0.8308308308308309,15.421263693102313,-15.615513562815847,34.553598083565035,-28.793104573155702,-16.13462951059447,28.346037300775606,-28.404879281656076,2.8352067950845243,28.58333440049003,-9.66131618005013,-15.772432276942167,21.563027001296067,-21.973154788635583,-3.2014606185655796,2.9912758364328806,-21.83042146807,22.06346064392212,15.730424867685954,-9.286841435516559
8.31,0.8318318318318318,15.423089164559434,-15.619457975744556,34.5531489401605,-28.788512243266688,-16.131251376794683,28.34455319326704,-28.404761704446823,2.837681657699732,28.578995239425765,-9.65999240793774,-15.773209379303667,21.567771600171177,-21.974385766781417,-3.2017697923413198,2.9916195922306374,-21.83282730834393,22.06236845581157,15.729409783268629,-9.28859474528124
8.32,0.8328328328328328,15.424905167400466,-15.623321099508384,34.55270349316985,-28.783962098525578,-16.127907798853187,28.343079842669834,-28.404638762181058,2.840135394395482,28.57469230223629,-9.658681832603284,-15.773973222698272,21.572438623464542,-21.97560666506268,-3.2020736837449433,2.9919674129769027,-21.835221325834375,22.061281547088917,15.72839998831249,-9.290342356350598
8.33,0.8338338338338338,15.426711612957455,-15.627104493200454,34.55226166380298,-28.77945407202297,-16.12459844158962,28.34161727778925,-28.404510625061,2.8425679092841376,28.570425670168472,-9.657384279012275,-15.774723945181458,21.577029478120362,-21.976817503824233,-3.2023723645067403,2.9923191313591224,-21.837603375893735,22.0601999356158,15.727395519646372,-9.29208417209905
8.34,0.8348348348348348,15.428508414960143,-15.63080969758691,34.551823374534735,-28.774988084405017,-16.121322973034477,28.340165524264993,-28.404377461153818,2.8449791196624794,28.566195410410383,-9.6560995755359,-15.775461687906969,21.5815455529883,-21.978018304112425,-3.2026659067448158,2.9926745822611585,-21.839973317443967,22.059123638669895,15.72639641377628,-9.293820097251654
8.35,0.8358358358358359,15.430295489571984,-15.634438234467256,34.55138854915005,-28.770564044309296,-16.11808106440918,28.338724604612466,-28.404239436338887,2.8473689555436246,28.562001576487294,-9.654827553906912,-15.776186594856911,21.58598821829337,-21.979209087712384,-3.2029543829080223,2.9930336027926643,-21.842331013043466,22.058052672945625,15.725402706812625,-9.295550037904967
8.36,0.8368368368368369,15.432072755422384,-15.63799160610571,34.55095711278484,-28.76618184879629,-16.11487239010496,28.337294538266324,-28.404096714259595,2.849737359195258,28.557844208654586,-9.653568049174037,-15.776898812579534,21.59035882517279,-21.98038987718179,-3.203237865720106,2.9933960323165,-21.84467632894716,22.056987054554693,15.724414434401472,-9.297273901547259
8.370000000000001,0.8378378378378378,15.433840133635282,-15.641471294729584,34.55052899196289,-28.761841383775973,-16.111696627660706,28.335875341626107,-28.4039494562795,2.85208428468474,28.553723334287234,-9.652320899654976,-15.777598489934958,21.594658705275815,-21.98156069588127,-3.203516428125102,2.9937617124741847,-21.847009135159993,22.055926799026572,15.723431631659707,-9.298991597078055
8.38,0.8388388388388388,15.435597547854165,-15.644878762090864,34.550104114628674,-28.757542524429077,-16.108553457739767,28.334467028103813,-28.40379782144273,2.854409697431578,28.54963896826538,-9.651085946888143,-15.778285777849105,21.598889170422776,-21.982721568001548,-3.203790143234019,2.994130487209389,-21.849329305484062,22.0548719213089,15.722454333114026,-9.300703034826965
