t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
7.11,0.7117117117117117,-20.05541368571466,-13.774174297925162,-1.206389473964362,-26.361178113417253,-20.068340023198743,36.5017511759013,23.927962925548325,-13.779362730055285,30.219252811616702,-7.492310230829081,-7.495756003468402,-32.649653390296365,-32.63377918047327,30.22163489949152,17.64244390444796,-20.091744291526,23.937006689842367,-26.344980572690336,36.503900865540714,-13.790741190681572,11.374654331259714,30.222806771046184,-32.639497049964355,-20.0746747181562,5.084041206533648,-1.201627996848434,-1.2132880620708164,30.211857670892115,-26.356340515961183,17.643935848387304,-7.494876118053373,23.942081629785964,-32.662985388714276,-26.35143733229504,42.792966671990236,11.369528785365386,-7.494497225855923,-13.784745503523046,36.511432479545824
7.12,0.7127127127127127,-20.055539254236784,-13.774168991689335,-1.206413899071407,-26.361135068373574,-20.06831745285159,36.5017164607631,23.927965346115716,-13.779360562146373,30.21921104334263,-7.492328648195911,-7.495740388771484,-32.64958833864847,-32.63379578173489,30.22157028388611,17.642461728458706,-20.091466267822643,23.936933260147967,-26.34503096495878,36.5038584600071,-13.790561682640483,11.37461911264039,30.222818595694218,-32.639463766179524,-20.07454851644144,5.083983093198891,-1.2017040429471684,-1.213250877017983,30.211897486602137,-26.356327299695906,17.643950206051024,-7.494879535293876,23.942022495114003,-32.66283410665164,-26.351420586671562,42.79292639155192,11.36950563942046,-7.494664261192013,-13.784836497888548,36.51140275963913
7.13,0.7137137137137137,-20.055662488892754,-13.774163888065946,-1.2064378552374933,-26.361092460568088,-20.068295237639113,36.50168216129135,23.927967678977936,-13.77935835413141,30.219169781871944,-7.492346696225937,-7.495725109999378,-32.649524025255545,-32.63381176428739,30.22150660396722,17.642479019743707,-20.09119385534176,23.936861145508985,-26.34508012341354,36.50381657571661,-13.790385878382645,11.374584179322,30.222829704195615,-32.63943073339246,-20.074424827861364,5.083925974458758,-1.2017787460515774,-1.213214430732148,30.2119362648504,-26.356314028850015,17.643964091393723,-7.494882817735634,23.941964138787984,-32.66268465357788,-26.35140394134863,42.792886473389096,11.36948256109387,-7.494826338960733,-13.784925632170294,36.51137310506465
7.140000000000001,0.7147147147147147,-20.05578342715573,-13.774158982702023,-1.2064613520793797,-26.36105028227105,-20.068273369159343,36.50164827011583,23.927969923539678,-13.779356106974838,30.21912901816066,-7.492364381923319,-7.495710159710741,-32.649460437762606,-32.63382714182619,30.221443843905387,17.642495790373946,-20.090926929090795,23.936790319050626,-26.34512807476718,36.503775203719215,-13.79021370384981,11.374549525800132,30.222840109623842,-32.6393979496882,-20.074303600845614,5.083869830926156,-1.2018521292760074,-1.2131787092126403,30.21197402735622,-26.356300704639114,17.64397751407435,-7.494885968250327,23.94190654613595,-32.66253700432148,-26.351387395706215,42.79284691049982,11.369459551384956,-7.494983582348133,-13.785012934244145,36.51134351465025
7.15,0.7157157157157157,-20.055902106015505,-13.774154271319496,-1.2064843990374814,-26.36100852589558,-20.068251839196133,36.501614779995535,23.927972079290555,-13.7793538216324,30.219088743361787,-7.492381712173295,-7.4956955305881054,-32.64939756401311,-32.63384192777871,30.22138198810335,17.64251205216326,-20.090665366867142,23.936720754418147,-26.3451748451867,36.5037343352051,-13.790045086275342,11.374515146688841,30.222849824899427,-32.63936541314083,-20.074184784759037,5.083814643566221,-1.201924215397913,-1.2131436986738637,30.21201079541075,-26.356287328263,17.643990483600454,-7.4948889896653785,23.94184970274322,-32.66239113400304,-26.35137094912187,42.79280769601884,11.36943661123339,-7.495136111784165,-13.785098431672386,36.51131398727373
7.16,0.7167167167167167,-20.056018561982132,-13.7741497497144,-1.206507005378162,-26.360967183995122,-20.0682306397156,36.50158168381673,23.927974145801475,-13.779351499050742,30.219048948820106,-7.492398693743791,-7.495681215437296,-32.64933539204617,-32.633856135308825,30.221321021194015,17.6425278166737,-20.090409049196904,23.93665242576791,-26.345220460303747,36.50369396150315,-13.789879954167857,11.374481036718601,30.222858862789757,-32.63933312181429,-20.074068329889307,5.08376039369096,-1.2019950268610522,-1.2131093855435788,30.21204658988488,-26.35627390090569,17.64400300932934,-7.494891884763934,23.941793594449162,-32.66224701803342,-26.351354600970485,42.79276882321572,11.369413741521296,-7.495284044998566,-13.785182151704982,36.51128452186138
7.17,0.7177177177177178,-20.056132831089595,-13.774145413756058,-1.206529180196035,-26.36092624926097,-20.068209762862633,36.50154897459102,23.92797612272113,-13.779349140167026,30.2190096260671,-7.492415333287012,-7.495667207186789,-32.649273910093875,-32.63386977732129,30.221260928038394,17.64254309522083,-20.09015785927496,23.936585307758598,-26.345264945224724,36.50365407407946,-13.789718237294846,11.374447190734276,30.22286723590894,-32.639301073763235,-20.073954187434538,5.083707062953951,-1.2020645857786996,-1.2130757564611443,30.212081431236975,-26.35626042373548,17.64401510046922,-7.494894656284874,23.94173820734398,-32.66210463211192,-26.351338350624136,42.79273028549287,11.369390943075333,-7.495427497075732,-13.785264121280903,36.51125511738653
7.18,0.7187187187187187,-20.056244948899504,-13.774141259386253,-1.2065509324162733,-26.36088571451984,-20.068189200957427,36.50151664545343,23.927978009772602,-13.779346745908573,30.21897076681601,-7.49243163734103,-7.495653498887008,-32.64921310657857,-32.633882866466124,30.221201693723504,17.64255789887887,-20.089911682906337,23.936519375542503,-26.34530832454072,36.50361466453582,-13.789559866666318,11.374413603693116,30.222874956717746,-32.63926926703383,-20.07384230949091,5.08365463334509,-1.2021329139368773,-1.2130427982757204,30.21211533952051,-26.356246897905013,17.644026766080426,-7.494897306922863,23.94168352776547,-32.66196395222436,-26.351322197451918,42.79269207638371,11.369368216668699,-7.495566580508593,-13.785344367029506,36.51122577286821
7.19,0.7197197197197197,-20.056354950504815,-13.7741372826184,-1.2065722707969235,-26.36084557273145,-20.06816894649209,36.50148468966054,23.927979806750074,-13.779344317192527,30.218932362957073,-7.492447612331355,-7.495640083709564,-32.64915297011023,-32.63389541514292,30.22114330356024,17.642572238485762,-20.089670408448818,23.936454604756964,-26.34535062233726,36.503575724608176,-13.789404774518465,11.37438027066275,30.22288203752361,-32.63923769966457,-20.0737326490403,5.083603087185386,-1.2022000327976015,-1.2130104980444343,30.212148334391568,-26.356233324551354,17.644038015076656,-7.494899839328438,23.941629542295782,-32.66182495464116,-26.35130614081982,42.79265418955069,11.36934556302308,-7.495701405251505,-13.785422915271962,36.511196487369745
7.2,0.7207207207207207,-20.05646287053359,-13.774133479536692,-1.206593203931223,-26.360805816986172,-20.068148992127302,36.50145310058862,23.927981513515665,-13.779341854925551,30.218894406552863,-7.4924632645724945,-7.495626954946435,-32.64909348948381,-32.63390743550511,30.22108574308123,17.642586124648115,-20.0894339267568,23.93639097151591,-26.345391862203908,36.503537246165166,-13.789252894297343,11.374347186819211,30.222888490480702,-32.63920636968706,-20.073625159937926,5.0835524071218074,-1.2022659635021413,-1.212978843030514,30.212180435116238,-26.356219704796086,17.644048856226227,-7.494902256108128,23.941576237758213,-32.661687615915405,-26.351290180090633,42.79261661878342,11.369322982810539,-7.495832078772173,-13.785499792022748,36.51116725999744
7.21,0.7217217217217217,-20.056568743152763,-13.77412984629526,-1.2066137402499182,-26.36076644050271,-20.068129330688993,36.50142187173174,23.927983129996345,-13.779339360003533,30.218856889833788,-7.4924786002695,-7.495614106009107,-32.6490346536767,-32.63391893946414,30.22102899803866,17.642599567746057,-20.089202131126353,23.936328452401508,-26.345432067243696,36.50349922120656,-13.789104160642598,11.374314347444964,30.22289432759005,-32.63917527512679,-20.07351979690003,5.083502576122182,-1.20233072687429,-1.212947820701388,30.212211660577857,-26.35620603974542,17.644059298153383,-7.4949045598246045,23.941523601213948,-32.66155191288085,-26.351274314623883,42.79257935799678,11.36930047665536,-7.49595870610263,-13.785575022991182,36.51113808989928
7.22,0.7227227227227228,-20.056672602071963,-13.774126379117305,-1.2066338880235836,-26.360727436625826,-20.06810995516512,36.5013909967,23.927984656180982,-13.779336833311323,30.218819805193714,-7.492493625519505,-7.4956015304276535,-32.648976451846124,-32.63392993869365,30.220973054402087,17.64261257793798,-20.088974917241448,23.93626702445594,-26.345471260082423,36.50346164186173,-13.788958509371234,11.37428174792696,30.22289956069973,-32.6391444140039,-20.073416515491587,5.083453577470146,-1.202394343423646,-1.2129174187267566,30.212242029284152,-26.35619233049031,17.644069349339613,-7.4949067529968625,23.941471619958865,-32.66141782264997,-26.351258543775764,42.792542401228985,11.369278045135811,-7.496081389889272,-13.785648633583014,36.51110897626365
7.23,0.7237237237237237,-20.056774480547322,-13.774123074294245,-1.2066536553649376,-26.360688798824075,-20.068090858702437,36.50136046921768,23.927986092117465,-13.779334275722483,30.21878314518572,-7.492508346313243,-7.49558922184978,-32.64891887332664,-32.63394044463356,30.220917898356234,17.642625165165196,-20.08875218312136,23.93620666517329,-26.34550946287777,36.50342450038816,-13.788815877461428,11.374249383754703,30.22290420150512,-32.63911378433392,-20.073315272114048,5.083405394760145,-1.2024568333489027,-1.2128876249766367,30.212271559374273,-26.356178578106572,17.644079018124998,-7.4949088381004305,23.9414202815203,-32.661285322611896,-26.351242866899124,42.792505742639726,11.369255688785886,-7.496200230441976,-13.785720648902052,36.51107991831806
7.24,0.7247247247247247,-20.05687441138533,-13.77411992818484,-1.206673050231155,-26.360650520687628,-20.068072034603368,36.50133028312146,23.92798743790993,-13.779331688099072,30.218746902517978,-7.492522768536562,-7.495577174039823,-32.64886190762763,-32.63395046849413,30.220863516298753,17.642637339156465,-20.08853382906921,23.936147352491552,-26.34554669732828,36.503387789169864,-13.7886762030364,11.37421725051834,30.222908261549193,-32.6390833841285,-20.073216023993133,5.083358011892492,-1.2025182165411452,-1.2128584275193806,30.21230026862568,-26.35616478365503,17.64408831270958,-7.494910817567606,23.941369573653848,-32.66115439043039,-26.35122728334345,42.79246937650827,11.369233408096965,-7.496315325782304,-13.785791093751849,36.51105091532795
7.25,0.7257257257257257,-20.056972426946704,-13.774116937214329,-1.206692080426174,-26.36061259592608,-20.068053476322884,36.501300432358676,23.927988693716102,-13.779329071291428,30.218711070049743,-7.492536897971918,-7.495565380877711,-32.648805544430815,-32.63396002125992,30.220809894837995,17.642649109432476,-20.088319757621576,23.936089064784728,-26.345582984682167,36.503351500715915,-13.78853942534836,11.374185343906756,30.222911752222892,-32.63905321139611,-20.07311872916668,5.08331141306847,-1.202578512587151,-1.2128298146196708,30.212328174460936,-26.356150948181643,17.644097241154764,-7.494912693787713,23.94131948434015,-32.66102500404181,-26.351211792454887,42.79243329723158,11.369211203519441,-7.496426771690827,-13.785859992637421,36.51102196659547
7.26,0.7267267267267267,-20.057068559150267,-13.774114097873548,-1.2067107536029982,-26.360575018366344,-20.068035177465465,36.501270910985525,23.927989859744688,-13.779326426137994,30.218675640787485,-7.492550740299863,-7.495553836357884,-32.648749773587866,-32.633969113693745,30.22075702079075,17.6426604853102,-20.088109873499246,23.93603178085507,-26.345618345746,36.50331562765888,-13.788405484762503,11.374153659705714,30.22291468476553,-32.63902326414278,-20.073023346472535,5.083265582785496,-1.2026377407726958,-1.2128017747364952,30.21235529395439,-26.35613707271767,17.644105811384716,-7.49491446910739,23.941270001781714,-32.66089714165301,-26.35119639357625,42.792397499322455,11.369189075464288,-7.496534661753556,-13.785927369767013,36.51099307145833
7.2700000000000005,0.7277277277277278,-20.05716283947685,-13.774111406718065,-1.206729077265987,-26.360537781950523,-20.068017131782085,36.50124171316539,23.927990936252893,-13.779323753465139,30.218640607881106,-7.492564301100518,-7.495542534588192,-32.64869458511794,-32.63397775634056,30.220704881179987,17.642671475907154,-20.087904083558985,23.93597547992542,-26.34565280089323,36.50328016275331,-13.788274322741103,11.374122193795987,30.222917070265268,-32.638993540372724,-20.072929835536527,5.083220505832334,-1.202695920085861,-1.2127742965211026,30.21238164383871,-26.356123158279814,17.644114031187797,-7.494916145830893,23.94122111439974,-32.66077078173925,-26.351181086047085,42.792361977407644,11.369167024304584,-7.49663908740752,-13.785993249053893,36.51096422928863
7.28,0.7287287287287287,-20.057255298973203,-13.7741088603673,-1.2067470587731415,-26.360500880733888,-20.067999333167254,36.50121283316709,23.927991923544013,-13.779321054087017,30.2186059646203,-7.4925775858550265,-7.495531469788743,-32.64863996920532,-32.633985959531294,30.220653463232587,17.642682090145595,-20.087702296746375,23.935920141631655,-26.345686370072556,36.50324509887423,-13.788145881827669,11.374090942151527,30.22291891965961,-32.638964038089064,-20.072838156760486,5.08317616728436,-1.2027530692203419,-1.212747368814939,30.212407240511368,-26.356109205870396,17.644121908218015,-7.4949177262204225,23.941172810830945,-32.6606459030421,-26.35116586920372,42.79232672622603,11.36914505037699,-7.496740137985489,-13.786057654118204,36.51093543949175
