t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
4.45,0.44544544544544545,-4.32286844150524,33.190051703849505,21.06958626966096,14.806537930551428,-29.47257572311387,33.13818119816455,-10.29535305510886,-16.956725366610755,8.52432787446033,-4.136591970826887,-22.67680624744801,27.126782225073963,-23.43673167484161,-23.165867677910775,14.242979981388078,-4.3517974704697995,-35.42732772255624,-29.52956766533651,-29.450056764920586,-4.141933331043211,2.002590873501156,33.95690655233837,8.347165581850865,1.9016620976549807,33.38013622625077,33.29842818984029,-23.065207418650555,14.514523065982125,39.47170566577781,-22.706532927538753,14.817868405632254,20.928553431732865,33.50859796151792,27.26178309427772,-4.381330544363941,-41.69477970094094,-35.81904199142392,-41.899465248594666,8.216476261828126,-10.584364375303434,-29.611195271268077,27.111589476454963
4.46,0.44644644644644643,-4.320563526683371,33.19524740042888,21.066343411399554,14.802588908289524,-29.471357624108023,33.14299636234208,-10.298479231397415,-16.954671871860352,8.52133062622587,-4.138685598342071,-22.68435347381201,27.127487655208157,-23.43177591118591,-23.165567179571084,14.252543559984753,-4.350783531000433,-35.43249648422811,-29.527499739647947,-29.448418191966915,-4.1436814876533425,2.002432028121881,33.95073319096544,8.347188613059263,1.9038257768222913,33.381318048321454,33.30066371691277,-23.066995224970253,14.516600595538316,39.476592386227175,-22.710848516102523,14.813701608447198,20.927044678055267,33.50697502579252,27.260794446205303,-4.377921628216998,-41.69949298769823,-35.816915817477785,-41.90340024376736,8.217677697368309,-10.584444650372463,-29.607675529255058,27.112256191614023
4.47,0.44744744744744747,-4.318323356635206,33.200372109147224,21.063151671528892,14.798726607313167,-29.47016185035154,33.14774400015115,-10.30158348056573,-16.95265082849296,8.518361796426106,-4.140734322487227,-22.69178860330101,27.128184723602494,-23.426891195602796,-23.1652563241104,14.2618900078423,-4.349770265904642,-35.43758919399824,-29.525452548544823,-29.44680366920555,-4.1454077277718095,2.0023027623969183,33.94461892187484,8.347195012692291,1.9059481789271007,33.38248528701384,33.302871542693936,-23.068738744831368,14.518641392944533,39.48138896180898,-22.715137458336613,14.809597634756292,20.92558413370888,33.505411855406116,27.259805709781347,-4.374588605762183,-41.704132324913175,-35.814820380034014,-41.90720841725535,8.218871009989657,-10.584510732819975,-29.604213493947142,27.11292368287808
4.48,0.44844844844844844,-4.316146518913253,33.205425977978315,21.06001072002323,14.794949187497357,-29.468987831785913,33.15242495316044,-10.304665449895897,-16.950661676589128,8.515421640799044,-4.142739148382718,-22.699112803152737,27.12887343198409,-23.422076727872547,-23.16493552668446,14.271023028613508,-4.348758015522157,-35.44260628133149,-29.52342622273728,-29.445213322933476,-4.147112092740368,2.0022019011201673,33.938563582437816,8.347185475845613,1.9080301629457386,33.383637982155136,33.305051893673415,-23.070438726673274,14.520645875792045,39.48609718501174,-22.71939947583158,14.80555613280023,20.924170581366532,33.50390682112105,27.25881731516807,-4.371330075781066,-41.70869862749975,-35.81275538450987,-41.91089290348147,8.220056140498372,-10.584563050427317,-29.600808499823838,27.113591850590073
4.49,0.4494494494494494,-4.314031616022154,33.210409185105775,21.056920203983506,14.791254821950009,-29.467835015770902,33.15704006120883,-10.307724803547774,-16.948703865327037,8.512510394347602,-4.1447010696343325,-22.706327250308107,27.12955378529267,-23.417331708993668,-23.164605192561034,14.279946345095182,-4.347747108090624,-35.4475481968703,-29.521420880331515,-29.443647259889474,-4.148794633501083,2.0021282924872805,33.932566998773815,8.347160680357899,1.910072574300979,33.38477617994531,33.30720499893645,-23.072095915378135,14.52261446498632,39.49071881501487,-22.723634304173956,14.801576732101505,20.92280282464252,33.502458312970106,27.257829679253714,-4.368144652363666,-41.71319280752455,-35.8107205314855,-41.914456784880265,8.221233031262233,-10.584602021995458,-29.597459875722254,27.114260590367596
4.5,0.45045045045045046,-4.31197726611053,33.21532193801706,21.053879748920664,14.787641699326404,-29.466702866728706,33.16159016168033,-10.31076122239944,-16.9467768530003,8.509628271739038,-4.1466210672264125,-22.713433130036186,27.130225791628995,-23.41265534149895,-23.164265717310638,14.288663691945686,-4.346737860067348,-35.45241541153286,-29.51943662708011,-29.442105567455844,-4.150455410254136,2.002080808746313,33.92662898619043,8.347121286876803,1.9120762446994015,33.38589993266875,33.30933108993802,-23.07371105195849,14.5245475843772,39.49525557772577,-22.72784169274783,14.79765904428407,20.921479688059566,33.501064741700894,27.256843205678095,-4.365030965284482,-41.71761577388481,-35.80871551706057,-41.917903091240326,8.222401626284725,-10.584628057527016,-29.59416694552583,27.114929793455
4.51,0.45145145145145144,-4.309982103601233,33.22016447257941,21.050888960018174,14.784108025934316,-29.46559086577427,33.16607608883458,-10.313774403870507,-16.944880107017767,8.506775467719578,-4.148500108537004,-22.72043163462702,27.130889462198937,-23.408046829759837,-23.163917486995018,14.297178808932214,-4.345730576437943,-35.457208415619554,-29.517473556637043,-29.44058831391824,-4.152094492114876,2.002058346742512,33.92074934960877,8.34706793894328,1.9140419919945544,33.387009298410696,33.31143040028342,-23.075284873255644,14.526445660399878,39.49970916587768,-22.732021404524282,14.79380266388314,20.92020001700399,33.49972454006947,27.25585828488182,-4.361987660339997,-41.72196843199737,-35.806740033204946,-41.92123479918747,8.223561871274732,-10.584641558401934,-29.59092902883062,27.1155993470738
4.5200000000000005,0.45245245245245247,-4.308044779762841,33.22493705210132,21.047947423371554,14.780652027639459,-29.464498510333954,33.17049867318992,-10.316764061729515,-16.943013103886937,8.503952157542425,-4.150339146468401,-22.727323962150294,27.131544811253725,-23.40350538027924,-23.16356087835325,14.305495434685302,-4.344725551012958,-35.46192771792892,-29.515531750816802,-29.43909554877788,-4.153711956771048,2.002059828364037,33.914927883974826,8.347001263093425,1.9159706200748639,33.38810434077897,33.31350316551538,-23.076818111649096,14.528309121726712,39.504081239182995,-22.73617321584,14.790007169144168,20.918962677669285,33.498436163991386,27.2548752941774,-4.3590133996495775,-41.726251683498674,-35.80479376810308,-41.9244548317982,8.224713713711841,-10.58464291754702,-29.587745441589103,27.116269134770185
4.53,0.45345345345345345,-4.30616396322514,33.22963996638306,21.045054707202958,14.777271951581007,-29.463425313754726,33.17485874095616,-10.31972992588655,-16.941175329182588,8.501158497407346,-4.152139118686499,-22.73411131527785,27.132191856026648,-23.39903020197295,-23.163196258985288,14.313617300937791,-4.343723066713484,-35.466573844884266,-29.513611279857223,-29.437627303110606,-4.155307890141033,2.0020842008952293,33.90916437465728,8.346921868977018,1.9178629187752332,33.38918512863122,33.31554962290785,-23.07831149477726,14.530138398929807,39.50837342453657,-22.740296916166425,14.786272122810049,20.917766556988358,33.49719809355829,27.253894597840493,-4.356106861921622,-41.730466425955896,-35.80287640649161,-41.92756605833342,8.225857102907213,-10.584632519599614,-29.58461549673163,27.11693903675848
4.54,0.4544544544544544,-4.304338340441324,33.23427353075949,21.042210363049076,14.773966067706958,-29.46237080490585,33.17915711351435,-10.322671742172231,-16.939366277502007,8.498394624910198,-4.1539009469624135,-22.740794900167923,27.13283061666667,-23.39462050643981,-23.16282398753292,14.321548127225276,-4.342723395846647,-35.47114733967188,-29.51171220268551,-29.43618358996762,-4.156882386033919,2.0021304372838746,33.90345859783228,8.346830349491917,1.919719663811277,33.390251735807865,33.317570011266696,-23.079765745269594,14.53193392415436,39.51258731626434,-22.74439230787053,14.782597072895785,20.916610562554588,33.49600883392798,27.252916547219748,-4.353266742686784,-41.73461355258914,-35.80098762998986,-41.930571294082846,8.226991990060062,-10.584610741065605,-29.581538504765494,27.11760893025951
4.55,0.45545545545545546,-4.302566616099527,33.238838085138084,21.039413926920847,14.770732670139058,-29.461334527774877,33.18339460694081,-10.325589272104148,-16.93758545240818,8.4956606595008,-4.155625536609954,-22.747375925409035,27.133461116169276,-23.390275508220817,-23.16244441385795,14.32929161602511,-4.341726800371813,-35.47564876139186,-29.509834567187,-29.434764404812814,-4.158435545812104,2.0021975363286715,33.89781032085559,8.346727280933464,1.9215416167351436,33.39130424087117,33.31956457073713,-23.08118158049027,14.533696130802719,39.51672447641243,-22.748459205968476,14.778981553449869,20.915493622532,33.49486691609573,27.251941480863564,-4.350491754500014,-41.73869395200476,-35.79912711742295,-41.93347330031133,8.228118328309765,-10.584577950472065,-29.578513774351862,27.118278689832945
4.5600000000000005,0.45645645645645644,-4.300847513486295,33.24333399303511,21.036664920433715,14.767570078376906,-29.460316041059713,33.18757203157292,-10.328482292641832,-16.935832366362156,8.492956702947648,-4.157313776012677,-22.75385560102149,27.134083380304887,-23.385994425047297,-23.162057879217603,14.336851448311254,-4.340733532158258,-35.48007868422237,-29.50797841047626,-29.43336972599209,-4.15996747805712,2.0022845227929014,33.89221930262268,8.346613223158082,1.923329524911883,33.392342726850416,33.3215335426182,-23.08255971229343,14.535425453229069,39.520786435072736,-22.752497437873128,14.775425085301752,20.91441468555479,33.493770897554356,27.250969724662355,-4.347780627113103,-41.74270850793981,-35.797294545137156,-41.93627478429857,8.229236072783644,-10.584534508514743,-29.575540612860657,27.118948187702824
4.57,0.4574574574574575,-4.299179774804481,33.24776164061246,21.03396285190727,14.764476638350695,-29.459314917758263,33.19169019161422,-10.33135059593128,-16.93410654064578,8.490282839808074,-4.1589665362343915,-22.760235137514375,27.134697437545185,-23.3817764780784,-23.161664716437045,14.344231279502559,-4.339743833235,-35.484437696598086,-29.506143759170012,-29.431999515230178,-4.161478298239273,2.002390447450055,33.88668529391705,8.346488719760163,1.9250841215153351,33.39336728099349,33.32347716918411,-23.08390084679006,14.537122326444678,39.52477469074076,-22.756506843136506,14.771927176794808,20.913372720616444,33.49271936285035,27.25000159200486,-4.345132107619357,-41.746658099017544,-35.79548958730741,-41.938978399464396,8.230345180640466,-10.584480768200674,-29.57261832690367,27.11961729407551
4.58,0.45845845845845845,-4.297562161447998,33.252121435717605,21.03130721743341,14.76145072333184,-29.458330744757166,33.19574988477644,-10.33419398904003,-16.932407505275787,8.48763913790252,-4.160584670707215,-22.766515744996003,27.1353033189876,-23.377620892128043,-23.161265250079047,14.351434735782524,-4.338757936033391,-35.48872640040353,-29.50433062966154,-29.430653718150797,-4.162968128391651,2.002514387066911,33.881208037747385,8.346354298261465,1.9268061255425235,33.3943779945249,33.32539569351249,-23.08520568412642,14.538787185833586,39.5286907107021,-22.76048727318808,14.768487324504326,20.91236671694879,33.491710924043154,27.24903738394715,-4.342544960571984,-41.7505435985139,-35.79371191623654,-41.94158674557213,8.231445611109725,-10.584417074986154,-29.569746222846096,27.120285877449415
4.59,0.45945945945945943,-4.295993454235803,33.2564138069288,21.02869750191227,14.758490734710515,-29.457363122420887,33.19975190195623,-10.337012293683733,-16.93073479891033,8.485025648791678,-4.162169014991439,-22.772698632335736,27.135901058278282,-23.373526895881536,-23.160859796610676,14.3584654107691,-4.337776063623053,-35.49294541018195,-29.502539028396093,-29.42933226481627,-4.164437096789,2.0026554443293234,33.87578726967386,8.346210470312126,1.9284962418455518,33.39537496241048,33.32728935931955,-23.086474918274078,14.540420466878652,39.532535931444116,-22.764438591069787,14.765105013940088,20.911395683891207,33.49074422107423,27.24807738939305,-4.34001796807768,-41.75436587413493,-35.79196120264623,-41.94410236900313,8.232537325526781,-10.584343766910319,-29.566923607296832,27.12095380491599
4.6000000000000005,0.46046046046046046,-4.2944724536073595,33.26063920260764,21.026133180055258,14.755595102648842,-29.456411664182426,33.203697026944546,-10.339805345945164,-16.92908796874877,8.482442408255361,-4.163720386601717,-22.778785006375237,27.1364906915338,-23.369493722102092,-23.160448664567063,14.365326862513689,-4.336798429941638,-35.49709535236025,-29.500768952146984,-29.428035070282984,-4.165885337631901,2.0028127477156987,33.870422718124,8.346057731902514,1.9301551611800276,33.3963582831286,33.32915841080201,-23.087709236831305,14.542022604897817,39.53631175908957,-22.768360671168622,14.761779720233173,20.910458650750396,33.489817922052566,27.247121885284745,-4.33754992986689,-41.758125787805064,-35.79023711595948,-41.94652776309595,8.233620287363918,-10.584261174724567,-29.564149787577787,27.121620942451454
