t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
5.19,0.5195195195195195,32.76163533306224,-30.188470361517442,-5.419998224814878,7.4701683508376195,37.6325975783949,-29.64974669435409,-11.092599596342783,-8.377201492462431,21.183869772362677,-8.062058953345277,-17.068906455265243,2.784531029511285,9.078010285304225
5.2,0.5205205205205206,32.76358051768384,-30.189463370661734,-5.422396420492204,7.4745120909305856,37.63883823834928,-29.65076847055712,-11.091616811304712,-8.375771955889038,21.18266262354711,-8.062922753731895,-17.069334257146252,2.7786151756431057,9.075895964999837
5.21,0.5215215215215215,32.76552642871906,-30.19044397923314,-5.424765190950336,7.478838141696081,37.645117897872616,-29.651763953688853,-11.090632334261741,-8.374350670330127,21.181455544571097,-8.063804621848751,-17.06976529528441,2.7726371768713847,9.073781427237924
5.22,0.5225225225225225,32.767473072523394,-30.191411942973147,-5.42710415197546,7.483146712424291,37.65143660221838,-29.65273376029301,-11.089646213644434,-8.372937736642665,21.180248569008675,-8.06470472933727,-17.070199427559114,2.7665968860821106,9.071666691539058
5.23,0.5235235235235235,32.76942045401588,-30.192367021237175,-5.429412920576395,7.487438012724177,37.6577943884658,-29.653678507902715,-11.088658495609124,-8.371533256413285,21.179041730216532,-8.065623252174836,-17.070636514929692,2.7604941772849414,9.069551777506694
5.24,0.5245245245245245,32.77136857665894,-30.19330897715891,-5.431691115122876,7.49171225242366,37.66419128503953,-29.65459881486155,-11.0876692240547,-8.370137331979247,21.177835061338232,-8.066560370770796,-17.071076421454784,2.75432894648694,9.067436704826362
5.25,0.5255255255255256,32.77331744243924,-30.1942375778144,-5.433938355486908,7.495969641473413,37.67062731121708,-29.65549530014132,-11.086678440641201,-8.368750066449998,21.17662859530854,-8.067516270065145,-17.071519014310553,2.748101112577195,9.065321493264857
5.26,0.5265265265265265,32.77526705184957,-30.195152594385693,-5.436154263187247,7.500210389854277,37.67710247662469,-29.656368583156215,-11.085686184810196,-8.367371563729314,21.175422364857816,-8.068491139630005,-17.07196416380771,2.741810618221377,9.06320616266946
5.2700000000000005,0.5275275275275275,32.77721740387189,-30.19605380232377,-5.438338461537087,7.504434707488299,37.683616780722076,-29.657219283573088,-11.084692493806893,-8.366001928538084,21.174216402516485,-8.069485173774043,-17.072411743407336,2.735457430765213,9.061090732967143
5.28,0.5285285285285285,32.77916849596144,-30.196940981510433,-5.440490575794964,7.508642804153366,37.69017021227691,-29.658048021117622,-11.083697402703933,-8.364641266437712,21.17301074061958,-8.070498571649946,-17.07286162973545,2.729041543145756,9.058975224163802
5.29,0.5295295295295295,32.78112032403203,-30.197813916418916,-5.442610233318961,7.512834889401457,37.69676274882964,-29.658855415376056,-11.08270094442684,-8.363289683854179,21.17180541131133,-8.071531537365123,-17.07331370259633,2.722562974809246,9.056859656343494
5.3,0.5305305305305306,32.78307288244246,-30.198672396272876,-5.44469706372422,7.517011172480491,37.70339435614957,-29.659642085592257,-11.08170314978106,-8.36194728810278,21.17060044654979,-8.072584280095725,-17.073767844984555,2.716021772634271,9.054744049667681
5.3100000000000005,0.5315315315315315,32.78502616398419,-30.19951621520348,-5.446750699043824,7.521171862259783,37.71006498768311,-29.660408650459864,-11.080704047480557,-8.360614187413546,21.169395878111544,-8.073657014204148,-17.074223943095724,2.7094180118588254,9.052628424374488
5.32,0.5325325325325325,32.78698015987025,-30.200345172404226,-5.448770773893054,7.525317167159102,37.716774583995154,-29.661155727909286,-11.079703664177911,-8.359290490957392,21.168191737596395,-8.074749959360155,-17.07468188633584,2.70275179700979,9.050512800777978
