t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
5.22,0.5225225225225225,-11.208854578240588,-38.88723028550781,33.27427081252741,-7.525655916044282,32.92591441992565,20.628292248738003,26.887059627308858,-29.15163998505561,-36.55786899311937,4.367257655945119,-29.884249379630415,14.591461760989832,-10.84738409787943,-0.2798696780665155,32.90396248762772
5.23,0.5235235235235235,-11.208184870468207,-38.885482162662804,33.2740695327654,-7.523848256740759,32.92588186189317,20.627925788282223,26.886239135224326,-29.15391417648191,-36.55681821003204,4.366871059900564,-29.885414656578593,14.590332664100321,-10.848998017833553,-0.2780031367977534,32.904809544948186
5.24,0.5245245245245245,-11.207525507246535,-38.88370876602695,33.27385976752148,-7.522028010144627,32.92584570595858,20.627553296766603,26.885410167726963,-29.156195892954997,-36.555765027801435,4.3664952126539545,-29.886579269435078,14.58920487624628,-10.850619283560551,-0.27612937676585486,32.90564820658074
5.25,0.5255255255255256,-11.206876463447912,-38.88190988587756,33.27364149262385,-7.520195058816137,32.92580593096588,20.62717475569754,26.88457275513729,-29.15848528973026,-36.55470950359609,4.366130187238481,-29.887743280107582,14.58807825668145,-10.852247962499094,-0.27424835019365584,32.90647851544237
5.26,0.5265265265265265,-11.20623771373131,-38.88008531011157,33.27341468357435,-7.518349284595716,32.925762515710694,20.626790145877234,26.883726927084435,-29.160782524303315,-36.553651694407435,4.36577605781148,-29.8889067504056,14.58695266440683,-10.853884122121642,-0.27236000893955215,32.90730051366968
5.2700000000000005,0.5275275275275275,-11.205609232553275,-38.87823482422274,33.27317931553529,-7.516490568607491,32.92571543894271,20.626399447410584,26.882872712506504,-29.163087756419998,-36.55259165705135,4.365432899667079,-29.890069742036896,14.58582795816016,-10.855527829931779,-0.27046430449706405,32.90811424261683
5.28,0.5285285285285285,-11.204990994178761,-38.87635821127922,33.27293536331629,-7.514618791263112,32.925664679368055,20.626002639711906,26.882010139651065,-29.1654011480862,-36.55152944816965,4.3651007892489995,-29.891232316604032,14.584703996405171,-10.857179153461242,-0.2685611879942998,32.9089197428536
5.29,0.5295295295295295,-11.20438297269182,-38.874455251901324,33.27268280136121,-7.5127338322658685,32.92561021565162,20.6255997015115,26.88113923607571,-29.167722863577456,-36.55046512423171,4.364779804163541,-29.892394535600904,14.583580637320573,-10.85883816026663,-0.26665061019331615,32.90971705416343
5.3,0.5305305305305306,-11.203785142006176,-38.87252572423969,33.27242160373503,-7.510835570615111,32.925552026419375,20.625190610862052,26.88026002864874,-29.170053069448326,-36.549398741536,4.364470023192724,-29.893556460409286,14.582457738788781,-10.86050491792579,-0.2647325214893746,32.91050621554163
5.3100000000000005,0.5315315315315315,-11.20319747587567,-38.870569403953795,33.27215174411079,-7.508923884610998,32.92549009026057,20.624775345144883,26.879372543549913,-29.172391934541512,-36.54833035621183,4.36417152630762,-29.894718152295415,14.581335158384412,-10.862179494033864,-0.26280687191009117,32.91128726519356
