t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
1.81,0.18118118118118118,30.739515529702675,-46.50400137819805,-8.538362304637579,-43.25493035733439,1.1122762483598518,22.058316527674943,5.5114805814938945,-32.55066471863773,21.17727896388097,28.154035933112738,8.22967913375894,-5.6343575060966975,23.846882498529908,-17.262361668320874,20.961449428461535,21.136673625493707,26.348359445391278,-1.1461426141275821,-32.931525655530415,24.06863880770586,-8.128337477396494,-30.73272029031833,-9.587371292194154,0.9025483290340518,-17.068022521776104,5.155024543524731,-25.20884957625439,23.325842454374513,1.2302229516537329,-25.540550806453673,11.79773906281904,17.430917369987643,-22.25150085594314,3.5167789322152667,22.46326010523849,-1.7148907113451042,-26.071823145855415,11.22670398401408,-2.6828200827390574,29.778425786909594
1.82,0.18218218218218218,30.740346897554378,-46.507608599541676,-8.538515518809938,-43.25636742270876,1.1089623397596582,22.064292133738714,5.513417591682037,-32.557876504229675,21.181797412609743,28.15945401191695,8.232072012403089,-5.639234682166806,23.843441914808,-17.259672028577437,20.96295795560586,21.135822343986714,26.34974043321739,-1.1494886773641753,-32.931160787427125,24.065656862396896,-8.129693696638425,-30.73342919823982,-9.579735499760723,0.9042540296062076,-17.07154917630575,5.153216607670055,-25.206898895606308,23.328437504388358,1.2302041502950434,-25.542546928419807,11.794684730571122,17.42640230198136,-22.24306694032882,3.5251862188405534,22.46411745232771,-1.715574966445314,-26.074655556520472,11.22283933778523,-2.6829996998408765,29.775587815965114
1.83,0.1831831831831832,30.7411590860344,-46.51120332884986,-8.538679765996328,-43.25782151906422,1.1056192473811344,22.070311264407426,5.515346011544418,-32.56509888531504,21.186353530012916,28.164911277560392,8.234510123730642,-5.64413368555505,23.839968228005716,-17.256926329253815,20.96448688330396,21.1349909267144,26.351127511935793,-1.152876371297464,-32.93081263116171,24.062634487088797,-8.13104804970965,-30.73413648492664,-9.572048536921395,0.9059591115136381,-17.07508047545394,5.151365105783329,-25.20495899945288,23.331034670062163,1.2301714886860082,-25.54459170200317,11.791603446031058,17.421843457482375,-22.234585029049956,3.533657089837301,22.464987383006303,-1.7162771372835348,-26.077501949399483,11.218958646612894,-2.683149550219409,29.772748734356753
1.84,0.1841841841841842,30.741951741753567,-46.514784758905066,-8.538855173404604,-43.25929293288506,1.1022468213153316,22.07637350521946,5.517265424675665,-32.572330675687,21.190947775065,28.17040770444423,8.236994118044803,-5.649054552026397,23.836461382932118,-17.25412354744363,20.966036543344142,21.13417991430645,26.35252070969288,-1.1563058483393618,-32.930481562858134,24.059571595642062,-8.132400232720903,-30.734842148296213,-9.564310638932751,0.9076633216265181,-17.078616019515767,5.149469913200784,-25.203030369466486,23.33363373630201,1.2301249683426994,-25.546685805370775,11.788494918894067,17.417240881370734,-22.22605590896013,3.542190543240137,22.465870084067245,-1.7169974499813032,-26.080362508520768,11.215062030361159,-2.6832692003173566,29.769908979968907
1.85,0.18518518518518517,30.742724513010355,-46.51835207709247,-8.539041866354673,-43.260781956120404,1.0988449108871765,22.082478419505666,5.519175412119083,-32.57957066816495,21.195580612678224,28.17594325531423,8.23952465169853,-5.653997320805445,23.832921330320957,-17.25126264212086,20.967607272695677,21.13338985206444,26.353920055593036,-1.1597772463478582,-32.9301679575689,24.056468115056923,-8.13374993682137,-30.735546187159493,-9.556522056676705,0.9093664041606787,-17.082155403175967,5.147530925150569,-25.20111348926215,23.336234489116148,1.2300645950821778,-25.54882991859658,11.785358854352992,17.4125946332775,-22.21748039151007,3.5507855223549054,22.46676574274853,-1.7177361291226807,-26.083237422132964,11.21114961130159,-2.6833582243302376,29.767068995052657
1.86,0.18618618618618618,30.74347704998677,-46.52190446583132,-8.539239968194764,-43.26228888637868,1.0954133646254625,22.0886255482805,5.521075552488298,-32.58681763513903,21.20025251366201,28.181517880876324,8.242102387056509,-5.65896203454954,23.82934802702499,-17.24834255391574,20.969199413586757,21.132621289930835,26.355325579731577,-1.1632906881189247,-32.92987218906347,24.053323985774618,-8.135096848275435,-30.736248601223775,-9.548683057002998,0.9110681007251216,-17.085698215546547,5.145548057185374,-25.19920884427967,23.33883671575016,1.2299903790195132,-25.55102472359855,11.782194953170336,17.407904787834152,-22.208859312734035,3.55944091530122,22.467674546683178,-1.7184933976239154,-26.086126882682066,11.20722151420817,-2.68341620463013,29.764229226064984
1.87,0.1871871871871872,30.7442090049431,-46.52544110301821,-8.539449600215654,-43.26381402712693,1.0919520302322603,22.09481441015728,5.522965422093427,-32.59407032916123,21.20496395467938,28.187131519410364,8.244727992451217,-5.663948739315696,23.825741436211548,-17.245362204895606,20.97081331358362,21.131874782455657,26.356737313227697,-1.1668462808815068,-32.929594629610854,24.05013916196706,-8.136440648546934,-30.736949391095067,-9.540793923070165,0.9127681503722014,-17.089244040208097,5.1435212455983965,-25.19731692166366,23.341440204820053,1.2299023345627036,-25.553270904080804,11.779002911757532,17.403171434908543,-22.200193533211376,3.5681555546263546,22.468596683848588,-1.71926947660228,-26.089031086784736,11.203277866453561,-2.6834427321907124,29.76139012349725
1.8800000000000001,0.1881881881881882,30.74492003241108,-46.52896116248187,-8.539670881562758,-43.26535768789496,1.0884607545518037,22.101044501288243,5.5248445950717455,-32.60132748358328,21.209715418200183,28.192784096382642,8.2474021421328,-5.668957484521194,23.82210152755916,-17.242320498351347,20.972449325670855,21.131150888760786,26.35815528825745,-1.1704441157966181,-32.92933564975646,24.046913611813892,-8.137781014391079,-30.73764855828007,-9.53285495468442,0.9144662896504827,-17.092792455254937,5.141450447821246,-25.19543821014157,23.34404474644297,1.2298004804054514,-25.55556914548143,11.775782422261681,17.398394679826694,-22.19148393800253,3.5769282169938816,22.469532342515357,-1.7200645852442504,-26.09195023519781,11.199318798106551,-2.6834374070130242,29.758552141692938
1.8900000000000001,0.1891891891891892,30.745609789384847,-46.532463814448796,-8.53990392914603,-43.2669201844843,1.0849393835389058,22.10731529533028,5.526712643522865,-32.608587813241556,21.21450739245103,28.19847552405781,8.250125516212549,-5.673988322897704,23.818428277455073,-17.23921631859008,20.97410780833293,21.130450172501913,26.35957953808669,-1.1740842674615832,-32.92909561809318,24.04364731776592,-8.139117617954156,-30.738346105187798,-9.524866468635883,0.9161622526602705,-17.096343033344095,5.139335642802361,-25.193573199899898,23.346650132365028,1.2296848395177498,-25.557920134926448,11.772533172659939,17.393574643579736,-22.182731436558765,3.585757622950377,22.47048171119553,-1.7208789406731917,-26.094884532783876,11.195344442030587,-2.6833998385513365,29.75571573865456
1.9000000000000001,0.19019019019019018,30.74627793550927,-46.53594822601929,-8.540148857547594,-43.26850183918175,1.0813877622269679,22.113626243437025,5.528569137648387,-32.61585001518896,21.219340371361685,28.204205701110816,8.252898800599707,-5.67904131043883,23.814721669193414,-17.236048530734774,20.975789125636982,21.129773201828215,26.361010097103943,-1.1777667934205058,-32.92887490102689,24.040340276793888,-8.140450126881117,-30.739042035130804,-9.516828799031527,0.9178557711118117,-17.09989534174819,5.137176831364542,-25.191722382458604,23.349256156085893,1.2295554391342298,-25.560324561190424,11.769254846861747,17.388711463015344,-22.173936962604955,3.5946424367733787,22.471444978590355,-1.7217127578167215,-26.097834188472845,11.191354933983211,-2.68332964613851,29.752881375839763
1.9100000000000001,0.19119119119119118,30.746924133264994,-46.539413561653305,-8.540405778927013,-43.27010298097769,1.0778057346956407,22.119976774278005,5.530413645896017,-32.62311276947377,21.224214854507863,28.209974512239594,8.255722686931392,-5.684116506340939,23.810981693173783,-17.23281598053151,20.977493647316866,21.129120549339714,26.362447000853155,-1.1814917336820638,-32.92867386253642,24.036992500621594,-8.141778204431171,-30.739736352326126,-9.50874229762423,0.9195465743861577,-17.10344894241231,5.134974036540181,-25.18988625054395,23.35186261297973,1.229412310740223,-25.562783114664295,11.765947124819117,17.383805291013058,-22.165101473994774,3.603581266403657,22.47242233353761,-1.7225662492739269,-26.100799415219385,11.187350412716311,-2.6832264594101924,29.750049517946685
1.92,0.1921921921921922,30.747548048149678,-46.54285898366534,-8.540674802924125,-43.27172394578879,1.0741931440382095,22.12636629408551,5.532245735108103,-32.63037473996502,21.229131347050107,28.21578182777915,8.258597872495342,-5.689213972937181,23.807208347100087,-17.229517494165176,20.97922174885857,21.128492792042405,26.36389028606631,-1.1852591102457564,-32.9284928639281,24.033604015942363,-8.143101509601472,-30.740429061895895,-9.500607334137275,0.9212343895986741,-17.107003392014885,5.132727303882799,-25.18806529795984,23.354469300412028,1.2292554900554877,-25.565296487330862,11.762609682645143,17.378856296642898,-22.156225952537607,3.612572663464694,22.47341396495847,-1.7234396251826112,-26.10378042995615,11.183331020076965,-2.6830899187271875,29.74722063268855
1.93,0.1931931931931932,30.748149348854877,-46.54628365272792,-8.540956036559336,-43.27336507668528,1.0705498323287708,22.13279418672975,5.5340649706745495,-32.63763457522417,21.234090359668617,28.22162750331785,8.26152506014526,-5.694333775624596,23.80340163617932,-17.226151878084384,20.980973811586964,21.127890511301164,26.365339990695823,-1.1890689266377499,-32.92833226358495,24.030174864617887,-8.144419697258963,-30.741120169867667,-9.492424296583586,0.9229189416651788,-17.110558242032678,5.13043670175351,-25.18626001945786,23.357076017851917,1.2290850170155505,-25.567865372748468,11.759242192740945,17.373864665306794,-22.14731140379666,3.6216151233720897,22.47442006180402,-1.7243330930867518,-26.106777453542676,11.17929690110877,-2.682919675595306,29.744395190557658
1.94,0.1941941941941942,30.748727707437936,-46.549686728382774,-8.541249584131304,-43.2750267241225,1.0668756405892743,22.13925981382285,5.535870916690064,-32.64489090942233,21.239092408493743,28.22751137931665,8.264504958208496,-5.699475982784232,23.799561573320123,-17.222717918836455,20.982750222753932,21.127314292790523,26.366796153946684,-1.1929211674574838,-32.92819241671078,24.026705103858486,-8.14573241828047,-30.741809683174505,-9.484193591579047,0.9245999533706829,-17.114113038809904,5.128102321581065,-25.18447091060609,23.359682566979547,1.228900935750611,-25.570490466043385,11.755844323931212,17.368830598862356,-22.138358856857632,3.6307070855354224,22.475440813001423,-1.7252468578043512,-26.109790710709888,11.17524820415346,-2.6827153930819945,29.741573664578848
1.95,0.19519519519519518,30.749282799488363,-46.55306736955905,-8.541555547111873,-43.27670924617673,1.0631704087565086,22.14576251485216,5.537663136115667,-32.65214236330239,21.244138015031904,28.23343328073208,8.267538280385784,-5.704640665694195,23.795688179330796,-17.219214382913396,20.984551375627973,21.126764726443326,26.368258816308355,-1.1968157979362155,-32.928073675069214,24.023194806383852,-8.147039319701076,-30.742497609654848,-9.475915644649122,0.926277145440705,-17.117667323631576,5.125724278094142,-25.182698467656966,23.362288751788075,1.2287032945619598,-25.573172463911323,11.752415741608543,17.36375431572858,-22.12936936406746,3.6398469336548676,22.476476407399772,-1.7261811212958647,-26.112820430000042,11.171185080952622,-2.6824767462290113,29.738756530052587
1.96,0.1961961961961962,30.749814304288083,-46.556424735097856,-8.541874024038199,-43.27841300878515,1.059433975649109,22.152301607343283,5.5394411909443955,-32.65938754518508,21.249227706086614,28.239393016643838,8.270625745642805,-5.709827898435569,23.791781483116562,-17.215640016609754,20.986377669585238,21.126242406397363,26.369728019586287,-1.2007527635086903,-32.92797638671791,24.019644060563408,-8.148340044870816,-30.74318395805215,-9.467590900528073,0.9279502366151227,-17.1212206328011,5.12330270952461,-25.18094318741423,23.364894378679868,1.2284921458958535,-25.575912064628575,11.748956107886734,17.358636050973185,-22.12034400074266,3.6490329961146504,22.477527033715717,-1.72713608253339,-26.11586684370209,11.167107686749352,-2.682203422460407,29.735944264287884
1.97,0.1971971971971972,30.75032190496498,-46.55975798428217,-8.542205110401918,-43.280138385989815,1.0556661789346726,22.158876387053215,5.541204642371123,-32.66662505201791,21.25436201367433,28.245390379887834,8.273768078093283,-5.715037757791166,23.7878415218758,-17.211993545893396,20.988229510202082,21.125747930940054,26.37120380693308,-1.204731989399128,-32.92790089573807,24.016052970535387,-8.149634233619722,-30.74386873801439,-9.45921982344997,0.9296189437245195,-17.12477249772222,5.120837777780517,-25.17920556709925,23.36749925655646,1.2282675463147965,-25.578709968073195,11.745465081763216,17.353476056381304,-22.11128386484675,3.6582635464751565,22.478592880478836,-1.7281119373708012,-26.11893018778231,11.163016180389633,-2.681895121985047,29.73313734632521
