t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43
1.57,0.15715715715715717,5.604940596580875,7.757954239286929,24.44548482637734,-27.49204513731629,9.362852987163919,26.464616011096467,-17.508577205590488,-36.509170419888584,38.37195515937194,-12.134225868008935,-1.8382572835490525,-5.8921035853957875,20.592333832083245,8.617455057171245,-3.115695974731112,2.6143156305476962,-6.57128482127807,-4.3981000765394445,15.435021832851971,-37.258625029746675,0.7776645502291004,-31.775399377795274,7.950962644415247,3.931820114533604,-6.021968952075998,-18.182591168956552,-12.978365566264706,37.920102038673086,18.343972647472683,28.102823316499165,33.08287100224711,3.143817505714091,29.817558801418343,-25.743259783328533,-15.610717476199442,-34.57042988033316,-14.693380151989945,33.2190931068173,33.80468144119388,-34.5658675648153,-24.961929839952777,-18.2264847768383,-25.817429199345035,30.015774343461544
1.58,0.15815815815815815,5.604740482090626,7.757852943023915,24.44667233466872,-27.49427109572857,9.358067962702835,26.464801935567888,-17.507516775683083,-36.51032918162755,38.374414115525,-12.134248467200882,-1.838988607405716,-5.8908111183270595,20.59367397318107,8.610997023121106,-3.116085799042744,2.6145988374906044,-6.5721183029423464,-4.404467655488112,15.432632330827078,-37.2562081667867,0.784132874129753,-31.770305807132722,7.95759750184315,3.931803169264089,-6.02394208310994,-18.182100603776764,-12.978315792804315,37.92337367894053,18.34400620885087,28.098569222421013,33.08475785526487,3.1418036581831106,29.819327261651715,-25.738820919079593,-15.612031929388074,-34.57075395144166,-14.692224668446219,33.21996525652583,33.80336444870093,-34.57623597305748,-24.960909433137815,-18.225833633006012,-25.815632090071407,30.017161525977397
1.59,0.15915915915915915,5.604538890463383,7.757754283180344,24.447867731785696,-27.496540197503847,9.353255349376342,26.464996969728343,-17.506452112071766,-36.51147348800898,38.376901723707704,-12.134264782514007,-1.839740672297885,-5.889508855107583,20.594991514337035,8.604534433946366,-3.1164849204765406,2.614856626087203,-6.572932175748387,-4.410869211103534,15.430195634654606,-37.25375671094117,0.7906903042214026,-31.765190796962546,7.964260714278956,3.9317744702413506,-6.025903879517608,-18.18158803076772,-12.978253534065828,37.92666420129776,18.344064610785555,28.09427682530305,33.08663065241833,3.1397625729448486,29.821095795528215,-25.734330586303006,-15.613382020144146,-34.57108259366585,-14.691071294014396,33.22082957611893,33.802014388558845,-34.586669596391054,-24.95986451760009,-18.225171363352057,-25.81381586154055,30.018552476401634
1.6,0.16016016016016016,5.604335892032888,7.757658398029471,24.44907119355723,-27.49885327580599,9.348415381654133,26.465201098601046,-17.505383580125063,-36.51260309647725,38.37941824834035,-12.134274775724084,-1.8405140339718884,-5.888196590058368,20.59628585081148,8.598068053173904,-3.1168934660847625,2.615088470529219,-6.573726095913365,-4.417304006192694,15.427711164743174,-37.25127032110362,0.7973375341820114,-31.760054554004743,7.970951542112783,3.931733622600812,-6.027853855815506,-18.181053048854846,-12.97817866778406,37.92997364208799,18.34414848713719,28.089946023474546,33.08848909567182,3.1376939023481705,29.822864258719008,-25.72978811147092,-15.614768636132933,-34.57141607676627,-14.689920009874177,33.22168573379013,33.80063088877292,-34.59716773771587,-24.9587949409255,-18.224497882918115,-25.81198036584607,30.01994719246317
1.61,0.16116116116116116,5.604131559903298,7.757565428122974,24.4502829006134,-27.501211174031805,9.343548298843515,26.465414301196557,-17.504311553451853,-36.51371776645702,38.381963948437615,-12.134278409847209,-1.841309261382383,-5.886874111497335,20.597556377758583,8.591598639744483,-3.1173115623663867,2.6152938439818563,-6.574499722913961,-4.423771279041431,15.425178341827323,-37.24874865335019,0.8040752413818244,-31.75489728133969,7.977669228774102,3.931680223385488,-6.029791523233484,-18.180495252459753,-12.978091072607977,37.93330203714465,18.344258480497665,28.0855767192635,33.0903328910168,3.1355972973105692,29.82463250726898,-25.725192810604568,-15.616192685053143,-34.57175467847203,-14.688770788007261,33.22253339398633,33.79921357896638,-34.607729670783954,-24.957700552971197,-18.22381310667097,-25.810125451903872,30.021345674288927
1.62,0.16216216216216217,5.603925970017068,7.75747551629568,24.451503038476577,-27.503614745747267,9.338654345055627,26.465636550529943,-17.503236413760735,-36.514817259426906,38.38453907732204,-12.134275649121166,-1.8421269369263682,-5.8855412017233615,20.598802490578244,8.58512694751203,-3.117739335184935,2.615472218723558,-6.575252719588108,-4.430270243339763,15.422596587316162,-37.24619136102375,0.8109040857111515,-31.749719178219696,7.984413000688116,3.931613861493104,-6.031716389742384,-18.179914231499364,-12.9779906280943,37.936649421794584,18.344395242351506,28.081168819275582,33.09216174862287,3.133472407542633,29.826400397671698,-25.72054398946246,-15.617655095105597,-34.57209868468584,-14.687623591012999,33.223372217566386,33.79776209060737,-34.61835463996606,-24.956581205864154,-18.223116949517603,-25.808250965409353,30.022747924537583
1.6300000000000001,0.16316316316316315,5.603719201224764,7.75738880766967,24.45273179765395,-27.506064854612525,9.333733769167408,26.465867813645648,-17.50215855070499,-36.515901338990744,38.387143882336524,-12.134266458983522,-1.8429676566768614,-5.884197637003798,20.600023585278723,8.578653724743251,-3.1181769096837724,2.615623066286619,-6.575984752232885,-4.436800088134741,15.41996532365857,-37.243598094824286,0.817824708371611,-31.744520439876002,7.9911820672375065,3.931534117627763,-6.033627960082202,-18.17930957138694,-12.977877214699669,37.94001583086231,18.34455943324128,28.0767222346816,33.09397538298682,3.131318881783576,29.82816778694574,-25.71584094374716,-15.619156815470756,-34.5724483896926,-14.686478371925888,33.22420186196726,33.79627605724139,-34.629041860039585,-24.955436753997315,-18.222409326321042,-25.806356748795242,30.02415394853789
1.6400000000000001,0.16416416416416416,5.603511335356874,7.757305449657753,24.453969373731336,-27.50856237429524,9.328786824779293,26.4661080516502,-17.501078361712892,-36.51696977094633,38.38977860455643,-12.134250806046373,-1.8438320306159268,-5.882843187565592,20.601219058850077,8.572179713618285,-3.1186244101988922,2.615745857598418,-6.576695490698341,-4.443359977811951,15.417283974725352,-37.2409685029059,0.824837730630734,-31.739301257321205,7.9979756207295125,3.93144056425643,-6.035525735790783,-18.178680853035193,-12.977750713771325,37.94340129867544,18.34475172293716,28.072236881513447,33.09577351307944,3.129136368048025,29.82993453271237,-25.711082959331122,-15.620698816794986,-34.57280409637159,-14.685335074035075,33.22502198137771,33.794755114729156,-34.63979051599858,-24.954267054023262,-18.221690151917084,-25.8044426411902,30.025563754431737
1.6500000000000001,0.16516516516516516,5.603302457297706,7.757225591966298,24.45521596746832,-27.51110818837164,9.32381377016856,26.466357219752986,-17.499996251803204,-36.5180223233515,38.39244347850159,-12.134228658067686,-1.8447206828667424,-5.881477617590175,20.60238830964828,8.565705649733138,-3.119081960169224,2.6158400631230165,-6.57738460847701,-4.449949052106715,15.414551966208762,-37.23830223098062,0.8319437525398989,-31.734061817147037,8.004792836368305,3.931332765570501,-6.037409215233082,-18.178027652861566,-12.977611007536295,37.946805859071354,18.34497279061072,28.067712680968345,33.097555862489855,3.126924513884213,29.831700493274536,-25.706269312502013,-15.622282091685456,-34.573166116412146,-14.684193630706043,33.225832226919415,33.79319890148978,-34.65059976288657,-24.953071964845428,-18.22095934113192,-25.802508478378282,30.02697735332212
1.6600000000000001,0.16616616616616617,5.60309265506146,7.757149386597398,24.45647178489471,-27.513703190214674,9.31881486823831,26.466615267315234,-17.498912633385693,-36.51905876658731,38.39513873184883,-12.134199983919144,-1.8456342519243645,-5.880100685212267,20.603530737790045,8.559232261604606,-3.1195496820445023,2.6159051530028767,-6.578051782788889,-4.456566426146084,15.411768726039744,-37.23559892242938,0.8391433516156596,-31.728802301317486,8.011632872232603,3.9312102774527413,-6.039277893631022,-18.177349542795955,-12.977457979089053,37.95022954540497,18.345223325012903,28.063149559721246,33.099322159567,3.124682966643748,29.833465527697122,-25.701399270228016,-15.62390765521352,-34.573534770532774,-14.68305396520465,33.22663224683554,33.791607058749285,-34.66146872565315,-24.951851347606883,-18.220216808800735,-25.80055409275936,30.028394759426213
1.67,0.16716716716716717,5.6028820198705604,7.757076987850348,24.45773703740832,-27.51634828286874,9.313790386462056,26.466882137907355,-17.497827926046554,-36.52007887341822,38.39786458514543,-12.134164753550449,-1.8465733908848365,-5.878712142522757,20.604645745558216,8.55276027017842,-3.120027697190754,2.615940597200424,-6.578696694661657,-4.463211190522622,15.408933684823262,-37.232858218420475,0.8464370814846143,-31.723522886957234,8.018494869258479,3.9310726474498656,-6.041131263093965,-18.176646090290948,-12.977291512377649,37.95367239055781,18.345504024656243,28.05854745024517,33.10107213755808,3.1224113737630677,29.83522949588846,-25.696472090443528,-15.625576545426389,-34.573910388703666,-14.681915990523697,33.22742168668666,33.789979230794394,-34.67239649903479,-24.95060506567667,-18.219462469787388,-25.798579313310572,30.029815990233665
1.68,0.16816816816816815,5.602670646236335,7.757008552322416,24.45901194187409,-27.51904437891033,9.30874059682388,26.467157769374786,-17.49674255631861,-36.52108241904912,38.40062125152404,-12.134122937950023,-1.8475387676722705,-5.8773117355758275,20.605732737817686,8.546290388341358,-3.1205161257934777,2.6159458656391856,-6.579319029005891,-4.469882411400998,15.406046276292026,-37.230079758035764,0.8538254704920698,-31.718223746135383,8.025377951227297,3.930919414751055,-6.042968812649865,-18.175916858334833,-12.97711149218826,37.95713442694823,18.345815598001238,28.05390629113923,33.10280553474355,3.120109383056703,29.83699225868299,-25.691487022355656,-15.627289823866896,-34.574293310372546,-14.680779609212173,33.228200189553895,33.78831506523145,-34.68338214746077,-24.949332984633728,-18.218696239005176,-25.796583965548987,30.031241066670415
1.69,0.16916916916916916,5.602458632042144,7.756944238908876,24.4602967207245,-27.52179240029398,9.303665775754137,26.467442093912478,-17.495656957436243,-36.52206918117901,38.40340893641965,-12.134074509102057,-1.848531065263509,-5.875899204400492,20.60679112244168,8.539823320438055,-3.1210150867585966,2.615920428344218,-6.579918474685068,-4.476579130658346,15.40310593777893,-37.22726317840501,0.8613090202748551,-31.712905045644547,8.032281224758732,3.930750110172695,-6.044790028277107,-18.17516140546757,-12.976917804128169,37.9606156865429,18.346158763646923,28.049226027464034,33.10452209456849,3.1177766430224305,29.83875367792509,-25.686443306771952,-15.629048576101082,-34.574683884693684,-14.679644713207349,33.22896739624925,33.78661421325048,-34.6944247049848,-24.948034972248436,-18.217918031438824,-25.794567871495488,30.032670013268113
1.7,0.17017017017017017,5.602246078629042,7.75688420880227,24.46159160206137,-27.524593278182916,9.29856620406072,26.467735038148106,-17.494571569075035,-36.52303894005124,38.406227837289016,-12.134019439939854,-1.8495509819099623,-5.874474283016719,20.607820310748323,8.533359761793244,-3.1215246976112883,2.615863755581533,-6.580494724580128,-4.4833003660593045,15.40011211070847,-37.22440811484863,0.8688882042987564,-31.70756694677526,8.039203779308806,3.9305642561496317,-6.04659439293711,-18.174379285799915,-12.976710334607125,37.96411620086956,18.346534250525615,28.04450661108418,33.1062215657698,3.1154128031583683,29.840513616553956,-25.681340176449776,-15.630853912253327,-34.575082470760094,-14.67851118366988,33.22972294553295,33.78487632989427,-34.705523175242945,-24.946710898461763,-18.217127762167728,-25.792530849640112,30.034102858339473
