t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
2.31,0.23123123123123124,-30.876536627924462,-10.92877031497082,25.503295212024792,-19.07997854925546,-31.899678616514,36.529561047862366,-18.389614965493774,-21.463722554622088,-1.866286698776775,-12.389433305873577,-10.910011694683698,18.02450400288768,-11.997062376075084,6.806330467772946,25.016541724605087,27.173020279853,6.945385254865887,25.486230176014047
2.32,0.23223223223223222,-30.87969161466859,-10.928947640154755,25.505138724954996,-19.0794473039151,-31.892821609494984,36.53337281934706,-18.391938637417503,-21.46240745782117,-1.8638863267266481,-12.390074941123409,-10.914577403925225,18.027074610926288,-11.997389366889777,6.803497321709503,25.01632008320577,27.165810183250436,6.946791726097751,25.486949294341436
2.33,0.23323323323323322,-30.882832045786834,-10.929134967411699,25.50696577118192,-19.078914594291952,-31.885952284214643,36.537198873286286,-18.394249173472012,-21.46108314916658,-1.8614570341235301,-12.390716523160552,-10.919177179201023,18.029651591824837,-11.997725777890915,6.800660082432722,25.01609154032158,27.158569777704997,6.948197086371917,25.48768046729156
2.34,0.23423423423423423,-30.885957570327257,-10.929332441352859,25.508776075116884,-19.078380446243624,-31.87907143461391,36.54103911828344,-18.39654629513626,-21.459749528767183,-1.8589984486740732,-12.391358034073738,-10.923810905561009,18.032234868799414,-11.998071758742837,6.797818923032798,25.0158560520396,27.151299528727492,6.949601132262907,25.488423626926295
2.35,0.23523523523523523,-30.88906784058775,-10.92954020652024,25.510569361374994,-19.07784488558983,-31.87217986170995,36.544893460721866,-18.398829728104317,-21.458406494588864,-1.8565101943540971,-12.391999456033675,-10.928478458369469,18.034824364983812,-11.998427459304535,6.794974017718351,25.015613574290857,27.14399991112555,6.951003657825346,25.48917869881803
2.36,0.23623623623623624,-30.892162512300605,-10.929758407343694,25.512345354823935,-19.077307938110835,-31.865278373300626,36.54876180476596,-18.40109920246652,-21.457053942431365,-1.8539918914497748,-12.39264077130628,-10.933179703255655,18.03742000345183,-11.998793029561261,6.792125541791053,25.015364062848786,27.13667140891227,6.952404454626503,25.48994560200236
2.37,0.23723723723723725,-30.89524124481635,-10.929987188097364,25.514103780633945,-19.076769629545957,-31.858367783662167,36.552644052363206,-18.403354452888905,-21.455691765905105,-1.8514431566023768,-12.393281962266157,-10.937914496071777,18.040021707239347,-11.999168619554183,6.789273671619536,25.01510747332765,27.12931451520675,6.953803311780831,25.49072424893517
2.38,0.23823823823823823,-30.898303701286622,-10.93022669285556,25.515844364329013,-19.07622998559209,-31.851448913240283,36.55654010324716,-18.405595218790733,-21.45431985640801,-1.8488636028566734,-12.393923011410335,-10.942682682858537,18.042629399366106,-11.999554379308117,6.786418584612566,25.01484376118096,27.12192973212644,6.955200015986554,25.491514545454255
2.39,0.23923923923923923,-30.901349548845886,-10.930477065448096,25.517566831839318,-19.075689031902254,-31.844522588334964,36.560449854941375,-18.407821244519802,-21.452938103102365,-1.84625283971309,-12.39456390137224,-10.947484099818373,18.045243002857262,-11.99995045875737,6.783560459191506,25.014572881699856,27.11451757067128,6.956594351564281,25.49231639074565
2.4,0.24024024024024024,-30.904378458791804,-10.93073844941511,25.51927090955494,-19.075146794084215,-31.837589640779235,36.56437320276436,-18.410032279525403,-21.451546392891704,-1.8436104731837135,-12.3952046149359,-10.952318573296509,18.04786244076457,-12.00035700766972,6.78069947476206,25.01429479001148,27.107078550599596,6.957986100497664,25.493129677314727
2.41,0.24124124124124124,-30.907390106764005,-10.93101098796142,25.52095632438084,-19.074603297699113,-31.830650907612124,36.56831003983546,-18.412228078528653,-21.450144610397714,-1.8409361058522486,-12.395845135050354,-10.957185919769959,18.050487636187256,-12.000774175568584,6.77783581168531,25.014009441077306,27.099613200295742,6.959375042476102,25.49395429096224
2.42,0.24224224224224225,-30.91038417292112,-10.93129482391044,25.522622803793187,-19.07405856826016,-31.823707230746113,36.5722602570818,-18.414408401689975,-21.44873263793721,-1.8382293369380203,-12.396485444844282,-10.962085945844578,18.053118512292535,-12.001202111653395,6.774969651248054,25.013716789691475,27.092122056629467,6.96076095493948,25.494790110765376
2.43,0.24324324324324323,-30.913360342115812,-10.93159009965769,25.524270075896972,-19.07351263123135,-31.816759456629384,36.576223743246246,-18.416573014773522,-21.447310355499148,-1.8354897623641249,-12.3971255276408,-10.96701844826025,18.055754992335707,-12.001640964718263,6.7721011756324545,25.013416790479106,27.084605664807015,6.962143613124954,25.495637009063973
2.44,0.24424424424424424,-30.91631830406766,-10.931896957123953,25.52589786948502,-19.072965512026236,-31.809808435903133,36.58020038489638,-18.418721689308327,-21.445877640721733,-1.8327169748298249,-12.397765366972441,-10.971983213904291,18.05839699967988,-12.002090883068925,6.769230567884995,25.013109397894592,27.077064578214006,6.963522790115763,25.49649485145197
2.45,0.24524524524524524,-30.91925775353364,-10.932215537708098,25.527505914098345,-19.072417236006764,-31.802855023054246,36.58419006643458,-18.420854202745954,-21.44443436886958,-1.8299105638872908,-12.398404946596305,-10.976980019833137,18.061044457815225,-12.002552014438097,6.766358011884772,25.012794566219892,27.069499358250113,6.964898256892069,25.497363496774195
2.46,0.24624624624624625,-30.92217839047606,-10.932545982239624,25.52909394008789,-19.071867828482112,-31.795900076063685,36.58819267010912,-18.422970338614434,-21.442980412810986,-1.827070116022786,-12.399044250509323,-10.982008633302355,18.063697290377796,-12.003024505899216,6.763483692311109,25.012472249562812,27.061910574155544,6.966269782383801,25.498242797128583
