t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0.36,0.036036036036036036,-23.414770490467326,-3.422020299252484,10.36975890318451,-24.453658624752215,35.74833135315421,-34.18988058516976,10.721068551303993,-20.407531507438044,-1.1455194954437118,-9.35517768050459,-10.494181635525292,35.41922571160704,-23.057072270169478,21.809119462569743,7.764514408732179,16.76889276618621,-36.643619503720274,-35.09944125870493,-26.469290124053956,23.17737097149065,34.11111836969139,6.548210125688263,-32.77080121625231,-37.33733020696127,10.318536960473164,25.18728902957516,28.822639677439806,35.764495803596766,5.855113875539599,12.040839242192245
0.37,0.037037037037037035,-23.41396786731288,-3.421567277778243,10.370269097396605,-24.453720556950106,35.748864991052564,-34.190428162907246,10.720733850107603,-20.407990937747137,-1.1468012945342878,-9.355339286787084,-10.49391014906035,35.42095655736566,-23.0569987789681,21.81023945255104,7.765549378036218,16.76943621111101,-36.64416537654209,-35.09932467815379,-26.471319470328076,23.177376899538423,34.111342368922124,6.548997549357176,-32.771628231927096,-37.33874108984641,10.319450544849648,25.187670631645783,28.823058159194215,35.76472784226517,5.853752652901882,12.039707286557068
0.38,0.03803803803803804,-23.413127775709626,-3.421099147192844,10.370786848069335,-24.453771306343217,35.74939367959452,-34.19097208198862,10.720383694138237,-20.408451682191476,-1.1481177269129528,-9.355499594378342,-10.493624231537375,35.42271452632053,-23.056910297718968,21.811378454133564,7.766608706210905,16.76998413592999,-36.644705915563165,-35.09918502382349,-26.47338926794061,23.177370375064946,34.11155459965599,6.549803130243353,-32.7724597801296,-37.34016943497626,10.320382701106203,25.188048194477975,28.823471892271552,35.764946162061385,5.852350141120215,12.038536340017135
0.39,0.03903903903903904,-23.41225000608908,-3.4206158598558383,10.371312086201565,-24.453810915473827,35.74991740616864,-34.19151237233613,10.720018040505604,-20.40891375426552,-1.1494687723656014,-9.35565858083681,-10.493323807785906,35.424499510672725,-23.05680680087317,21.812536463334677,7.767692382067531,16.770536422314045,-36.64524109279761,-35.09902228644845,-26.475499430414843,23.17735140611259,34.11175517019907,6.550626852286632,-32.77329586811203,-37.341615180861055,10.321333327535154,25.188421680917184,28.823880861757814,35.76515074852631,5.850906344451486,12.037326339474133
0.4,0.04004004004004004,-23.411334341022783,-3.4201173670138685,10.371844741051097,-24.453839427241586,35.7504361568367,-34.192049065651226,10.719636843966324,-20.409377169080187,-1.1508544099914084,-9.355816224410356,-10.49300880096111,35.42631139953753,-23.056688261200087,21.813713475832735,7.768800393900169,16.771092948426936,-36.64577087851634,-35.09883645721553,-26.477649869313137,23.177320000360886,34.11194419334609,6.55146869890047,-32.77413650483281,-37.34307826544879,10.322302318973614,25.188791054033654,28.824285053187594,35.76534158753606,5.849421269058907,12.036077220959736
0.41000000000000003,0.04104104104104104,-23.41038055517246,-3.419603618804732,10.37238474010963,-24.453856884896155,35.75094991631766,-34.19258219541279,10.719240056914607,-20.40984194338553,-1.1522746181778218,-9.355972504034009,-10.49267913254162,35.42815007889324,-23.056554649778054,21.814909486955628,7.769932729477074,16.771653588926462,-36.64629524124029,-35.09862752775292,-26.479840494192135,23.177276165117515,34.112121786380065,6.552328652982309,-32.77498170097335,-37.34455862613671,10.323289566758637,25.18915627712998,28.824684452530548,35.765518665283565,5.847894923074841,12.034788919656101
0.42,0.04204204204204204,-23.409388415239043,-3.419074564261868,10.372932009077351,-24.45386333202943,35.7514586679713,-34.193111796875165,10.718827629372818,-20.41030809559433,-1.1537293745756247,-9.356127399327333,-10.49233472232747,35.43001543152928,-23.056405935984852,21.816124491668926,7.771089376032033,16.772218214966166,-36.646814147733295,-35.098395490118754,-26.482071212557827,23.17721990730927,34.112288071071866,6.553206696924309,-32.775831468955296,-37.34605619978292,10.324294958681698,25.189517313748777,28.82507904617744,35.76568196825968,5.846327316664504,12.033461369917104
0.43,0.043043043043043044,-23.408357679910523,-3.4185301513192905,10.373486471837209,-24.453858812567404,35.75196239378134,-34.193637907066,10.718399508981907,-20.410775645806698,-1.1552186560740896,-9.356280890591417,-10.49197548843817,35.43190733699374,-23.056242087488016,21.817358484563595,7.772270320255666,16.772786694197688,-36.647327562994526,-35.09814033678947,-26.484341929820577,23.177151233473072,34.11244317367987,6.554102812624429,-32.77668582295835,-37.347570922718056,10.32531837894253,25.189874127680483,28.825468820925817,35.765831483233676,5.84471846209049,12.032094505290356
0.44,0.044044044044044044,-23.407288099808678,-3.417970326816976,10.374048050428879,-24.45384337076159,35.75246107433816,-34.19416056478389,10.71795564099177,-20.41124461583557,-1.1567424387762502,-9.35643295880548,-10.49160134731089,35.43382567154033,-23.056063070234977,21.818611459843297,7.773475548286691,16.773358890773736,-36.64783545025053,-35.097862060647756,-26.486652549250127,23.177070149746996,34.112587224949536,6.555016981497883,-32.77754477893854,-37.3491027307571,10.32635970810237,25.190226682971314,28.825853763965313,35.7659671972333,5.843068373778072,12.030688258540003
0.45,0.04504504504504504,-23.406179417434743,-3.417395036506725,10.37461666502244,-24.453817051180085,35.75295468882104,-34.19467981059587,10.717495968251514,-20.41171502923321,-1.1583006979743184,-9.35658358562307,-10.49121221369879,35.43577030807479,-23.055868848443037,21.819883411311274,7.774705045703143,16.77393466535172,-36.64833777094691,-35.09756065497026,-26.489002971930642,23.176976661861286,34.11272036011294,6.555949184488939,-32.77840835464711,-37.350651559211315,10.327418823036625,25.19057494393133,28.826233862862548,35.766089097524244,5.84137706838124,12.029242561670305
0.46,0.04604604604604605,-23.40503136711405,-3.4168042250585127,10.375192233891813,-24.45377989869819,35.75344321498005,-34.19519568683461,10.717020431199677,-20.412186911318628,-1.159893408125272,-9.356732753367867,-10.490808000669496,35.437741116100746,-23.05565938458916,21.821174332356797,7.775958797513572,16.77451387509807,-36.64883448473957,-35.09723611341494,-26.49139309671581,23.176870775129412,34.11284271888832,6.556899402083085,-32.77927656964986,-37.352217342900246,10.328495596887027,25.190918875142657,28.826609105545685,35.76619717158912,5.839644564849425,12.02775734595003
0.47000000000000003,0.04704704704704705,-23.40384367493966,-3.4161978360673437,10.375774673387964,-24.45373195848862,35.75392662911743,-34.19570823759546,10.7165289678544,-20.412660289205977,-1.1615205428266397,-9.356880445029056,-10.490388619603735,35.439737961665244,-23.055434639399593,21.82248421594116,7.777236788148219,16.775096373693252,-36.649325549485575,-35.09688843000811,-26.4938228201841,23.17675249443913,34.1129544454795,6.557867614319546,-32.780149445347014,-37.353800016163866,10.329589899013289,25.191258441467813,28.826979480288614,35.76629140710596,5.837870884494862,12.026232541937663
0.48,0.04804804804804805,-23.402616058715093,-3.4155758120606308,10.376363897911917,-24.453673276011305,35.754404906068565,-34.19621750873328,10.71602151380359,-20.413135191833895,-1.1631820747925106,-9.357026644256276,-10.489953980194132,35.441760707303736,-23.055194571839337,21.823813054583237,7.778539001450174,16.77568201133754,-36.649810921233666,-35.09651759913115,-26.496292036594173,23.176621824243558,34.11305568857532,6.558853800804153,-32.78102700499367,-37.355399512874826,10.330701594944328,25.191593608058206,28.82734497569477,35.766371791926154,5.836056051060536,12.024668079507435
