t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
1.44,0.14414414414414414,39.623818547059074,11.319586284950388,-16.83675841959684,-0.38246989690170247,-34.54440302856634,14.492238658012674,-37.53589118574914,28.913075217101245,-22.735804972396373,35.384129013112606,10.793372951850351,13.109875352968873,-14.662092303908203,-30.411697575511994,-10.722661908525481,19.735552612659667,-30.584138855859088,-6.2769162619962025,-34.236196619346416,27.104760997814445,-10.170823609628323,20.48135926583306,1.871802225863674,16.173011276028436,15.225760115004192,27.995299792925813,33.39810316822997,32.280998181703026,-19.395585099540057,1.0162896149897318,13.781731802419452,13.15738291344555,-30.681361913277865,-0.44633617072946663,-31.943355256072287,-29.83249211837499,-11.61900088966211
1.45,0.14514514514514515,39.62403396593745,11.320275671989323,-16.840258713159557,-0.38339048061073966,-34.54806145012667,14.489996106036077,-37.53275379147365,28.91293568868274,-22.736365799564076,35.384238193516836,10.795090141806403,13.110868124084066,-14.661699637934893,-30.408377971379576,-10.7225369340412,19.737328561333488,-30.58041926452487,-6.2742765625778425,-34.23768953326356,27.100448230535278,-10.177804086661139,20.47914546134714,1.8717363640127054,16.17090333763542,15.222621459242712,27.99202171269061,33.39493980947995,32.280585073500376,-19.392967226329496,1.0187933012655956,13.784915691157714,13.16460434791634,-30.680430418068923,-0.4468002472796492,-31.940753224050724,-29.83051251393452,-11.620221480859794
1.46,0.14614614614614616,39.62422936149247,11.320974690407564,-16.84378247586002,-0.3843075798111399,-34.55175229891687,14.487745002223352,-37.529575312129076,28.912785581024476,-22.73693605147509,35.384328866724054,10.79683620018194,13.111864821687497,-14.66132610547085,-30.405032045194815,-10.72241659333548,19.739113811562856,-30.576678054183805,-6.271613410087435,-34.239197409661685,27.096091457895263,-10.18481961034001,20.476931492923377,1.87166318768188,16.168766318394248,15.219466933516609,27.988711580416343,33.3917445233535,32.28016619509798,-19.390316330620468,1.0213134937779151,13.788111949995432,13.171881570747061,-30.67948457463945,-0.4472538879299404,-31.93811388121383,-29.828521650901756,-11.621437861002759
1.47,0.14714714714714713,39.624404572094264,11.321683505472578,-16.84732970870959,-0.385220972123919,-34.555475853619186,14.485485710871899,-37.5263556137087,28.912624679314185,-22.73751593538387,35.3844007397986,10.798611697053241,13.11286545166847,-14.660972304921653,-30.40165986662764,-10.722301007338304,19.74090831407014,-30.572915679982668,-6.2689268078968485,-34.240720432225544,27.091690836689995,-10.191869381641563,20.474717737521434,1.8715826199009724,16.1665999276435,15.216296741709028,27.98536936812653,33.38851732180909,32.2797415072919,-19.38763207965074,1.0238501423279802,13.79132035408278,13.179214008833261,-30.678524451007622,-0.44769673679449673,-31.935437009751258,-29.826519708552546,-11.622649780014356
1.48,0.14814814814814814,39.624559442281466,11.322402284363656,-16.850900409683554,-0.3861304337312984,-34.55923239456249,14.483218603457507,-37.52309457050784,28.91245276419604,-22.738105661374117,35.38445351738156,10.800417214962057,13.113870021706163,-14.66063884215325,-30.39826150804311,-10.722190296209899,19.742712016530394,-30.56913260753235,-6.266216763396159,-34.24225878519656,27.08724654009701,-10.19895257858057,20.472504573564496,1.8714945856604148,16.164403873814113,15.213111089516126,27.981995051209438,33.38525822233276,32.27931096884773,-19.384914135998308,1.0264031948351802,13.794540675610563,13.186601057605078,-30.67755012098336,-0.4481284328480646,-31.93272239596806,-29.824506868591627,-11.623856986281778
1.49,0.14914914914914915,39.62469382292563,11.32313119617595,-16.85449457356548,-0.3870357394047178,-34.563022203637885,14.480944058589333,-37.51979206543812,28.91226961170878,-22.738705442413682,35.38448690163216,10.80225334920251,13.114878541336205,-14.66032633053424,-30.39483704455086,-10.722084579296228,19.74452486345011,-30.565329312812196,-6.263483288090585,-34.24381265333944,27.082758757920306,-10.206068356232997,20.47029238087022,1.8713990119255843,16.162177864563894,15.209910184421272,27.978588608509526,33.38196724806913,32.278874536529905,-19.38216215756793,1.0289725972989034,13.79777268382912,13.194042080735478,-30.676561664234747,-0.44854860985876066,-31.929969830518584,-29.82248331516985,-11.625059226698363
1.5,0.15015015015015015,39.62480757139271,11.323870411924032,-16.858112191788173,-0.387936662533516,-34.56684556421041,14.478662461956052,-37.51644799034327,28.912074993223275,-22.73931549441069,35.38450059216676,10.804120708114793,13.115891022018378,-14.660035390977603,-30.391386554054243,-10.721983975084498,19.746346796043646,-30.561506282059323,-6.260726397696679,-34.24538222190803,27.07822769682138,-10.213215846789806,20.46808154057988,1.871295827647423,16.159921606915304,15.206694235668378,27.975150022419257,33.378644427950604,32.27843216513479,-19.379375797579776,1.0315582937604495,13.801016145069225,13.20153640988269,-30.67555916635003,-0.4489568963200697,-31.92717910864479,-29.820449234901123,-11.626256246707646
1.51,0.15115115115115116,39.6249005517013,11.324620104544966,-16.861753252271328,-0.38883297515425713,-34.57070276102689,14.476374206262978,-37.51306224631598,28.91186867537952,-22.739936036270976,35.38449428599545,10.806019913385775,13.116907477205366,-14.659766651982002,-30.387910117299057,-10.721888601158675,19.748177752107374,-30.557664011642697,-6.257946112237626,-34.246967676610424,27.073653580535897,-10.220394159642494,20.465872435085693,1.8711849637692697,16.15763480739628,15.203463454234377,27.971679278971212,33.375289796824546,32.27798380752769,-19.376554704560313,1.0341602262649776,13.804270822765051,13.209083344468436,-30.67454271889497,-0.44935291538206124,-31.924350030418893,-29.818404816879013,-11.627447790349173
1.52,0.15215215215215216,39.624972634677306,11.325380448900898,-16.865417739255893,-0.3897244479806778,-34.57459408011965,14.474079691159982,-37.50963474401544,28.911650420023044,-22.740567289956797,35.38446767745629,10.807951600356747,13.1179279224126,-14.659520749672696,-30.38440781792193,-10.721798574155043,19.750017665891686,-30.553803007921694,-6.255142456137502,-34.24856920357328,27.069036650075226,-10.227602381501253,20.46366544795622,1.8710663532297929,16.15531717218396,15.200218052800848,27.968176367930432,33.37190339557817,32.277529414683805,-19.373698522335484,1.036778334823526,13.807536477479191,13.216682151493599,-30.673512419465403,-0.44973628478182787,-31.921482400990193,-29.816350252693073,-11.628633600306141
1.53,0.15315315315315314,39.62502369810473,11.326151621781134,-16.869105633135337,-0.39061085043422744,-34.57851980870623,14.471779323160018,-37.50616540398533,28.911419984140736,-22.741209480546857,35.3844204581472,10.809916418338412,13.118952375289119,-14.659298327842208,-30.380879742498188,-10.721714009717838,19.75186646797093,-30.549923787088975,-6.2523154583143565,-34.25018698930544,27.06437716391202,-10.234839576546609,20.46146096385993,1.8709399309619197,16.152968407251045,15.1969582457248,27.964641282886948,33.3684852712609,32.277068935733226,-19.37080689002632,1.0394125573751307,13.810812866929762,13.224332065392876,-30.67246837173483,-0.4501066167731464,-31.91857603083599,-29.81428573644475,-11.629813417954859
1.54,0.15415415415415415,39.62505362687236,11.326933801903717,-16.872816910283838,-0.39149195067517234,-34.5824802350848,14.469473515548097,-37.50265415697173,28.911177119796072,-22.741862836297628,35.384352316855505,10.81191503093335,13.119980855689459,-14.659100037990841,-30.37732598058927,-10.721635022454953,19.753724085111436,-30.546026874997455,-6.249465152271946,-34.25182122066072,27.05967539814908,-10.242104786615329,20.459259368486805,1.8708056338876629,16.150588218514606,15.193684249008632,27.961074021348406,33.36503547720387,32.27660231801,-19.367879442047048,1.0420628297490746,13.814099746019629,13.232032287929913,-30.671410685496834,-0.4504635180553639,-31.915630736016407,-29.81221146476293,-11.630986983416063
1.55,0.15515515515515516,39.62506231311598,11.327727169916479,-16.876551542881536,-0.39236751563423156,-34.58647564852536,14.467162688280585,-37.49910094424066,28.91092157406374,-22.742527588706004,35.38426293948528,10.813948116366081,13.121013385746508,-14.658926539367178,-30.37374662478956,-10.721561725893764,19.755590440137723,-30.54211280697124,-6.246591576189983,-34.2534720848001,27.054931646670706,-10.24939703142132,20.457061048468,1.8706634009087577,16.148176311987058,15.190396280269285,27.95747458483272,33.361554073136354,32.27612950710532,-19.364915808105835,1.0447290856272995,13.81739686686773,13.239781988134405,-30.670339476702196,-0.450806589701511,-31.912646338432978,-29.810127636819093,-11.632154035608137
1.56,0.15615615615615616,39.62504965635586,11.328531908397581,-16.88030949873699,-0.3932373110447097,-34.59050633915655,14.464847267874672,-37.49550571789476,28.91065308896364,-22.74320397257328,35.38415200898236,10.816016367820966,13.122049989945344,-14.65877849900869,-30.370141770772676,-10.721494232437083,19.757465451797064,-30.53818212760042,-6.243694773012728,-34.255139769153054,27.050146221275792,-10.256715308812186,20.454866391293546,1.8705131728930275,16.14573239392906,15.187094558706567,27.95384297896067,33.358041125298804,32.27565044692487,-19.361915613208247,1.0474112565070113,13.82070397884255,13.247580302282524,-30.66925486749056,-0.4511354270856438,-31.909622666090826,-29.808034454341975,-11.63331431230222
1.57,0.15715715715715717,39.62501556362917,11.329348201855536,-16.884090741106935,-0.3941011014750902,-34.59457259784802,14.462527687287944,-37.49186844118878,28.910371401394304,-22.743892226070482,35.38401920525722,10.818120493788074,13.123090695197973,-14.658656591782618,-30.366511517337077,-10.721432653319257,19.759349034622506,-30.534235390519633,-6.24077479053577,-34.256824461378294,27.04531945179192,-10.264058595062025,20.452675785228024,1.8703548926564069,16.14325617100401,15.183779305070711,27.950179213548378,33.35449670655219,32.27516507975044,-19.358878477663552,1.050109271663514,13.824020828597732,13.255426333922008,-30.668156986216488,-0.45144961980941656,-31.906559553364218,-29.805932121631816,-11.634467550179263
1.58,0.15815815815815815,39.62495994961715,11.330176236728692,-16.887895228513493,-0.39495865036204864,-34.59867471608827,14.460204385787927,-37.48818908884342,28.910076243065603,-22.744592590805027,35.38386420510568,10.820261218417246,13.124135530918979,-14.658561500427275,-30.362855966451022,-10.721377098562451,19.76124109879456,-30.53027315817034,-6.2378316814908334,-34.25852634932376,27.04045168616974,-10.271425845200977,20.450489619224218,1.8701885049405613,16.140747350433884,15.180450741629128,27.946483302699573,33.35092089648339,32.27467334630563,-19.355804017093956,1.052823058113302,13.827347160109845,13.263319153943138,-30.66704596746976,-0.4517487516278868,-31.90345684126533,-29.80382084557407,-11.635613484889017
1.59,0.15915915915915915,39.624882736766665,11.331016201384205,-16.891722914558997,-0.39580972004384446,-34.60281298585781,14.457877808811585,-37.484467647357064,28.90976734043089,-22.745305311888753,35.383686682127625,10.822439281880525,13.12518452910202,-14.658493915593958,-30.359175223296802,-10.721327676933132,19.763141550001695,-30.526296001546843,-6.234865503628435,-34.260245620985955,27.035543290556973,-10.27881599338194,20.448308282834724,1.8700139563860552,16.138205640156055,15.177109092132413,27.942755264897546,33.34731378150627,32.27417518582597,-19.352691842446898,1.055552540577445,13.830682714718321,13.271257800696748,-30.665921952089864,-0.4520324003745542,-31.900314377715954,-29.801700835652607,-11.636751851111008
1.6,0.16016016016016016,39.62478385540588,11.331868286116492,-16.895573747738577,-0.39665407179404616,-34.60698769949769,14.455548407814689,-37.48070411531501,28.909444414618438,-22.746030638007316,35.38348630664365,10.824655440743154,13.126237724397152,-14.658454535889636,-30.355469396314195,-10.721284495898766,19.7650502892998,-30.52230449992605,-6.2318763197982365,-34.261982464468645,27.03059464935135,-10.286227953284795,20.446132166121462,1.8698311955010274,16.13563074898074,15.173754581779583,27.938995123096728,33.343675454958245,32.273670536133096,-19.34954156001053,1.0582976414452998,13.834027231167548,13.27924128016033,-30.664785087174458,-0.45230013788563533,-31.897132017821935,-29.799572303962357,-11.637882382617484
1.61,0.16116116116116116,39.624663243853874,11.33273268314516,-16.899447671250687,-0.3974914658555416,-34.61119914957315,14.45321664011106,-37.47689850369573,28.909107181362224,-22.746768821490935,35.383262745609805,10.826910468343328,13.127295154188937,-14.658444067920644,-30.351738597243113,-10.721247661584766,19.766967212970854,-30.518299240581058,-6.228864198026918,-34.26373706794091,27.025606165231867,-10.293660618558372,20.443961659563087,1.869640172625349,16.133022386748742,15.17038743718258,27.935202904813774,33.3400060171919,32.27315933371338,-19.346352771432453,1.0610582807385789,13.837380445651137,13.287268566153157,-30.663635526081823,-0.4525515299235744,-31.893909624150087,-29.797435465221355,-11.639004812338365
1.62,0.16216216216216217,39.62452084852385,11.33360958661243,-16.903344622805736,-0.3983216614747843,-34.61544762873249,14.450882968701686,-37.47305083617375,28.908755350932022,-22.747520118386547,35.38301566253059,10.829205155180922,13.12835685867529,-14.658463226337576,-30.347982941165384,-10.721217278731707,19.768892212380933,-30.514280818478696,-6.225829211593401,-34.26550961959458,27.020578259167802,-10.30111286330031,20.441797153960273,1.8694408398902496,16.130380264489084,15.167007886330046,27.931378642218082,33.33630557566144,32.272641513800615,-19.343125073741895,1.0638343760758133,13.840742091858356,13.295338600601287,-30.662473428427134,-0.45278613609979174,-31.890647067007304,-29.795290536782183,-11.640118872428198
1.6300000000000001,0.16316316316316315,39.62435662401974,11.334499192580065,-16.90726453443303,-0.3991444169362211,-34.61973342956081,14.44854786209373,-37.46916114941861,28.908388628062813,-22.74828478853132,35.38274471737012,10.831540309315368,13.129422880947027,-14.658512733881595,-30.344202546545638,-10.721193450652844,19.77082517383781,-30.510249835961154,-6.222771439101251,-34.26730030760113,27.015511370404898,-10.308583542574848,20.43963904033884,1.869233151173411,16.127704094576142,15.163616158550393,27.92752237222161,33.33257424500368,32.272117010463056,-19.339858059375388,1.0666258426372384,13.844111901022739,13.303450293853132,-30.661298960072536,-0.45300350979667015,-31.887344224721566,-29.793137738642752,-11.641224294335133
1.6400000000000001,0.16416416416416416,39.62417053322601,11.335401699025798,-16.91120733228621,-0.3999594895968467,-34.624056844428836,14.446211794109496,-37.465229493389565,28.90800671188346,-22.749063095627562,35.38244956646175,10.833916756772902,13.130493267068085,-14.658593321432436,-30.34039753527126,-10.721176279191928,19.772765978448334,-30.506206902411932,-6.219690964548103,-34.26910932006797,27.010405956428254,-10.316071492968495,20.437487709850696,1.869017062049542,16.124993590885847,15.16021248447417,27.923634136567937,33.32881214711313,32.27158575669458,-19.336551316206112,1.0694325931301372,13.847489601972839,13.311602525046212,-30.660112293110924,-0.4532031980887793,-31.88400098392457,-29.790977293456418,-11.642320808871917
