t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8
0.67,0.06706706706706707,-5.390407362434991,-13.812777320123372,14.999527957419435,3.416457798343293,-8.998437164086113,13.118592883678417,-7.028133325718975,-9.34329023968486,13.997160190612608
0.68,0.06806806806806806,-5.389847374638624,-13.812755637593366,14.999762843074476,3.4159104609464235,-8.999225016638954,13.118510525652447,-7.027571895138086,-9.343943344531601,13.997852856872726
0.6900000000000001,0.06906906906906907,-5.389277388228368,-13.812729880171604,14.99999650925064,3.41535362297597,-9.000021648326804,13.118423534709004,-7.026999564825046,-9.344604499521433,13.998552732143084
0.7000000000000001,0.07007007007007007,-5.388697403716908,-13.812700061946375,15.000228944934276,3.414787270786605,-9.000827047623334,13.118331929705144,-7.026416315384715,-9.345273749928507,13.999259851179257
0.71,0.07107107107107107,-5.388107421638723,-13.812666197128646,15.00046013900099,3.414211390601603,-9.001641202869665,13.118235729782283,-7.025822127038894,-9.345951141652568,13.999974248949064
0.72,0.07207207207207207,-5.387507442550833,-13.812628300054174,15.000690080215971,3.413625968515063,-9.002464102273969,13.118134954370579,-7.025216979623372,-9.346636721224083,14.000695960630262
0.73,0.07307307307307308,-5.386897467033571,-13.812586385185636,15.000918757234363,3.4130309904941885,-9.003295733911056,13.118029623193383,-7.024600852584919,-9.347330535809451,14.00142502160814
0.74,0.07407407407407407,-5.386277495691369,-13.81254046711478,15.00114615860166,3.412426442381621,-9.004136085721989,13.117919756271775,-7.023973724978208,-9.348032633216274,14.002161467473003
0.75,0.07507507507507508,-5.385647529153563,-13.812490560564589,15.001372272754121,3.4118123098978352,-9.004985145513688,13.11780537392916,-7.023335575462686,-9.3487430618987,14.00290533401755
0.76,0.07607607607607608,-5.385007568075234,-13.812436680391475,15.00159708801922,3.411188578643588,-9.00584290095855,13.117686496795962,-7.022686382299371,-9.349461870962832,14.003656657234131
0.77,0.07707707707707707,-5.384357613138046,-13.81237884158748,15.001820592616113,3.410555234102431,-9.006709339594064,13.117563145814374,-7.02202612334759,-9.35018911017221,14.004415473311909
0.78,0.07807807807807808,-5.383697665051128,-13.812317059282499,15.002042774656138,3.4099122616432838,-9.00758444882244,13.117435342243205,-7.021354776061648,-9.35092482995335,14.005181818633877
0.79,0.07907907907907907,-5.383027724551963,-13.812251348746528,15.002263622143344,3.409259646523064,-9.008468215910245,13.117303107662783,-7.020672317487428,-9.351669081401374,14.005955729773785
0.8,0.08008008008008008,-5.382347792407304,-13.812181725391921,15.002483122975045,3.408597373889385,-9.009360627988038,13.11716646397996,-7.01997872425892,-9.352421916285683,14.006737243492916
0.81,0.08108108108108109,-5.381657869414112,-13.81210820477567,15.002701264942399,3.4079254287833165,-9.010261672050017,13.117025433433172,-7.019273972594688,-9.35318338705572,14.00752639673676
0.8200000000000001,0.08208208208208208,-5.380957956400509,-13.81203080260171,15.002918035731021,3.4072437961422057,-9.011171334953675,13.1168800385976,-7.01855803829425,-9.353953546846787,14.008323226631543
0.8300000000000001,0.08308308308308308,-5.380248054226762,-13.811949534723224,15.003133422921618,3.4065524608025695,-9.01208960341945,13.11673030239039,-7.017830896734393,-9.354732449485939,14.009127770480632
0.84,0.08408408408408408,-5.37952816378628,-13.811864417144994,15.00334741399066,3.405851407503049,-9.013016464030406,13.116576248075969,-7.017092522865416,-9.355520149497943,14.009940065760803
0.85,0.08508508508508508,-5.378798286006642,-13.81177546602574,15.003559996311074,3.405140620887434,-9.01395190323189,13.116417899271424,-7.016342891207282,-9.356316702111313,14.010760150118376
0.86,0.08608608608608609,-5.378058421850635,-13.8116826976805,15.003771157152968,3.4044200855077573,-9.014895907331224,13.116255279951984,-7.015581975845707,-9.3571221632644,14.011588061365199
0.87,0.08708708708708708,-5.377308572317323,-13.811586128583016,15.00398088368439,3.4036897858274533,-9.01584846249739,13.116088414456557,-7.0148097504281575,-9.357936589611565,14.012423837474495
0.88,0.08808808808808809,-5.376548738443137,-13.811485775368148,15.004189162972107,3.402949706224594,-9.016809554760725,13.115917327493369,-7.014026188159768,-9.358760038529415,14.013267516576565
0.89,0.0890890890890891,-5.3757789213029845,-13.811381654834287,15.004395981982425,3.402199830995194,-9.017779170012629,13.115742044145671,-7.013231261799181,-9.359592568123098,14.014119136954331
0.9,0.09009009009009009,-5.374999122011379,-13.811273783945811,15.004601327582028,3.4014401443565876,-9.018757294005272,13.115562589877532,-7.012424943654292,-9.360434237232687,14.014978737038733
0.91,0.09109109109109109,-5.374209341723597,-13.81116217983554,15.004805186538862,3.400670630450881,-9.01974391235132,13.115378990539718,-7.0116072055779135,-9.361285105439617,14.015846355403966
0.92,0.0920920920920921,-5.373409581636859,-13.81104685980721,15.005007545523029,3.399891273348481,-9.020739010523657,13.115191272375645,-7.010778018963351,-9.362145233073193,14.016722030762553
0.93,0.09309309309309309,-5.372599842991522,-13.810927841337973,15.005208391107734,3.3991020570516968,-9.021742573855134,13.114999462027424,-7.009937354739882,-9.363014681217168,14.017605801960258
0.9400000000000001,0.0940940940940941,-5.371780127072305,-13.810805142080909,15.005407709770253,3.3983029654984223,-9.022754587538303,13.114803586541981,-7.009085183368145,-9.363893511716391,14.018497707970832
0.9500000000000001,0.09509509509509509,-5.370950435209534,-13.810678779867551,15.005605487892927,3.3974939825658947,-9.02377503662518,13.114603673377266,-7.008221474835442,-9.364781787183523,14.019397787890579
0.96,0.0960960960960961,-5.370110768780408,-13.810548772710435,15.005801711764198,3.396675092074534,-9.024803906027008,13.114399750408538,-7.007346198650929,-9.36567957100581,14.020306080932759
0.97,0.0970970970970971,-5.36926112921029,-13.810415138805656,15.005996367579671,3.395846277791862,-9.025841180514032,13.114191845934748,-7.006459323840721,-9.366586927351944,14.0212226264218
0.98,0.0980980980980981,-5.36840151797402,-13.810277896535448,15.006189441443215,3.3950075234365054,-9.02688684471528,13.113979988684992,-7.005560818942895,-9.36750392117897,14.022147463787336
0.99,0.0990990990990991,-5.3675319365972465,-13.810137064470778,15.006380919368086,3.3941588126822784,-9.027940883118356,13.113764207825056,-7.004650652002384,-9.368430618239277,14.023080632558058
1.0,0.10010010010010009,-5.366652386657792,-13.809992661373956,15.006570787278092,3.3933001291623524,-9.029003280069249,13.113544532964047,-7.003728790565775,-9.369367085087644,14.024022172355362
1.01,0.1011011011011011,-5.365762869787029,-13.809844706201256,15.006759031008784,3.392431456473509,-9.030074019772137,13.113320994161098,-7.002795201675995,-9.370313389088363,14.024972122886824
1.02,0.1021021021021021,-5.364863387671289,-13.809693218105554,15.00694563630869,3.391552778180481,-9.031153086289216,13.11309362193218,-7.00184985186689,-9.37126959842242,14.025930523939454
1.03,0.1031031031031031,-5.363953942053285,-13.809538216438986,15.00713058884057,3.3906640778203783,-9.032240463540532,13.112862447256976,-7.000892707157697,-9.37223578209475,14.026897415372762
1.04,0.1041041041041041,-5.3630345347335675,-13.809379720755613,15.007313874182714,3.389765338907205,-9.033336135303827,13.11262750158586,-6.999923733047402,-9.373212009941545,14.02787283711161
1.05,0.10510510510510511,-5.362105167571999,-13.809217750814105,15.007495477830274,3.3888565449364654,-9.034440085214388,13.112388816846954,-6.99894289450898,-9.374198352637647,14.028856829138864
1.06,0.1061061061061061,-5.361165842489246,-13.809052326580433,15.007675385196617,3.387937679389859,-9.035552296764918,13.112146425453265,-6.997950155983522,-9.375194881703992,14.029849431487808
1.07,0.10710710710710711,-5.3602165614683095,-13.808883468230581,15.007853581614734,3.38700872574007,-9.036672753305403,13.111900360309924,-6.996945481374244,-9.376201669515119,14.030850684234364
1.08,0.10810810810810811,-5.359257326556062,-13.808711196153265,15.008030052338665,3.3860696674556476,-9.037801438043013,13.111650654821506,-6.995928834040367,-9.37721878930675,14.031860627489074
1.09,0.1091091091091091,-5.358288139864818,-13.808535530952666,15.008204782544967,3.385120488005983,-9.03893833404199,13.111397342899432,-6.994900176790886,-9.378246315183436,14.032879301388853
1.1,0.11011011011011011,-5.35730900357393,-13.80835649345118,15.008377757334216,3.3841611708663777,-9.04008342422356,13.111140458969459,-6.993859471878206,-9.379284322126253,14.033906746088515
1.11,0.1111111111111111,-5.356319919931398,-13.80817410469217,15.008548961732544,3.3831916995232127,-9.041236691365853,13.11088003797927,-6.992806680991646,-9.380332886000579,14.034943001752058
1.12,0.11211211211211211,-5.355320891255512,-13.807988385942737,15.008718380693209,3.382212057479211,-9.042398118103836,13.11061611540614,-6.991741765250822,-9.381392083563918,14.035988108543705
1.1300000000000001,0.11311311311311312,-5.3543119199365155,-13.807799358696498,15.008885999098204,3.381222228258802,-9.043567686929261,13.110348727264693,-6.990664685198889,-9.3824619924738,14.037042106618705
1.1400000000000001,0.11411411411411411,-5.353293008438292,-13.807607044676372,15.009051801759902,3.380222195413581,-9.044745380190616,13.110077910114748,-6.989575400795657,-9.38354269129573,14.038105036113874
1.1500000000000001,0.11511511511511512,-5.352264159300074,-13.807411465837381,15.00921577342273,3.3792119425278755,-9.045931180093092,13.109803701069259,-6.988473871410559,-9.384634259511209,14.039176937137892
1.16,0.11611611611611611,-5.351225375138183,-13.807212644369454,15.009377898764884,3.378191453224406,-9.04712506869857,13.10952613780233,-6.987360055815484,-9.385736777525809,14.04025784976132
1.17,0.11711711711711711,-5.35017665864778,-13.807010602700242,15.009538162400085,3.3771607111700552,-9.048327027925607,13.109245258557335,-6.986233912177471,-9.386850326677306,14.041347814006372
1.18,0.11811811811811812,-5.349118012604657,-13.806805363497942,15.009696548879365,3.3761197000817367,-9.049537039549444,13.108961102155117,-6.985095398051254,-9.387974989243885,14.0424468698364
1.19,0.11911911911911911,-5.348049439867035,-13.806596949674123,15.009853042692884,3.3750684037323717,-9.050755085202017,13.108673708002279,-6.983944470371656,-9.389110848452383,14.043555057145118
1.2,0.12012012012012012,-5.346970943377401,-13.806385384386566,15.010007628271795,3.3740068059569683,-9.051981146371995,13.10838311609956,-6.982781085445843,-9.39025798848661,14.04467241574553
1.21,0.12112112112112113,-5.3458825261643605,-13.806170691042098,15.010160289990143,3.372934890658809,-9.053215204404815,13.108089367050312,-6.981605198945415,-9.391416494495717,14.045798985358582
1.22,0.12212212212212212,-5.344784191344515,-13.805952893299445,15.01031101216679,3.371852641815744,-9.054457240502739,13.107792502069048,-6.980416765898346,-9.392586452602615,14.046934805601518
1.23,0.12312312312312312,-5.343675942124367,-13.805732015072076,15.010459779067395,3.3707600434865963,-9.055707235724924,13.107492562990096,-6.979215740680769,-9.393767949912464,14.048079915975952
1.24,0.12412412412412413,-5.342557781802245,-13.805508080531059,15.010606574906413,3.3696570798176704,-9.056965170987496,13.107189592276336,-6.978002077008599,-9.394961074521202,14.04923435585562
1.25,0.12512512512512514,-5.341429713770256,-13.805281114107915,15.010751383849144,3.3685437350493768,-9.058231027063648,13.106883633028023,-6.976775727928985,-9.39616591552414,14.05039816447384
1.26,0.12612612612612611,-5.340291741516256,-13.805051140497477,15.01089419001381,3.367419993522963,-9.059504784583746,13.1065747289917,-6.975536645811609,-9.397382563024596,14.051571380910653
1.27,0.12712712712712712,-5.3391438686258565,-13.804818184660748,15.011034977473676,3.3662858396873583,-9.060786424035443,13.106262924569206,-6.974284782339808,-9.398611108142598,14.052754044079656
1.28,0.12812812812812813,-5.337986098784441,-13.804582271827755,15.011173730259205,3.3651412581061306,-9.062075925763821,13.10594826482677,-6.973020088501527,-9.399851643023618,14.053946192714498
1.29,0.12912912912912913,-5.336818435779215,-13.804343427500408,15.011310432360252,3.3639862334645563,-9.063373269971526,13.105630795504187,-6.9717425145800975,-9.401104260847374,14.055147865355066
1.3,0.13013013013013014,-5.335640883501279,-13.804101677455355,15.011445067728292,3.3628207505768026,-9.064678436718935,13.105310563024094,-6.9704520101448395,-9.402369055836663,14.05635910033332
1.31,0.13113113113113112,-5.334453445947716,-13.803857047746833,15.011577620278684,3.3616447943932273,-9.065991405924324,13.104987614501328,-6.969148524041484,-9.403646123266258,14.057579935758811
1.32,0.13213213213213212,-5.33325612722372,-13.803609564709515,15.011708073892985,3.36045835000779,-9.067312157364052,13.10466199775237,-6.967832004382413,-9.404935559471838,14.058810409503831
1.33,0.13313313313313313,-5.332048931544733,-13.803359254961354,15.01183641242128,3.3592614026655814,-9.068640670672766,13.104333761304884,-6.966502398536717,-9.406237461858971,14.060050559188232
1.34,0.13413413413413414,-5.330831863238615,-13.803106145406415,15.01196261968457,3.358053937770468,-9.069976925343608,13.104002954407342,-6.965159653120057,-9.407551928912135,14.061300422163884
1.35,0.13513513513513514,-5.329604926747829,-13.80285026323771,15.01208667947719,3.356835940892853,-9.071320900728445,13.103669627038729,-6.963803713984344,-9.408879060203779,14.062560035498771
1.36,0.13613613613613612,-5.328368126631665,-13.80259163594001,15.01220857556925,3.355607397777556,-9.072672576038103,13.103333829918341,-6.962434526207223,-9.410218956403439,14.063829435960725
1.37,0.13713713713713713,-5.3271214675684675,-13.802330291292659,15.012328291709144,3.3543682943518047,-9.074031930342628,13.102995614515681,-6.961052034081353,-9.411571719286874,14.065108660000785
1.3800000000000001,0.13813813813813813,-5.325864954357904,-13.802066257372378,15.012445811626064,3.3531186167333535,-9.075398942571544,13.102655033060413,-6.959656181103504,-9.412937451745249,14.06639774373618
1.3900000000000001,0.13913913913913914,-5.324598591923248,-13.801799562556043,15.012561119032572,3.3518583512387106,-9.076773591514142,13.102312138552435,-6.958246909963431,-9.414316257794356,14.067696722932936
1.4000000000000001,0.14014014014014015,-5.323322385313688,-13.801530235523467,15.012674197627202,3.350587484391489,-9.078155855819764,13.101966984772007,-6.956824162532562,-9.415708242583866,14.069005632988082
1.41,0.14114114114114115,-5.322036339706658,-13.801258305260147,15.012785031097096,3.3493060029308754,-9.07954571399812,13.101619626289992,-6.955387879852467,-9.41711351240661,14.070324508911474
1.42,0.14214214214214213,-5.320740460410197,-13.800983801060015,15.012893603120684,3.3480138938202137,-9.080943144419603,13.101270118478157,-6.953938002123122,-9.418532174707897,14.071653385307215
1.43,0.14314314314314314,-5.3194347528653205,-13.800706752528162,15.012999897370399,3.346711144255712,-9.082348125315626,13.100918517519572,-6.952474468690953,-9.41996433809486,14.072992296354675
1.44,0.14414414414414414,-5.318119222648429,-13.800427189583536,15.013103897515418,3.3453977416752636,-9.083760634778969,13.100564880419093,-6.950997218036674,-9.421410112345825,14.074341275789092
1.45,0.14514514514514515,-5.316793875473728,-13.800145142461625,15.013205587224459,3.34407367376739,-9.085180650764142,13.100209265013914,-6.949506187762897,-9.4228696084197,14.075700356881764
1.46,0.14614614614614616,-5.315458717195676,-13.799860641717126,15.013304950168592,3.342738928480299,-9.086608151087763,13.09985172998422,-6.948001314581527,-9.42434293846541,14.077069572419823
1.47,0.14714714714714713,-5.314113753811454,-13.799573718226574,15.013401970024113,3.341393494031061,-9.088043113428936,13.099492334863896,-6.946482534300924,-9.425830215831319,14.078448954685571
1.48,0.14814814814814814,-5.31275899146346,-13.799284403190956,15.01349663047542,3.340037358914904,-9.089485515329669,13.099131140051346,-6.944949781812852,-9.427331555074696,14.079838535435398
1.49,0.14914914914914915,-5.311394436441821,-13.798992728138293,15.013588915217957,3.3386705119146254,-9.090935334195278,13.098768206820363,-6.943402991079184,-9.428847071971187,14.081238345878251
1.5,0.15015015015015015,-5.310020095186931,-13.798698724926192,15.013678807961178,3.3372929421101176,-9.092392547294821,13.098403597331096,-6.941842095118382,-9.430376883524303,14.08264841665367
1.51,0.15115115115115116,-5.308635974292008,-13.798402425744369,15.01376629243154,3.3359046388880143,-9.09385713176154,13.098037374641082,-6.940267025991742,-9.431921107974913,14.084068777809367
1.52,0.15215215215215216,-5.3072420805056755,-13.798103863117142,15.013851352375552,3.3345055919514457,-9.095329064593317,13.097669602716365,-6.9386777147893985,-9.433479864810755,14.085499458778356
1.53,0.15315315315315314,-5.305838420734566,-13.79780306990588,15.013933971562833,3.3330957913299133,-9.096808322653139,13.097300346442681,-6.9370740916160925,-9.435053274775946,14.086940488355628
1.54,0.15415415415415415,-5.304425002045943,-13.797500079311423,15.014014133789228,3.3316752273892747,-9.098294882669588,13.096929671636715,-6.9354560855766945,-9.436641459880496,14.08839189467436
1.55,0.15515515515515516,-5.303001831670346,-13.797194924876457,15.014091822879942,3.330243890841843,-9.099788721237331,13.096557645057445,-6.933823624761484,-9.438244543409827,14.089853705181648
1.56,0.15615615615615616,-5.301568917004256,-13.796887640487855,15.014167022692718,3.328801772756594,-9.101289814817628,13.096184334417535,-6.932176636231182,-9.439862649934277,14.091325946613784
1.57,0.15715715715715717,-5.300126265612781,-13.796578260378965,15.014239717121038,3.32734886456949,-9.102798139738855,13.095809808394819,-6.930515046001731,-9.441495905318613,14.092808644971033
1.58,0.15815815815815815,-5.298673885232365,-13.796266819131866,15.01430989009737,3.3258851580939015,-9.104313672197037,13.095434136643837,-6.9288387790288315,-9.443144436731522,14.094301825491945
1.59,0.15915915915915915,-5.297211783773513,-13.795953351679557,15.014377525596444,3.324410645531148,-9.105836388256396,13.09505738980745,-6.927147759192213,-9.4448083726551,14.09580551262717
