t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46
7.2,0.7207207207207207,32.98021028918261,-29.8770837025888,1.545771621094811,-36.161883811021085,32.98572600628719,32.9803478620544,-17.301004024751254,7.833933100037264,1.5521795184863085,7.833253704970948,32.987420094853675,-23.58747456259922,-23.587631463783943,1.5500431205926923,32.99749921247512,-4.732648699379378,1.5475710301685945,20.410822093749626,-36.15639696220619,-29.880741749729577,20.405409025625996,-36.15344405140524,26.69917393557571,1.5542347639663385,-4.731822753116884,26.69704470540672,-11.020551742694112,1.5486288626357876,7.840831971008643,-11.031477110563358,1.557298415127395,7.843942229995556,-29.880312245971112,14.12137682739115,7.838822147894435,-11.041662542406334,20.40876606907229,-11.017989392446701,20.40233956590485,32.96886697251076,-42.440987131583015,-4.738488092469808,-36.151088077908916,20.406629224519666,-36.1732719909538,-11.017591427551114,32.98297149313133
7.21,0.7217217217217217,32.98014052829627,-29.877099769503708,1.5458097270408557,-36.16188360764694,32.98566393704497,32.980322495432674,-17.301033260214062,7.833962230538934,1.552151697422751,7.833228171696144,32.98735252600414,-23.587510590105655,-23.587638834078835,1.5499970648907246,32.99727413319053,-4.732679190806726,1.5476063045141388,20.410792905012347,-36.156395699383005,-29.88074792685979,20.405381697786407,-36.15346582587806,26.699126979901546,1.554240554191759,-4.73186788073673,26.69698798897599,-11.020584521013348,1.548578842066087,7.840793907685081,-11.031274521744939,1.557272002312392,7.843809899684953,-29.88026824790469,14.12135552886628,7.838815643661024,-11.041262403018886,20.408752280449058,-11.018011355978649,20.402515123139978,32.96901204286896,-42.44099994365469,-4.738446683605512,-36.15109885901991,20.406680732235106,-36.1731426592992,-11.017569060361257,32.98291822449552
7.22,0.7227227227227228,32.98007192197615,-29.877115379343376,1.5458472000040449,-36.16188327439656,32.985602651816556,32.980297354653366,-17.301061930056203,7.833990603655919,1.552124435388205,7.833203057696745,32.98728576127491,-23.5875457673064,-23.587645961055884,1.5499515430310633,32.99705382165608,-4.732708886245085,1.5476409090238594,20.410764218581406,-36.15639420466961,-29.88075377706376,20.405354741277584,-36.15348703141863,26.69908067223042,1.5542461272308978,-4.731912086809113,26.69693221912467,-11.020616385604663,1.5485296874893333,7.84075641861845,-11.031075543114097,1.5572458575936154,7.8436807015478385,-29.88022488048798,14.121334566344478,7.838809434399488,-11.040869737363368,20.408738525301512,-11.01803290803413,20.402686810095584,32.969153852337705,-42.441012010306714,-4.738406040309174,-36.15110924700174,20.406731127765692,-36.17301559421584,-11.017547007233729,32.982865760510485
7.23,0.7237237237237237,32.98000444981593,-29.87713053492869,1.5458840507311942,-36.16188280736883,32.98554213635893,32.98027243519073,-17.30109004186483,7.834018238342309,1.552097721501211,7.833178360205954,32.98721978844447,-23.587580108518694,-23.58765284844004,1.5499065595838752,32.99683816712632,-4.732737805099896,1.547674856975306,20.410736020210557,-36.15639248420191,-29.88075930108486,20.40532815213283,-36.153507676652445,26.699034998998297,1.5542514872786921,-4.731955387318604,26.696877376522263,-11.020647357104494,1.5484813904912833,7.840719495044361,-11.030880115189289,1.5572199786587728,7.843554562836609,-29.880182129742845,14.121313933903433,7.838803508115866,-11.040484415045494,20.408724806995835,-11.018054053185258,20.402854703394187,32.96929246843843,-42.44102335113746,-4.738366148467333,-36.15111925117076,20.406780428905602,-36.17289074901082,-11.01752526530034,32.98281408321964
7.24,0.7247247247247247,32.97993809170631,-29.87714523921085,1.5459202898123885,-36.16188220292637,32.985482376723084,32.9802477326177,-17.30111760317026,7.834045153088426,1.5520715450956073,7.833154076349325,32.98715459547477,-23.587613627856214,-23.587659499890975,1.5498621186331236,32.99662706138672,-4.732765966290616,1.5477081613839128,20.410708296073455,-36.1563905439656,-29.880764499792893,20.405301926368256,-36.153527770165894,26.69898994694136,1.5542566384730172,-4.731997798022196,26.69682344223298,-11.020677455680254,1.5484339425883844,7.840683128306163,-11.030688179291086,1.5571943632106464,7.8434314123609585,-29.880139982001925,14.121293625728255,7.838797853159224,-11.04010630767657,20.40871112866471,-11.01807479599877,20.403018878223776,32.969427957286214,-42.441033985307534,-4.738326994144143,-36.15112888065566,20.406828653220163,-36.17276807792205,-11.0175038316576,32.98276317510852
7.25,0.7257257257257257,32.979872827833134,-29.877159495264628,1.545955927682452,-36.16188145768603,32.98542335924766,32.98022324260412,-17.30114462144521,7.834071365931804,1.5520458957161145,7.833130203150724,32.98709017050845,-23.58764633923169,-23.58766591900512,1.5498182237945501,32.99642039869697,-4.732793388263679,1.5477408350083477,20.410681032751878,-36.156388389799766,-29.880769374179803,20.40527605998586,-36.15354732050216,26.69894550308972,1.554261584894748,-4.7320393344511755,26.696770397707457,-11.020706701041016,1.548387335234101,7.8406473098543445,-11.030499677536415,1.5571690089663635,7.843311180458809,-29.880098423902297,14.12127363610934,7.8387924582143125,-11.039735288849009,20.408697493218316,-11.018095141034717,20.4031794083629,32.969560383621065,-42.441043931548016,-4.738288563582617,-36.15113814440045,20.40687581804792,-36.1726475361014,-11.017482703369705,32.98271301909343
7.26,0.7267267267267267,32.97980863867543,-29.877173306281783,1.545990974622436,-36.16188056850965,32.985365070552646,32.98019896091494,-17.301171104104057,7.834096894467929,1.552020763114012,7.833106737538114,32.987026501866076,-23.587678256359446,-23.587672109317623,1.5497748782331726,32.99621807573556,-4.732820089005084,1.547772890355737,20.41065421722423,-36.15638602740041,-29.880773925355488,20.40525054897648,-36.15356633615747,26.698901654761244,1.5542663305678555,-4.7320800119130295,26.6967182247747,-11.020735112447966,1.5483415598250445,7.840612031245917,-11.03031455283267,1.55714391365672,7.84319379896764,-29.880057442379275,14.121253959440295,7.838787312294325,-11.03937123411199,20.40868390335488,-11.018115092845214,20.40333636620537,32.96968981083848,-42.44105320816854,-4.738250843205681,-36.15114705116738,20.406921940502713,-36.17252907959805,-11.01746187747144,32.98266359851029
7.2700000000000005,0.7277277277277278,32.97974550500334,-29.87718667556472,1.5460254407611234,-36.161879532495156,32.98530749753324,32.980174883408466,-17.301197058502133,7.8341217558607426,1.5519961372429034,7.833083676349146,32.986963578043444,-23.587709392757933,-23.587678074304225,1.549732084680309,32.99601999154558,-4.732846086052621,1.5478043396867696,20.41062783685437,-36.15638346232392,-29.880778154543645,20.4052253893226,-36.15358482557746,26.69885838955547,1.5542708794595321,-4.732119845493373,26.696666905634203,-11.02076270872463,1.5482966077069074,7.840577284143789,-11.030132748871686,1.5571190750255528,7.843079201196225,-29.88001702466031,14.121234590215906,7.8387824047337515,-11.03901402094725,20.408670361570827,-11.018134655973205,20.403489822784596,32.96981630101919,-42.441061833065326,-4.738213819617048,-36.151155609539884,20.40696703747574,-36.17241266534212,-11.01744135097095,32.98261489710388
7.28,0.7287287287287287,32.979683407876024,-29.877199606520318,1.5460593360765431,-36.161878346967846,32.98525062735384,32.980151006034596,-17.301222491935096,7.834145966852913,1.5519720082545736,7.8330610163365915,32.98690138770893,-23.587739761752175,-23.587683817383052,1.5496898454501367,32.99582604748173,-4.732871396507741,1.5478351950206837,20.410601879380685,-36.15638069999046,-29.88078206307769,20.405200577001004,-36.153602797153916,26.698815695347665,1.5542752354803517,-4.732158850057907,26.696616422848265,-11.020789508266889,1.5482524701802074,7.84054306031612,-11.029954210123629,1.5570944908291622,7.842967321896772,-29.879977158258985,14.121215523030145,7.8387777251813375,-11.038663528745023,20.40865687017051,-11.018153834951269,20.403639847797535,32.96993991495816,-42.44106982372902,-4.738177479601911,-36.15116382792549,20.40701112563761,-36.17229825112853,-11.017421120852404,32.98256689901727
7.29,0.7297297297297297,32.97962232863938,-29.87721210265398,1.5460926703974995,-36.161877009471986,32.98519444744214,32.98012732483311,-17.301247411638325,7.834169543775873,1.5519483664949283,7.833038754173589,32.986839919700905,-23.5877693764762,-23.587689341916338,1.549648162455797,32.99563614715853,-4.732896037047083,1.5478654681401418,20.410576332905475,-36.15637774568722,-29.880785652396728,20.405176107985334,-36.153620259221604,26.698773560282966,1.554279402484453,-4.732197040254401,26.696566759334484,-11.02081552905277,1.5482091385058454,7.840509351635666,-11.029778881830742,1.557070158835778,7.842858097237465,-29.879937830969094,14.121196752574232,7.838773263593137,-11.038319638780127,20.408643431275575,-11.018172634300461,20.403786509628283,32.97006071219283,-42.44107719725251,-4.7381418101274795,-36.15117171455867,20.407054221440365,-36.172185795601095,-11.017401184078569,32.982519588781635
7.3,0.7307307307307307,32.9795622489238,-29.87722416756384,1.54612545340511,-36.161875517762624,32.98513894548334,32.98010383593197,-17.301271824786365,7.834192502559642,1.5519252025000227,7.833016886458729,32.98677916302515,-23.587798249875398,-23.58769465121208,1.549607037225056,32.99545019639965,-4.732920023933677,1.547895170595994,20.41055118588459,-36.156374604571695,-29.88078892404161,20.40515197824848,-36.15363722005541,26.69873197277062,1.5542833842697532,-4.732234430514696,26.696517898358422,-11.02084078865204,1.5481666039104793,7.840476150079102,-11.02960671000102,1.5570460768250702,7.842751464775405,-29.87989903085886,14.121178273634737,7.8387690102256755,-11.037982234188204,20.40863004683392,-11.018191058529183,20.403929875371283,32.97017875103073,-42.44108397033853,-4.738106798343344,-36.15117927750372,20.407096341119527,-36.17207525823687,-11.017381537593272,32.982472951306214
7.3100000000000005,0.7317317317317317,32.979503150641776,-29.87723580493516,1.5461576946343527,-36.16187386979768,32.98508410941453,32.98008053554562,-17.301295738492417,7.834214858742417,1.5519025069921715,7.832995409720974,32.98671910685238,-23.58782639470888,-23.58769974852561,1.549566470915529,32.99526810318842,-4.73294337302782,1.547924313711935,20.41052642711736,-36.1563712816748,-29.880791879651028,20.405128183764887,-36.1536536878676,26.698690921478356,1.5542871845781856,-4.732271035056731,26.69646982352646,-11.020865304235567,1.5481248575917215,7.8404434477263365,-11.029437641401781,1.5570222425877007,7.842647363429958,-29.87986074626521,14.121160081091725,7.838764955629199,-11.037651199942108,20.40861671862833,-11.01820911213209,20.404070010854184,32.9702940885763,-42.44109015930725,-4.7380724315817,-36.15118652465757,20.4071375006961,-36.17196659933073,-11.017362178323769,32.98242697186863
