t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
7.95,0.7957957957957957,-6.5839448655626205,18.022360114061144,-25.450577700271193,-37.92141959088433,-31.458989061995894,-0.06093651711128356,-25.098120320068624,-18.836850219341617,-38.021126319667836,-19.684415092735218,30.51110553997237,-19.03412163398366,31.05031267012034,31.634499684547844,-13.801540571783793,-1.1274401571053208,14.50384053732335,5.470503792942672,30.974032612127516,11.585349709856775,31.009502984730844,37.542439517062505,11.807607792290451,18.459119786299325,-25.479315803002496,-1.3184910160594712,-0.0456440349395428,-6.480109827838052
7.96,0.7967967967967968,-6.584599691231169,18.025194522164927,-25.451589494685646,-37.92319761288576,-31.462025386841358,-0.06286230100721114,-25.101256981343347,-18.838495811653935,-38.02260048308435,-19.68038386094139,30.514035663306252,-19.03604155153735,31.049630130889053,31.63028855094969,-13.796696433065824,-1.1186540902525723,14.49324092824507,5.4752407204176325,30.97418607903148,11.59077172927546,31.007376396208343,37.54078901396777,11.813293587553733,18.458166164826682,-25.480885692597177,-1.3153421917498092,-0.04818405343958354,-6.481765841535425
7.97,0.7977977977977978,-6.585242098024382,18.028024175094494,-25.452581801908813,-37.92494751255516,-31.46504268232324,-0.06478804707567337,-25.104379118670355,-18.840111230737037,-38.02404538057014,-19.676371352072763,30.516962701012446,-19.03794747497581,31.048970750595828,31.6260972756242,-13.791856055405203,-1.1099797030886953,14.482486543903088,5.479937932418115,30.974354773244134,11.596162603665814,31.005331315281623,37.5391515908447,11.818971147051013,18.457233663347225,-25.48243839762655,-1.312190939385006,-0.05071634627599939,-6.483414322403655
7.98,0.7987987987987988,-6.585872020565922,18.030849057702238,-25.45355479608655,-37.92666952391315,-31.468040890192206,-0.06671343258603092,-25.107486675484804,-18.84169671857635,-38.02546115360698,-19.672377381657395,30.519886760916858,-19.039839238428087,31.048334382219387,31.621925963432048,-13.787019696631104,-1.1014156133968969,14.471577049706472,5.484595854143186,30.974538608660854,11.601522343955622,31.003366095295558,37.53752741985872,11.82464018021126,18.45632225669459,-25.483973853252206,-1.309037303413158,-0.053240675129619365,-6.485054990892133
7.99,0.7997997997997998,-6.586489398608629,18.03366915611679,-25.45450864937868,-37.92836388519597,-31.471019952801974,-0.06863813879472103,-25.110579594404715,-18.843252553624463,-38.02684795223717,-19.668401767360308,30.522807947677432,-19.041716681423324,31.04772087225361,31.6177747166121,-13.782187611454605,-1.0929604260384747,14.460512208534517,5.489214910560688,30.974737495819507,11.606850973259327,31.00147909685356,37.53591666628248,11.830300362866664,18.455431914805445,-25.48549199653397,-1.3058813273323013,-0.055756805102177856,-6.48668757236644
8.0,0.8008008008008007,-6.587094177204743,18.036484457675567,-25.45544353205742,-37.93003083868597,-31.4739798132145,-0.0705618509697455,-25.11365781729888,-18.844779051386688,-38.02820593483837,-19.66444432931604,30.52572636247109,-19.04357964890406,31.047130060884427,31.61364363477038,-13.777360051391035,-1.0846127352088286,14.449291885144959,5.493795526020103,30.974951341763212,11.612148526214423,30.999668689520387,37.534319488349716,11.83595133601937,18.454562602762426,-25.48699276647592,-1.302723053714878,-0.05826450476059496,-6.488311797184189
8.01,0.8018018018018018,-6.58768630687955,18.039294950853556,-25.45635961260653,-37.931670630552205,-31.476920415303482,-0.07248425841757984,-25.116721285355013,-18.846276564952785,-38.02953526790729,-19.660504890463322,30.528642102678557,-19.04542799123796,31.046561782155194,31.609532814869922,-13.77253726468883,-1.0763711265760516,14.437916050571843,5.4983381238517115,30.975180049896146,11.61741504830785,30.99793325340414,37.53273603710942,11.841592704645146,18.453714280838263,-25.488476104072664,-1.2995625242344961,-0.060763546179628175,-6.489927400770165
8.02,0.8028028028028028,-6.588265743808149,18.04210062518829,-25.457257057821504,-37.93328351070112,-31.479841703856305,-0.07440505451249392,-25.119769939148142,-18.847745485469755,-38.03083612585249,-19.656583276881705,30.531555261567366,-19.047261564228215,31.046015864120502,31.605442351221445,-13.767719496264977,-1.0682341793054078,14.426384786496747,5.502843125953601,30.975423519832685,11.622650595194175,30.996271180621253,37.531166456280786,11.847224036541666,18.45288690454065,-25.48994195235584,-1.2963997796950029,-0.0632537049829689,-6.491534123690886
8.03,0.8038038038038038,-6.5888324499949595,18.044901471200955,-25.458136032910993,-37.93486973263745,-31.48274362467447,-0.07632393672826943,-25.122803718709218,-18.849186242550477,-38.03210869079638,-19.652679318129902,30.534465927973535,-19.049080229122815,31.045492128988496,31.60137233547478,-13.762906987647058,-1.0602004679731725,14.414698289575915,5.507310952368087,30.975681647240307,11.62785523200731,30.994680876648356,37.529610882109004,11.852844861229478,18.452080424657492,-25.491390256440937,-1.2932348600618848,-0.06573476038285753,-6.493131711728667
8.040000000000001,0.8048048048048048,-6.589386393455535,18.0476974803136,-25.45899670159974,-37.936429553335074,-31.485626124672606,-0.07824060667229474,-25.12582256359392,-18.8505993046128,-38.03335315238659,-19.648792847585465,30.537374185982326,-19.050883852622906,31.044990393251847,31.597322856610997,-13.75809997692194,-1.0522685643734293,14.40285687570485,5.511742020849116,30.97595432367671,11.633029032667492,30.99316076156499,37.52806944322242,11.858454668914083,18.45129478730214,-25.492820963574466,-1.2900678044960074,-0.06820649521829261,-6.49471991595529
