t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
22.16,0.5545545545545546,-26.930066426849226,-26.921660543575186,4.508844718563901,35.96454924778863,23.363053980734804,17.109952309454272,-26.95408934921443,4.521245267373865,-14.363703562393681,29.706180077512112,-8.060611194932042,4.51311531741636,-14.364664662113572,-20.652899921380996,-1.7511114260507061,-8.061724343453115,10.794797069074397,42.26351330021532,17.09003341380675,17.08953721146654,-20.64209383014447,-14.359639025181284,4.518315837038034,-26.96678908365778
22.2,0.5555555555555556,-26.929972318682577,-26.921762522298486,4.508847927397137,35.96437318255002,23.363109718295586,17.110094813168416,-26.953976343757613,4.521174859516191,-14.363724104692977,29.706105118689287,-8.060677834687672,4.51311884201863,-14.364524018637205,-20.652859900398163,-1.751184086950029,-8.061759255492921,10.794757515584653,42.26336241877727,17.090016748891394,17.089540106372805,-20.642131590707027,-14.359652260361672,4.518439080159342,-26.96663171325589
22.240000000000002,0.5565565565565566,-26.92987947361642,-26.921860905974746,4.508850957647948,35.964200185587856,23.36316388230324,17.110232745837674,-26.953864268614403,4.5211059379202965,-14.363743025550889,29.706027882120996,-8.060742432419058,4.513121698984959,-14.364386210154402,-20.652819646216432,-1.7512562137253955,-8.061792995622945,10.794718852718251,42.263213149945045,17.089999882135757,17.089542726177452,-20.642167502470745,-14.359664305513503,4.518559336142557,-26.966475876144596
22.28,0.5575575575575575,-26.929787870353884,-26.92195579037938,4.508853817305091,35.964030185616416,23.363216509475656,17.11036620093079,-26.95375310639132,4.5210384646632935,-14.36376036847522,29.705948472597765,-8.060805040948885,4.5131239167976345,-14.364251167286584,-20.652779168032104,-1.751327805077842,-8.061825593800721,10.794681061574561,42.26306546275441,17.089982821353665,17.089545067993935,-20.642201613609306,-14.359675191674649,4.518676658045229,-26.966321541580065
22.32,0.5585585585585585,-26.92969748793094,-26.922047268917268,4.50885651408842,35.9638631130234,23.363267635726817,17.11049527030003,-26.953642840130797,4.520972402775652,-14.363776175922148,29.70586699143634,-8.060865711804558,4.513125522981925,-14.364118822280822,-20.652738474835246,-1.7513988600246446,-8.061857079262934,10.794644123630796,42.26291932690441,17.089965574144102,17.089547129277914,-20.642233971154486,-14.35968494914681,4.518791098212877,-26.966168679593533
22.36,0.5595595595595596,-26.929608305711966,-26.922135432676633,4.508859055456186,35.963698899832536,23.363317296183414,17.110620044203987,-26.95353345329916,4.520907716218759,-14.363790489320555,29.705783536577542,-8.060924495248422,4.51312654413356,-14.36398910897628,-20.652697575413427,-1.7514693778867232,-8.061887480542008,10.79460802073477,42.26277471274376,17.089948147896507,17.08954890781366,-20.642264621021287,-14.359693607512908,4.518902708283229,-26.966017260970048
22.400000000000002,0.5605605605605606,-26.92952030338532,-26.922220370481824,4.508861448612181,35.963537479666975,23.363365525201143,17.110740611330197,-26.95342492977494,4.520844369862954,-14.36380334909581,29.70569820268175,-8.060981440307316,4.513127005945542,-14.363861962771178,-20.65265647835539,-1.7515393582763794,-8.061916825482333,10.794572735097809,42.26263159125749,17.08993054979594,17.089550401700837,-20.64229360803257,-14.359701195654026,4.51901153919059,-26.965867257227817
22.44,0.5615615615615616,-26.929433460959025,-26.922302168945098,4.50886370051272,35.96337878771341,23.363412356380675,17.11085705881754,-26.95331725383755,4.5207823294660185,-14.363814794693011,29.705611081222127,-8.06103659480147,4.5131269332342825,-14.363737320590293,-20.652615192054668,-1.7516088010853665,-8.061945141256134,10.794538249287775,42.26248993405376,17.08991278682815,17.089551609341648,-20.642320975943203,-14.359707741765956,4.519117641170331,-26.965718640598162
22.48,0.5625625625625625,-26.92934775875645,-26.92238091251738,4.508865817873469,35.96322276068697,23.36345782258334,17.110969472278423,-26.95321041015626,4.520721561652125,-14.363824864599707,29.705522260575567,-8.061090005372764,4.513126349965094,-14.363615120852973,-20.65257372471317,-1.7516777064732827,-8.061972454378987,10.794504546222248,42.26234971335098,17.0898948657845,17.089552529428385,-20.64234676746375,-14.359713273375327,4.519221063763496,-26.96557138400604
22.52,0.5635635635635635,-26.929263177412075,-26.922456683538,4.508867807176123,35.96306933679678,23.36350195594647,17.111077935820738,-26.9531043837795,4.520662033891228,-14.363833596368107,29.70543182611142,-8.061141717512358,4.513125279277037,-14.363495303441683,-20.6525320843447,-1.7517460748562828,-8.061998790724994,10.794471609161816,42.26221090196505,17.089876793266825,17.089553160931324,-20.64237102428367,-14.359717817355342,4.519321855821518,-26.965425461051115
