t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
33.92,0.8488488488488488,-30.622133006347255,0.8144932419504092,-11.763411218214433,19.669858631135742,32.250015836890064,-11.777717900405412,-11.761609707843833,19.67096037729245,7.094146274872129,-5.471717358682039,-24.334500168976188,-11.76255952089644,32.26149662436017,25.95149515341225,32.236459025787894,-5.471848885482287,13.379163893675061,25.95570537288671,-11.755175185390923,13.379929788555758,-18.04319484858772,-24.32962597687833,25.952099237805438,13.384621484744397,7.1009039454299065,-18.0366532931358,-30.61666430734896,-18.046896596018758,32.2341882435697,25.96802729244226,-30.608137435676593,-30.622790440938815,-30.611201190504264,-30.617748002548737,32.24133022843999
33.96,0.8498498498498498,-30.622111035758525,0.8144902996892049,-11.763400194939317,19.6698488596381,32.24998923540927,-11.777688824373783,-11.761600884281046,19.670949180196306,7.094147729859049,-5.4717165834068915,-24.334483540918946,-11.76254958197093,32.261455884386415,25.951487289662783,32.23644906013393,-5.471848025035085,13.379163149577971,25.95569238147319,-11.755174201526676,13.379928234779694,-18.04318799725973,-24.32961512558547,25.952090625881425,13.38461416994083,7.100897224893101,-18.036654355759282,-30.616648951125008,-18.046885278174354,32.234180983576955,25.967999347154667,-30.60813248089625,-30.622767639667206,-30.61119248701582,-30.61773113654741,32.241314277362385
34.0,0.8508508508508509,-30.622089118278208,0.8144873648963757,-11.76338919846404,19.66983911160157,32.24996269923144,-11.777659822389165,-11.761592082080027,19.67093801041635,7.094149181073824,-5.471715810009183,-24.334466953024798,-11.762539666988305,32.261415245329054,25.95147944456489,32.23643911811078,-5.47184716636993,13.379162407038214,25.955679421417027,-11.75517321958058,13.379926684082074,-18.04318116230247,-24.329604300788645,25.95208203452765,13.384606872651817,7.100890520602465,-18.0366554153686,-30.616633631817656,-18.04687398760075,32.234173740750805,25.967971470035632,-30.608127537207068,-30.622744893678128,-30.61118380397644,-30.61771431196565,32.24129836493323
34.04,0.8518518518518519,-30.62206725371222,0.8144844375427301,-11.763378228689962,19.669829386941124,32.249936228112496,-11.777630894160213,-11.761583301162418,19.67092686785128,7.094150628531472,-5.471715038481973,-24.334450405147102,-11.762529775861546,32.26137470680627,25.95147161805219,32.23642919963429,-5.471846309481965,13.37916166605121,25.95566649260373,-11.755172239548042,13.379925136455176,-18.043174343657135,-24.329593502389358,25.952073463670015,13.38459959281427,7.100883832498667,-18.036656471977025,-30.616618349292963,-18.046862724198785,32.23416651503024,25.967943660832812,-30.608122604573083,-30.62272220276866,-30.611175141314348,-30.61769752864827,32.241282491010644
34.08,0.8528528528528528,-30.622045441867442,0.8144815175992332,-11.763367285518934,19.669819685572165,32.24990982180958,-11.777602039397161,-11.761574541450251,19.670915752400298,7.09415207224693,-5.4717142688183555,-24.334433897139938,-11.762519908504064,32.261334268438226,25.95146381005862,32.23641930462069,-5.471845454366346,13.379160926612398,25.95565359491937,-11.755171261424472,13.379923591891295,-18.043167541265188,-24.329582730289605,25.952064913234782,13.384592330365402,7.100877160522668,-18.03665752559775,-30.61660310341763,-18.046851487869766,32.234159306354556,25.967915919295127,-30.608117682958476,-30.622699566736888,-30.6111664989581,-30.617680786440875,32.24126665545346
34.12,0.8538538538538538,-30.622023682551692,0.814478605037006,-11.76335636885329,19.669810007410494,32.249883480081074,-11.777573257811813,-11.761565802865947,19.670904663963118,7.094153512235053,-5.471713501011462,-24.334417428858096,-11.762510064829687,32.26129392984701,25.95145602051843,32.23640943298662,-5.471844601018241,13.379160188717233,25.955640728250582,-11.75517028520529,13.379922050382737,-18.043160755068385,-24.32957198439188,25.95205638314857,13.38458508524273,7.100870504615715,-18.036658576243887,-30.61658789405902,-18.046840278515496,32.23415211466333,25.967888245172745,-30.608112772327573,-30.62267698538189,-30.611157876836586,-30.617664085189848,32.241250858121184
34.160000000000004,0.8548548548548548,-30.62200197557373,0.8144756998273225,-11.763345478595847,19.669800352372324,32.24985720268656,-11.777544549117527,-11.761557085332303,19.670893602439953,7.094154948510619,-5.4717127350544565,-24.33440100015708,-11.762500244752662,32.26125369065666,25.951448249366184,32.23639958464912,-5.47184374943283,13.379159452361183,25.955627892484557,-11.75516931088592,13.379920511921823,-18.04315398500875,-24.32956126459916,25.95204787333835,13.384577857384068,7.100863864719345,-18.036659623928468,-30.61657272108513,-18.046829096038245,32.23414493989644,25.96786063821708,-30.608107872644847,-30.622654458503735,-30.611149274879025,-30.61764742474236,32.241235098874036
34.2,0.8558558558558559,-30.621980320743262,0.8144728019416104,-11.763334614649901,19.669790720374277,32.24983098938686,-11.777515913029207,-11.7615483887725,19.670882567731518,7.094156381088324,-5.471711970940539,-24.334384610893096,-11.76249044818765,32.26121355049314,25.951440496536748,32.236389759525615,-5.471842899605304,13.379158717539735,25.95561508750903,-11.755168338461793,13.379918976500889,-18.043147231028588,-24.32955057081492,25.95203938373145,13.384570646727532,7.10085724077538,-18.03666066866445,-30.616557584364603,-18.04681794034076,32.234137781994015,25.967833098180783,-30.608102983874915,-30.622631985903475,-30.611140693014967,-30.61763080494635,32.24121937757291
34.24,0.8568568568568569,-30.62195871787091,0.8144699113514492,-11.763323776919226,19.669781111333375,32.24980483994398,-11.77748734926329,-11.761539713110098,19.670871559739016,7.094157809982787,-5.471711208662941,-24.334368260923057,-11.762480675049732,32.26117350898433,25.9514327619653,32.23637995753392,-5.471842051530866,13.379157984248392,25.9556023132123,-11.755167367928347,13.379917444112287,-18.04314049307048,-24.329539902943115,25.952030914255538,13.38456345321153,7.100850632725923,-18.03666171046471,-30.616542483766715,-18.04680681132626,32.2341306408965,25.967805624817736,-30.60809810598253,-30.62260956738314,-30.611132131174283,-30.61761422565054,32.2412036940794
34.28,0.8578578578578578,-30.62193716676823,0.8144670280285701,-11.763312965308064,19.669771525167043,32.249778754121124,-11.777458857537734,-11.76153105826903,19.67086057836415,7.094159235208545,-5.471710448214932,-24.33435195010457,-11.76247092525439,32.261133565760005,25.95142504558732,32.236370178592246,-5.471841205204734,13.379157252482672,25.955589569483195,-11.755166399281027,13.379915914748384,-18.043133771077283,-24.329529260888176,25.95202246483864,13.384556276774767,7.100844040513362,-18.036662749342053,-30.616527419161372,-18.046795708898436,32.234123516544614,25.96777821788304,-30.608093238932604,-30.622587202745734,-30.61112358928717,-30.617597686704407,32.24118804825578
