t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
9.6,0.24024024024024024,13.081671325686708,-24.812720268273832,7.386675935800543,-6.372548729961909,16.34434742315339,25.69851167829045,-18.484627719866868,-5.80754170026429,12.879156631372522,-37.286455165219635,-2.816275826607308,22.34979543717,-7.470425936426884,24.99794865449901,25.410453039425835,-43.64480625153412
9.64,0.24124124124124124,13.078416495214961,-24.814045991926243,7.381196613399782,-6.369634293819841,16.34273489589197,25.696937284836743,-18.486203772344336,-5.807653811906496,12.874158051950337,-37.287676868570664,-2.814745541620195,22.35057547170843,-7.453202625798124,24.996583808094968,25.411088578404016,-43.645369766271706
9.68,0.24224224224224225,13.07516256728328,-24.81536427792051,7.375723498374734,-6.36672602237094,16.341138999482144,25.695360589773706,-18.487792526179202,-5.8078456833225225,12.869192139975462,-37.28891589079704,-2.8132281136074058,22.351422815199953,-7.4360124436861685,24.99529651269185,25.411700133571124,-43.64595377122486
9.72,0.24324324324324323,13.07190970927196,-24.81667555089681,7.370256788382073,-6.3638242654197175,16.339559730091683,25.693781386714537,-18.48939354049745,-5.808118335489171,12.864261883300065,-37.29017191840414,-2.8117220473703624,22.352339019560205,-7.41886328706802,24.99408905385804,25.412287895404884,-43.64655799419417
9.76,0.24424424424424424,13.068658118973529,-24.817980226075576,7.364796678732629,-6.36092937038981,16.337997093707227,25.69219947477837,-18.491006359241222,-5.808472794076724,12.859370161031546,-37.2914446331711,-2.8102258146365386,22.35332565718681,-7.401762935264094,24.99296358310708,25.412852057929467,-43.64718216534799
9.8,0.24524524524524524,13.065408023339598,-24.81927870906621,7.359343362459364,-6.358041682218225,16.336451106638926,25.690614658671493,-18.49263051258397,-5.808910091292492,12.854519732960325,-37.29273371310765,-2.808737853880173,22.354384322764464,-7.384719031504776,24.99192211221621,25.413392818796407,-43.647826016949686
9.84,0.24624624624624625,13.062159677106877,-24.82057139569196,7.35389703037979,-6.355161543249008,16.334921796026194,25.68902674875837,-18.4942655184133,-5.809431267879417,12.849713229473691,-37.294038833437504,-2.8072565701015417,22.35551663524604,-7.367739065379403,24.990966508169077,25.41391037934266,-43.64848928310697
9.88,0.24724724724724725,13.058913361307889,-24.821858671831837,7.348457871152336,-6.352289293126564,16.333409200344953,25.687435561121973,-18.49591088387522,-5.810037375267898,12.844953142014866,-37.29535966760618,-2.8057803345611214,22.35672424001071,-7.350830356264812,24.990098488743953,25.414404944624984,-43.64917169954444
9.92,0.24824824824824826,13.055669381672613,-24.823140913280476,7.343026071326121,-6.349425268688884,16.331913369916688,25.685840917612975,-18.497566106972897,-5.8107294778784135,12.84024181414049,-37.29669588831094,-2.8043074844649545,22.35800881119902,-7.334000037819931,24.98931961876276,25.4148767234298,-43.64987300340037
9.96,0.24924924924924924,13.052428066927822,-24.824418485626758,7.337601815383659,-6.346569803860953,16.330434367419784,25.684242645887387,-18.499230678212825,-5.811508655571948,12.835581433223151,-37.29804716855059,-2.8028363225975395,22.359372054224313,-7.317255043621518,24.98863130701028,25.41532592825792,-43.65059293304859
10.0,0.2502502502502503,13.04918976700143,-24.82569174415193,7.332185285776003,-6.343723229548608,16.328972268403575,25.68264057943218,-18.50090408229086,-5.812376006244711,12.830974022838598,-37.29941318269259,-2.801365116898589,22.36081570845899,-7.300602094004251,24.988034803827023,25.41575277528356,-43.65133122794623
10.040000000000001,0.25125125125125125,13.045954851139625,-24.8269610337479,7.326776662949878,-6.340885873533146,16.327527161805648,25.68103455757852,-18.502585799810547,-5.813332648563187,12.826421435870092,-37.30079360755533,-2.7998920999800347,22.3623415500935,-7.284047684156123,24.987531199373425,25.4161574842872,-43.65208762850803
10.08,0.25225225225225223,13.042723705944912,-24.82822668885635,7.321376125366354,-6.338058060366968,16.32609915047293,25.679424425502198,-18.50427530902592,-5.814379724835147,12.821925348354826,-37.302188123502866,-2.7984154685797202,22.363951395165163,-7.267598073507683,24.987121422557568,25.41654027856201,-43.65286187600771
10.120000000000001,0.25325325325325326,13.039496733343505,-24.82948903342912,7.315983849510656,-6.33524011127058,16.32468835168725,25.67781003421091,-18.505972087600952,-5.815518404011897,12.817487254089894,-37.303596415550004,-2.796933382948296,22.36564710275341,-7.251259276441324,24.98680624061337,25.416901384793597,-43.653653712506824
10.16,0.25425425425425424,13.036274348490705,-24.83074838091038,7.310600009892705,-6.332432344031272,16.323294897695934,25.676191240518058,-18.507675614377913,-5.816749884816739,12.81310846000784,-37.30501817447514,-2.795443966165915,22.367430578337363,-7.23503705433465,24.9865862593113,25.417241032913054,-43.65446288081135
10.200000000000001,0.2552552552552553,13.03305697762307,-24.83200503424089,7.30522477903803,-6.329635072903771,16.32191893624824,25.67456790700271,-18.509385371146998,-5.8180753989943685,12.80879008232454,-37.306453097938764,-2.793945303385446,22.369303777311163,-7.218936908940213,24.98646192377925,25.417559455923303,-43.65528912445625
10.24,0.25625625625625625,13.029845055866193,-24.833259285884672,7.29985832746869,-6.326848608513228,16.32056063113835,25.67293990195549,-18.511100844409736,-5.819496214675702,12.804533043455146,-37.30790089160526,-2.7924354409990344,22.37126870865197,-7.202964077092672,24.986433519907116,25.41785688969895,-43.656132187718
