t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
0.9299999999999999,0.031031031031031032,-23.526085376219758,33.621232252762674,14.525231153422194,7.581193518065277,-34.35051657044738,-15.774935794486977,-10.317984870578918,24.59172086603874,23.818026038467888,3.2316778002098427,-36.034438453556106,9.96446734618119,11.008392979591113,-0.16517513389956187,34.453879869323615,-17.902831466820594,2.32902712472674,6.133790706819579,20.377887462611866,-23.57540766642045,30.36649946417226,13.20098473077571,-38.26163277724385,-10.153132811689517,19.546709917943193,-10.135663151557546,-10.747766591815404,-1.8361821445985065,-9.688783080033145,-14.870591616711177,-33.095899572214556,8.783725927178569,29.58732330782045
0.96,0.03203203203203203,-23.52543683860125,33.62018157477776,14.526576432531163,7.582754354758185,-34.35369631597796,-15.775663684766013,-10.319896740725385,24.59186837997381,23.821093521398453,3.228614594078171,-36.03491428338542,9.96459286800371,11.007686988758728,-0.1652320658841108,34.455516968059555,-17.900882005511242,2.3312601319588278,6.134988565774596,20.379439287454733,-23.57483825219624,30.367185205000737,13.202615554485583,-38.26390036240315,-10.153473496726807,19.54784888113841,-10.136845451399923,-10.74476132134497,-1.8387784973802412,-9.689438055800291,-14.874551458538521,-33.09791770384397,8.783827447385507,29.588919166765017
0.99,0.03303303303303303,-23.524720399461597,33.61904220984231,14.527939808341822,7.584353105312972,-34.35691719256886,-15.776386441507915,-10.32184208987328,24.59198048873457,23.82421613323435,3.2254397284006115,-36.03533657568959,9.964704445742509,11.006930404523562,-0.16529355024086684,34.457139215480524,-17.898828939297985,2.33356709745329,6.136222268952009,20.381002486326867,-23.574203436482307,30.36783289893402,13.204272687713189,-38.26617683588953,-10.15380502718901,19.548989940765104,-10.138046325088043,-10.741643545090733,-1.8414720176997923,-9.69009405328496,-14.87860869472998,-33.09993618030083,8.783917341275185,29.59050443117982
1.02,0.03403403403403403,-23.523936147781384,33.61781551001602,14.52932146448041,7.585989936950909,-34.36017960411123,-15.777104230101674,-10.323820096572382,24.592057806994053,23.827393955633784,3.222152606968977,-36.03570560576399,9.964802171480603,11.006122597010364,-0.16535991077344347,34.45874633338097,-17.896671694268694,2.335948537917747,6.1374926736503115,20.382577232002685,-23.57350303696303,30.36844233646334,13.205956059394197,-38.268462897899504,-10.154127228627562,19.550133415250272,-10.139265795152873,-10.7384138748349,-1.8442644053004764,-9.690750973127763,-14.882763116554104,-33.10195511954925,8.783995865528915,29.592078622076134
1.05,0.035035035035035036,-23.523084186745205,33.616502890985224,14.530721586863416,7.58766502074009,-34.36348395800174,-15.777817221430714,-10.325829913176532,24.59210096172549,23.830627065272793,3.218752624229135,-36.03602166762081,9.964886139553338,11.005262917558072,-0.1654314840353317,34.46033802424804,-17.894409682793004,2.338404983419948,6.138800669596825,20.384163711807826,-23.57273686113142,30.36901329788797,13.207665597820494,-38.270759260295655,-10.154439912013828,19.55127963937214,-10.14050388399865,-10.735072954280087,-1.8471574209830286,-9.691408713589874,-14.887014502848295,-33.10397465530392,8.784063289405685,29.593641245579036
1.08,0.036036036036036036,-23.522164633454686,33.61510583171031,14.532140363696074,7.589378531661924,-34.36683066456005,-15.778525592122726,-10.327870666270966,24.592110591905342,23.833915533816576,3.215239166626547,-36.036285073957934,9.96495644665864,11.004350698736923,-0.16550861953510418,34.46191397101624,-17.892042304320423,2.3409369775068267,6.140147179778732,20.385762127835783,-23.57190470632887,30.36954555312455,13.20940123065394,-38.27306664707373,-10.154742873499343,19.552428964831527,-10.141760613757311,-10.731621459993642,-1.8501528870019692,-9.692067170552304,-14.891362619654144,-33.10599493712603,8.784119894648452,29.595191792818273
1.1099999999999999,0.037037037037037035,-23.5211776186277,33.61362587403935,14.533577985473388,7.591130648685217,-34.37022013642665,-15.779229524814776,-10.32994145712467,24.59208734820199,23.837259427891457,3.2116116140222157,-36.03649615612493,9.965013191972677,11.003385254373033,-0.16559167995064017,34.463473836821,-17.88956894623151,2.343545077321739,6.141533161304616,20.38737269716852,-23.571006359798133,30.370038861507247,13.211162884938277,-38.27538579484044,-10.155035894168249,19.553581760846235,-10.14303600613874,-10.728060102366387,-1.8532526874432167,-9.692726237521386,-14.895807219850337,-33.108016130519516,8.784165975382864,29.596729739814887
1.14,0.03803803803803804,-23.520123286284083,33.612064622285175,14.535034644983671,7.592921554848357,-34.373652787940564,-15.779929208434355,-10.332041362168361,24.592031892649945,23.840658809057636,3.207869341180346,-36.0366552640861,9.965056477271045,11.002365879581166,-0.16568104135281617,34.465017264751644,-17.88698898474382,2.346229853719479,6.142959606296821,20.38899565210071,-23.570041598750223,30.3704929715786,13.21295048710908,-38.27771745330225,-10.155318739781892,19.554738414769123,-10.144330082276676,-10.724389626583946,-1.856458768579276,-9.693385805641448,-14.900348042783637,-33.110038417027475,8.784201838007887,29.598254547363673
1.17,0.03903903903903904,-23.519001793418326,33.61042374276307,14.536510537314498,7.594751437350149,-34.37712903449666,-15.780624838497086,-10.33416943349866,24.59194489830955,23.844113733782812,3.2040117193290025,-36.0367627663801,9.965086407055578,11.001291850806396,-0.1657770934391215,34.46654387760408,-17.884301785874346,2.3489918913786543,6.1444275428149755,20.390631240367213,-23.56901019044585,30.37090762087074,13.21476396300164,-38.28006238576555,-10.155591160515504,19.555899332730586,-10.145642862570156,-10.720610813608797,-1.8597731391980536,-9.694045763715687,-14.904984813898446,-33.11206199432846,8.784227801077817,29.599765660911473
1.2,0.04004004004004004,-23.517813309659793,33.60870496328631,14.538005859861004,7.596620487649827,-34.38064929188242,-15.781316617421798,-10.336324699409001,24.59182704891203,23.847624253416765,3.2000381177949633,-36.036819050076,9.965103088686883,11.000162425875407,-0.1658802397776724,34.468053277633885,-17.881506706460215,2.351831788910962,6.145938035810959,20.39227972537332,-23.567911892292145,30.371282535676865,13.216603237856672,-38.282421369648326,-10.155852890686914,19.557064940306116,-10.14697436652032,-10.716724481171086,-1.863197870901064,-9.694705998236325,-14.90971724436546,-33.1140870763325,8.784244195175177,29.601262510431326
1.23,0.04104104104104104,-23.516558016921017,33.60691007261672,14.53952081233642,7.5985289015767945,-34.384213975593816,-15.782004754863742,-10.33850616494777,24.59167903848992,23.851190414167004,3.195947905713892,-36.036824520725304,9.965106632522684,10.998976844058205,-0.1659908980621127,34.46954504631015,-17.878603095239402,2.3547501589668696,6.147492188115618,20.39394138642732,-23.566746451955428,30.3716174308127,13.218468236323702,-38.28479519700388,-10.156103648477245,19.558235683209638,-10.148324612562424,-10.712731484766245,-1.8667350983664794,-9.69536639342516,-14.91454503070999,-33.11611389327665,8.784251362773913,29.602744510292535
1.26,0.04204204204204204,-23.515236109034795,33.60504091986753,14.541055596784762,7.6004768794505955,-34.3878235001302,-15.78268946806675,-10.34071281250412,24.591501570992737,23.854812257075576,3.1917404538168705,-36.036779602309664,9.965097152062103,10.997734326141021,-0.16610950037790367,34.47101874407071,-17.87559029399324,2.357747628337172,6.149091141457501,20.39561651897477,-23.56551360749095,30.371912009367716,13.22035888246206,-38.28718467505664,-10.15634313564356,19.55941202801334,-10.14969361789289,-10.70863271865735,-1.870387019572159,-9.696026831285703,-14.919467854440473,-33.1181426918197,8.784249658092412,29.60421105912667
1.29,0.043043043043043044,-23.51384779138087,33.60309941385569,14.542610417595542,7.602464626211668,-34.39147827826801,-15.783370982235127,-10.342943602421881,24.591295359887894,23.85848981799713,3.1874151362942063,-36.036684737183826,9.965074764095947,10.996434074511205,-0.16623649348052078,34.472473910079195,-17.872467638752525,2.360824838049861,6.150736077513853,20.397305434833935,-23.564213087490423,30.372165962445866,13.222275099739356,-38.28959062675059,-10.156571037223417,19.56059446289469,-10.151081398291202,-10.70442911688016,-1.8741558959734368,-9.696687191668094,-14.92448538167779,-33.12017373513598,8.784239446935732,29.60566153968952
1.3199999999999998,0.044044044044044044,-23.512393280503066,33.60108752240119,14.54418548152036,7.604492351563373,-34.395178720313204,-15.784049530926147,-10.345197473641894,24.591061127746862,23.862223127578325,3.182971332737322,-36.03654038601345,9.965039588863098,10.995075273254946,-0.16637233908608892,34.47391006198458,-17.869234461068952,2.3639824434616887,6.15242821899411,20.399008462431663,-23.562844611248412,30.372378968895656,13.224216811027336,-38.2920138913104,-10.156787021231306,19.5617834984113,-10.152487967936462,-10.700121654248699,-1.8780440526301012,-9.697347352348114,-14.929597262785942,-33.122207303007805,8.784221106526577,29.607095318719093
