t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
24.66,0.8228228228228228,2.4106256708217626,8.687692172038279,27.560913731562025,40.12511146514158,-16.47196329689018,21.258624928641385,2.4075951016671038,-16.46478944176689,14.991248996323213,-22.80258288354515,-29.05578471868167,-22.72901097697003,33.867499204991624,-35.373046887133626,-16.452753167136066,46.39893880024698,-22.772035264752592,-22.72454992598472,8.698337806105721
24.689999999999998,0.8238238238238238,2.410612429747255,8.687671022936271,27.560877833818235,40.125081037832466,-16.47192738203822,21.258608423117998,2.407578457118014,-16.46476319583305,14.991204964863387,-22.802475259659854,-29.055726407856284,-22.729029136766627,33.86743387013748,-35.3730025105022,-16.4527472551304,46.39891523225202,-22.771974013363476,-22.72456398058373,8.698297184589455
24.72,0.8248248248248248,2.4105991170021404,8.687650116858945,27.560842007203796,40.125050551520246,-16.47189175864196,21.25859197537188,2.4075618895566016,-16.46473722903246,14.991161191282407,-22.802368182062096,-29.0556683922274,-22.729047108179035,33.86736855624318,-35.372957395147054,-16.452741482909826,46.39889169608751,-22.77191311333141,-22.72457806163106,8.698256936714344
24.75,0.8258258258258259,2.410585734747932,8.687629450093683,27.560806251257823,40.125020008799375,-16.471856422504274,21.25857558500516,2.4075453983449697,-16.464711536824428,14.991117672289153,-22.802261645467873,-29.055610668867093,-22.7290648939654,33.8673032660552,-35.37291155722826,-16.452735847816776,46.398868192153195,-22.77185256092545,-22.72459216765151,8.698217057183314
24.779999999999998,0.8268268268268268,2.4105722851067175,8.68760901898193,27.560770565531612,40.12498941221596,-16.47182136949043,21.25855925162324,2.4075289828503306,-16.464686114740324,14.991074404640962,-22.802155644649783,-29.05555323488038,-22.729082496844907,33.86723800226149,-35.37286501264316,-16.452730347238123,46.39884472083843,-22.771792352457116,-22.724606297200676,8.69817754077298
24.81,0.8278278278278278,2.410558770161757,8.687588819918517,27.56073494958835,40.12495876426847,-16.47178659552725,21.258542974834764,2.407512642444997,-16.464660958382552,14.99103138514298,-22.802050174436562,-29.05549608740491,-22.729099919498225,33.86717276749234,-35.37281777703008,-16.45272497860454,46.398821282522356,-22.771732484280022,-22.72462044886443,8.698138382332791
24.84,0.8288288288288288,2.410545191958074,8.687568849350976,27.560699403002836,40.124928067408455,-16.471752096602295,21.25852675425164,2.4074963765063777,-16.46463606342355,14.990988610647536,-22.801945229712608,-29.05543922361066,-22.729117164567985,33.86710756432137,-35.372769865771915,-16.45271973938985,46.39879787757407,-22.771672952789483,-22.72463462125843,8.698099576784191
24.869999999999997,0.8298298298298298,2.4105315525030395,8.687549103778885,27.56066392536119,40.12489732404128,-16.471717868763076,21.258510589488996,2.407480184416972,-16.46461142560482,14.9909460780535,-22.801840805417516,-29.05538264069962,-22.729134234659217,33.867042395266424,-35.37272129399972,-16.452714627110392,46.398774506352794,-22.771613754422134,-22.724648813027596,8.69806111911977
24.9,0.8308308308308309,2.410517853766949,8.687529579753196,27.560628516260604,40.12486653652681,-16.47168390811624,21.258494480165187,2.407464065564359,-16.46458704073593,14.990903784305672,-22.80173689654562,-29.05532633590551,-22.729151132339805,33.86697726279044,-35.37267207659625,-16.452709639324418,46.39875116920807,-22.77155488565555,-22.724663022845636,8.69802300440243
24.93,0.8318318318318318,2.4105040976835905,8.687510273875588,27.56059317530905,40.12483570718011,-16.47165021082678,21.258478425901775,2.40744801934119,-16.46456290469356,14.99086172639415,-22.80163349814552,-29.05527030649346,-22.72916786014093,33.86691216930241,-35.37262222819947,-16.45270477363145,46.39872786647991,-22.77149634300786,-22.724677249414555,8.697985227764562
24.96,0.8328328328328328,2.4104902861508077,8.687491182797812,27.56055790212504,40.124804838272155,-16.471616773117265,21.25846242632352,2.407432045145179,-16.46453901342056,14.990819901353733,-22.801530605319623,-29.055214549759715,-22.72918442055752,33.86684711715819,-35.37257176320596,-16.452700027671682,46.39870459849897,-22.771438123037377,-22.724691491464167,8.697947784407217
24.99,0.8338338338338338,2.4104764210310554,8.68747230322105,27.560522696337348,40.124773932030465,-16.471583591267052,21.258446481058357,2.4074161423790907,-16.46451536292498,14.990778306263307,-22.801428213223677,-29.055159063031343,-22.729200816048678,33.86678210866142,-35.3725206957744,-16.45269539912538,46.39868136558672,-22.771380222342202,-22.72470574775164,8.697910669599294
25.02,0.8348348348348348,2.410462504151946,8.68745363189528,27.560487557584768,40.124742990639824,-16.47155066161153,21.258430589737394,2.4074003104507287,-16.464491949279164,14.99073693824525,-22.801326317066305,-29.05510384366593,-22.729217049038127,33.86671714606435,-35.37246903982888,-16.45269088571228,46.39865816805558,-22.77132263755987,-22.724720017061006,8.697873878676724
