t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
23.34,0.7787787787787788,-21.505728713442497,-2.6523229810383624,9.921661692458768,-21.513980162059582,35.07553831708468,-34.080413398446055,9.917869668330892,-21.506206398039478,-2.6455615716071965,-8.937191799219223,-8.942768295080185,35.073046246490115,-21.503839744350962,22.49808106181558,9.91577084925546,16.209438168638428,-34.07801532725542,-34.08457101611951,-27.790496018059276,22.488424033090816,35.050810434502125,9.914649274464502,-34.08182283673014,-40.366601930643824,9.912180080723182,22.49584496977441,28.770342519048718,35.05890025469025,3.6335287292190643,9.919664206579522
23.369999999999997,0.7797797797797797,-21.505721327733834,-2.65232041460639,9.921653992984758,-21.513961644381382,35.07550243115465,-34.080394981644076,9.917867045048947,-21.50619847092072,-2.645568299197955,-8.937187097842486,-8.942756126096395,35.07301383394746,-21.5038350115366,22.49805992571984,9.915771179311688,16.209424392555,-34.078000419185365,-34.084547091186906,-27.790486547044043,22.488416023865,35.05080791415267,9.914650938615745,-34.08180253742389,-40.36657961790073,9.912185149927321,22.495826893425704,28.77033618181474,35.05888697678921,3.633527650522519,9.919659370940302
23.4,0.7807807807807807,-21.505713961412088,-2.6523178557880818,9.92164631433112,-21.513943176923583,35.07546664272313,-34.08037661400186,9.917864428715243,-21.506190564260336,-2.645575007937803,-8.937182409414278,-8.94274399049879,35.07298150878539,-21.50383029032106,22.498038847169372,9.915771507606378,16.209410653628648,-34.077985549385815,-34.08452323022023,-27.79047710098878,22.48840803540601,35.05080539891938,9.914652598083432,-34.08178229240502,-40.36655736443823,9.912190204702933,22.495808865980248,28.77032986089899,35.058873733117984,3.633526574532683,9.919654547469806
23.43,0.7817817817817818,-21.50570661440033,-2.65231530454784,9.921638656411684,-21.51392475947742,35.0754309513842,-34.08035829531967,9.917861819301672,-21.506182677979172,-2.645581697908353,-8.93717773387955,-8.942731888146438,35.072949270644436,-21.503825580663225,22.498017825923675,9.915771834151798,16.2093969517062,-34.07797071771044,-34.08449943295922,-27.790467679793867,22.488400067633076,35.050802888790685,9.91465425288776,-34.081762101452426,-40.36653517001725,9.912195245113736,22.495790887235337,28.77032355623844,35.05886052354464,3.633525501239607,9.91964973612305
23.46,0.7827827827827828,-21.505699286622043,-2.6523127608503034,9.921631019140769,-21.513906391835317,35.07539535673428,-34.0803400253989,9.917859216780286,-21.50617481199847,-2.6455883691907345,-8.93717307118357,-8.942719818899224,35.07291711916716,-21.50382088252217,22.49799686174363,9.915772158960115,16.20938328663534,-34.07795592401367,-34.08447569914506,-27.790458283360213,22.48839212046585,35.050800383755025,9.914655903048804,-34.08174196434619,-40.366513034400036,9.912200271223059,22.495772956989413,28.770317267770412,35.05884734793791,3.633524430633386,9.919644936855263
23.49,0.7837837837837838,-21.505691978001117,-2.652310224660342,9.921623402433179,-21.513888073790874,35.07535985837208,-34.080321804042,9.91785662112329,-21.506166966239885,-2.6455950218655944,-8.93716842127194,-8.942707782617845,35.07288505399809,-21.50381619585714,22.497975954391485,9.915772482043389,16.209369658264613,-34.077941168150645,-34.08445202852035,-27.790448911589266,22.48838419382439,35.05079788380082,9.91465754858653,-34.08172188086764,-40.36649095735013,9.912205283093844,22.49575507504207,28.770310995432528,35.05883420616722,3.6335233627041617,9.919640149621886
23.52,0.7847847847847848,-21.50568468846184,-2.652307695943055,9.9216158062042,-21.513869805138867,35.075324455898574,-34.08030363105254,9.917854032303046,-21.506159140625474,-2.6456016560131013,-8.937163784090567,-8.9426957791638,35.07285307478376,-21.50381152062757,22.497955103630847,9.915772803413578,16.209356066443405,-34.07792644997723,-34.08442842082912,-27.790439564383007,22.48837628762918,35.0507953889165,9.914659189520782,-34.081701850799284,-40.36646893863235,9.912210280788651,22.49573724119403,28.770304739162746,35.05882109810263,3.633522297442121,9.919635374378567
23.55,0.7857857857857857,-21.505677417928915,-2.652305174663772,9.92160823036959,-21.513851585675233,35.07528914891701,-34.080285506235136,9.917851450292066,-21.506151335077696,-2.6456082717129505,-8.937159159585681,-8.942683808399392,35.072821181172635,-21.50380685679306,22.497934309226675,9.915773123082536,16.209342511021955,-34.07791176935,-34.08440487581678,-27.790430241643936,22.488368401801097,35.05079289909048,9.914660825871296,-34.081681873924836,-40.366446978012796,9.91221526436966,22.49571945524714,28.770298498899333,35.058808023614866,3.6335212348374935,9.919630611081162
23.58,0.7867867867867868,-21.505670166327434,-2.652302660788047,9.921600674845584,-21.513833415197062,35.07525393703287,-34.08026742939549,9.917848875063013,-21.50614354951941,-2.645614869044366,-8.937154547703825,-8.942671870187715,35.07278937281516,-21.5038022043134,22.49791357094526,9.915773441062019,16.20932899185133,-34.077897126126274,-34.084381393230146,-27.790420943275077,22.488360536261432,35.05079041431118,9.914662457657695,-34.08166195002921,-40.366425075258825,9.912220233898674,22.495701717004373,28.77029227458088,35.05879498257532,3.6335201748805552,9.919625859685738
23.61,0.7877877877877878,-21.50566293358289,-2.6523001542816593,9.921593139548888,-21.513815293502592,35.07521881985387,-34.080249400340364,9.917846306588707,-21.50613578387387,-2.6456214480861053,-8.93714994839185,-8.942659964392648,35.07275764936369,-21.503797563148545,22.497892888554233,9.91577375736368,16.20931550878343,-34.07788252016406,-34.08435797281743,-27.79041166917997,22.48835269093188,35.05078793456702,9.914664084899483,-34.08164207889848,-40.366403230139056,9.912225189437121,22.495684026269807,28.77028606614628,35.05878197485603,3.6335191175616273,9.919621120148564
