Time,mean_NED,lower_NED,upper_NED,mean_NED_ab,lower_NED_ab,upper_NED_ab,mean_NED_t,lower_NED_t,upper_NED_t
0.52,1.0004168845002967e-07,-3.5912371821287295e-08,2.3599574872134663e-07,0.00205702524230055,0.001795551694488125,0.0023184987901129746,0.001573546169432364,0.0011725167926189715,0.0019745755462457566
0.53,1.009817402250394e-07,-3.624436964705922e-08,2.3820785009713803e-07,0.0020729277617500125,0.0018093750779953842,0.0023364804455046407,0.0016181929249427728,0.001188800567132466,0.00204758528275308
0.54,1.0190526338897185e-07,-3.656992188800333e-08,2.40380448665947e-07,0.0020885142472332765,0.0018229207039475396,0.0023541077905190133,0.0016657217363833243,0.0012046779384324547,0.002126765534334194
0.55,1.0281276052461735e-07,-3.688921420446883e-08,2.425147352537035e-07,0.0021037962871567678,0.0018361987503501956,0.00237139382396334,0.0017164935384404733,0.001220034898638379,0.0022129521782425676
0.56,1.0370471663950257e-07,-3.720242701468111e-08,2.4461186029368627e-07,0.0021187849771670993,0.0018492189629930786,0.00238835099134112,0.0017709269960368664,0.00123473156414247,0.002307122427931263
0.5700000000000001,1.0458159979651433e-07,-3.750973571196047e-08,2.466729353049891e-07,0.0021334909446911014,0.0018619906768984412,0.002404991212483762,0.001829510794097199,0.0012485956956146734,0.0024104258925797244
0.58,1.0544386172011235e-07,-3.781131087168676e-08,2.4869903431191145e-07,0.0021479243721254622,0.0018745228366013834,0.002421325907649541,0.0018928191287830097,0.001261414320459476,0.0025242239371065433
0.59,1.0629193837569267e-07,-3.810731845311911e-08,2.506911952045045e-07,0.0021620950187559783,0.0018868240153297276,0.002437366022182229,0.0019615313584861464,0.001272922861852824,0.002650139855119469
0.6,1.0712625052515541e-07,-3.8397919993274266e-08,2.526504210435851e-07,0.0021760122414792734,0.0018989024331444015,0.0024531220498141453,0.0020364570721024323,0.0012827909869836175,0.002790123157221247
0.61,1.0794720426163811e-07,-3.8683272791945614e-08,2.5457768131522183e-07,0.002189685014392588,0.0019107659740943486,0.0024686040546908275,0.0021185682082955517,0.0012906041439167855,0.002946532272674318
0.62,1.0875519151728018e-07,-3.896353009506299e-08,2.5647391312962333e-07,0.002203121947309862,0.001922422202432753,0.0024838216921869707,0.002209040304706962,0.0012958394649134242,0.0031222411445005
