Time,mean_smape,lower_smape,upper_smape,mean_smape_ab,lower_smape_ab,upper_smape_ab,mean_smape_t,lower_smape_t,upper_smape_t,mean_smape_AIC,lower_smape_AIC,upper_smape_AIC
2.44,1.3761122996959748e-08,1.179054477380524e-08,1.5731701220114255e-08,0.30093555747296047,0.2530977113546169,0.34877340359130404,0.6494157292231151,0.5723114058525254,0.7265200525937048,9.040505429240063e-09,7.770252352912455e-09,1.0310758505567671e-08
2.45,1.3749783981753414e-08,1.178111870713451e-08,1.571844925637232e-08,0.30088679462308104,0.25305307178144215,0.34872051746471994,0.6494084136254838,0.5723048867247322,0.7265119405262355,9.03323093337604e-09,7.764104021161761e-09,1.0302357845590318e-08
2.46,1.3738480270585407e-08,1.1771722154395616e-08,1.57052383867752e-08,0.30083797385762673,0.25300837595717235,0.3486675717580811,0.6494011139659877,0.5722983817478462,0.7265038461841291,9.025979234813852e-09,7.75797496567415e-09,1.0293983503953555e-08
2.47,1.3727211729643603e-08,1.1762355004185643e-08,1.5692068455101562e-08,0.300789095224723,0.25296362392366467,0.3486145665257814,0.6493938302403802,0.572291890918419,0.7264957695623414,9.018750253844049e-09,7.751865120913014e-09,1.0285635386775084e-08
2.48,1.3715978239850908e-08,1.1753017157547025e-08,1.5678939322154792e-08,0.30074015877186444,0.2529188157221913,0.34856150182153756,0.6493865624444429,0.5722854142330265,0.7264877106558594,9.011543907966757e-09,7.745774415254246e-09,1.0277313400679268e-08
2.49,1.3704779668563744e-08,1.174370850182872e-08,1.566585083529877e-08,0.30069116454591555,0.2528739513934405,0.3485083776983906,0.6493793105739825,0.5722789516882655,0.7264796694596994,9.004360118759665e-09,7.739702784242851e-09,1.026901745327648e-08
2.5,1.3693615892785877e-08,1.1734428936225113e-08,1.5652802849346642e-08,0.3006421125931106,0.2528290309775157,0.34845519420870547,0.6493720746248364,0.5722725032807605,0.7264716459689122,8.997198809873893e-09,7.733650163477528e-09,1.0260747456270257e-08
2.5100000000000002,1.3682486796583227e-08,1.1725178365658293e-08,1.5639795227508163e-08,0.3005930029590553,0.2527840545139378,0.34840195140417274,0.6493648545928659,0.5722660690071554,0.7264636401785763,8.990059892152723e-09,7.727616476841979e-09,1.0252503307463468e-08
2.52,1.3671392245327168e-08,1.1715956675992067e-08,1.562682781466227e-08,0.30054383568872695,0.2527390220416448,0.3483486493358091,0.6493576504739623,0.5722596488641206,0.726455652083804,8.982943295204275e-09,7.721601665297325e-09,1.0244284925111225e-08
2.5300000000000002,1.366033211477994e-08,1.170676376282415e-08,1.5613900466735732e-08,0.30049461082647483,0.2526939335989917,0.34829528805395793,0.6493504622640445,0.5722532428483501,0.7264476816797388,8.97584893394695e-09,7.715605659287361e-09,1.0236092208606539e-08
