t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
10.540000000000001,0.5275275275275275,-5.294472248946517,0.9904313789030733,33.049399260168535,14.226870602938343,-18.374125943538996,-29.29662772020733,21.468492425168836,9.108995643736298,-8.902870256798897,6.260632976606173,7.631387716927128,-30.563560726033305,0.9402159783784964
10.56,0.5285285285285285,-5.29283016437038,0.9960179454586692,33.04919401380707,14.227057254650552,-18.3700808600849,-29.29764813317959,21.46644215815653,9.10538113202479,-8.915792278933939,6.265874760499018,7.631228712474461,-30.562421885086064,0.9423464318856214
10.58,0.5295295295295295,-5.291160940310148,1.0016516336459695,33.04900139152006,14.227264473555833,-18.366019313781287,-29.298670239238948,21.464379784559508,9.101724916271145,-8.928845776380097,6.271114989955739,7.63109012053045,-30.56126285536253,0.9445009023361408
10.6,0.5305305305305306,-5.289464460379578,1.007331408190021,33.04882152867774,14.227492262728942,-18.361941114045003,-29.29969401052601,21.462305069304332,9.098026259517841,-8.942029788152569,6.2763537834935725,7.6309721017695695,-30.560083465343165,0.9466795120661436
10.620000000000001,0.5315315315315315,-5.287740619921643,1.013056142441864,33.0486545588258,14.227740610583552,-18.357846082839977,-29.3007194204082,21.460217773254243,9.094284435507891,-8.955343214405444,6.281591261550886,7.630874815363776,-30.55888354401047,0.9488823713595532
10.64,0.5325325325325325,-5.285989326742805,1.0188246163467307,33.048500613447416,14.228009490114276,-18.35373405534226,-29.301746443525033,21.458117653366557,9.090498730407125,-8.968784812475118,6.2868275463546945,7.630798418731316,-30.55766292109827,0.9511095777172053
10.66,0.5335335335335335,-5.284210501854783,1.0246355146107042,33.04835982171448,14.228298858132234,-18.34960488061267,-29.3027750558338,21.456004462866687,9.086668444589051,-8.98235319313015,6.292062761781428,7.630743067273068,-30.556421427353424,0.9533612151190076
10.68,0.5345345345345345,-5.28240408022145,1.0304874250887728,33.04823231022813,14.228608654496986,-18.345458422274895,-29.30380523465554,21.453877951439306,9.082792894479073,-8.996046817057488,6.297297033210884,7.6307089140963935,-30.55515889480989,0.9556373532815445
10.700000000000001,0.5355355355355356,-5.280570011508278,1.0363788374175402,33.04811820274863,14.228938801347928,-18.341294559196847,-29.304836958721342,21.451737865437174,9.078871414454278,-9.00986399161572,6.302530487373322,7.630696109726538,-30.553875157075094,0.9579380469136937
10.72,0.5365365365365365,-5.278708260831569,1.0423081419159985,33.04801761991474,14.2292892023385,-18.337113186172783,-29.305870208218778,21.449583948108103,9.074903358794366,-9.023802867886568,6.307763252189674,7.630704801805667,-30.552570049628542,0.9602633349730215
10.74,0.5375375375375375,-5.276818809504487,1.0482736287777032,33.047930678952746,14.22965974187684,-18.33291421460358,-29.306904964838512,21.447415939840443,9.070888103678708,-9.037861438056128,6.312995456604887,7.630735134779706,-30.551243410132418,0.9626132399259197
10.76,0.5385385385385385,-5.2749016557767305,1.054273487577417,33.047857493375545,14.230050284376757,-18.328697573172406,-29.30794121182094,21.445233578427477,9.066825049223896,-9.052037533157435,6.3182272304144185,7.630787249573198,-30.549895078754005,0.9649877670146348
10.78,0.5395395395395395,-5.272956815564492,1.060305807114763,33.04779817267198,14.230460673523138,-18.324463208512864,-29.308978934002766,21.443036599350986,9.06271362155544,-9.06632882120572,6.323458704083949,7.630861283252484,-30.54852489849959,0.9673869035345214
10.8,0.5405405405405406,-5.27098432316719,1.066368575616654,33.04775282198688,14.230890731556178,-18.3202110858665,-29.31001811786349,21.44082473608425,9.058553274906753,-9.080732805757204,6.328690008562402,7.630957368677571,-30.547132715559492,0.9698106181250189
10.82,0.5415415415415415,-5.268984231967289,1.0724596813192118,33.04772154179234,14.231340258578983,-18.315941189726516,-29.31105875157162,21.438597720414577,9.054343493737813,-9.095246824921476,6.333921275088392,7.631075634143154,-30.545718379663747,0.9722588600780041
10.84,0.5425425425425425,-5.266956615109386,1.0785769134485659,33.04770442755075,14.231809031893379,-18.311653524464326,-29.31210082503059,21.436355282785488,9.05008379486535,-9.109868050856317,6.33915263499025,7.631216203009317,-30.544281744447954,0.9747315586673079
10.86,0.5435435435435435,-5.264901566154643,1.0847179636182969,33.047701569370226,14.232296805368842,-18.307348114935557,-29.313144329924214,21.43409715265845,9.0457737295958,-9.124593489772348,6.344384219479824,7.6313791933225374,-30.542822667828673,0.9772286225033008
10.88,0.5445445445445445,-5.2628191997065095,1.0908804276593695,33.047713051653204,14.23280330884971,-18.303025007061994,-29.314189259761573,21.431823058894103,9.041412885851685,-9.139419982473003,6.34961615944027,7.631564717427713,-30.54134101238768,0.9797499389165445
