t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.66,0.03303303303303303,30.197634731051313,-27.79142253794834,-37.476451670933606,-22.054548182542,-40.926762321316765,33.80095617451788,22.839434747557704,15.282831429042524,-29.491359555456864,19.669582482787202,-10.593736867992545,34.67000317724783,-24.190688151118355,1.8579096914334483,32.94792281869446,-23.984583444635888,25.90882430353981,-11.970336661672489,21.034483212568983,2.4590195299643427,-10.423669680356191
0.68,0.03403403403403403,30.19642425494832,-27.793765805012136,-37.47550529458037,-22.056032438729407,-40.93068605269948,33.80312617225844,22.84026348951943,15.282381015840306,-29.491559587294464,19.672044404411743,-10.593698016491008,34.67043118342132,-24.18996462946952,1.8591705485960615,32.94899417766254,-23.984877318906115,25.910561890970904,-11.970402577558682,21.03508423884496,2.4589357653844317,-10.425882196684825
0.7000000000000001,0.035035035035035036,30.19513594297388,-27.79615050965271,-37.47448184639546,-22.057536241069716,-40.93467825807037,33.80532216020141,22.84108914057893,15.281899138562272,-29.491729008341384,19.674565697534224,-10.593646368661814,34.670827476536275,-24.18919049889203,1.860467282056221,32.95005654395312,-23.985150179406283,25.912320584884917,-11.970453837257686,21.035674987965173,2.4588476436568745,-10.428146626723384
0.72,0.036036036036036036,30.19376926843997,-27.798576976614072,-37.47338111413392,-22.059059737925217,-40.938738828984924,33.807544235813324,22.841911632984157,15.281385865065582,-29.491867719075216,19.677147027973298,-10.59358204527862,34.67119183808569,-24.188365886272646,1.8617998929406028,32.951109878064095,-23.98540200718656,25.914100407694153,-11.97049028272687,21.036255258673926,2.458755286893412,-10.430462769997701
0.74,0.037037037037037035,30.192323682018248,-27.801045537026162,-37.472202882985,-22.06060308258427,-40.94286764824974,33.809792499415764,22.842730896291712,15.280841265789423,-29.491975615906995,19.67978907466049,-10.593505171451481,34.67152404498652,-24.187490925528415,1.8631683828060879,32.95215414565004,-23.985632786126992,25.915901384802275,-11.97051175309499,21.036824848327317,2.4586588224875157,-10.432830419848898
0.76,0.03803803803803804,30.190798611639714,-27.80355652832865,-37.470946935749396,-22.06216643317534,-40.947064589492946,33.81206705415182,22.84354685730785,15.280265413752133,-29.492052591148457,19.68249252944051,-10.593415876672328,34.67182386955694,-24.186565757600526,1.8645727535252483,32.95318931750689,-23.985842502971646,25.91772354454654,-11.970518084730823,21.03738355299208,2.458558383126404,-10.43524936324356
0.78,0.03903903903903904,30.189193462394112,-27.806110294188553,-37.46961305302637,-22.063749952576256,-40.95132951672571,33.81436800595091,22.844359440026857,15.279658384548222,-29.492098532979735,19.685258096856145,-10.593314294859674,34.67209107949646,-24.18559053044845,1.8660130071714076,32.95421536955712,-23.986031147362773,25.919566918139513,-11.970509111314698,21.037931167548862,2.4584541068036154,-10.437719380578551
0.8,0.04004004004004004,30.187507616429702,-27.80870718441136,-37.46820101341099,-22.065353808318402,-40.955662283894746,33.81669546349192,22.84516856556677,15.279020256345309,-29.492113325417595,19.68808649391689,-10.593200564402435,34.67232543786906,-24.184565399044402,1.8674891459033416,32.9552322828355,-23.986198711874923,25.921431539610214,-11.97048466391297,21.03846748580005,2.4583461368320854,-10.440240245480572
0.8200000000000001,0.04104104104104104,30.185740432853823,-27.811347554845238,-37.46671059370152,-22.066978172485562,-40.96006273442617,33.819049538164414,22.84597415210237,15.278351109880923,-29.4920968482844,19.690978449850427,-10.593074828202683,34.67252670308953,-24.183490525368057,1.8690011718496922,32.95624004347541,-23.98634519204895,25.923317445744768,-11.970444571055562,21.03899230058212,2.4582346218576703,-10.442811724600556
0.84,0.04204204204204204,30.183891247634854,-27.814031767277978,-37.46514156911727,-22.068623221607155,-40.96453070076059,33.82143034402786,22.846776114795418,15.277651028459186,-29.49204897717787,19.693934705836053,-10.5929372337172,34.672694628913206,-24.182366078401547,1.8705490869931671,32.95723864269563,-23.986470586425867,25.92522467602652,-11.970388658816598,21.03950540388259,2.4581197158730634,-10.445433577403033
0.86,0.043043043043043044,30.181959373506135,-27.816760189326303,-37.46349371352695,-22.070289136545572,-40.96906600387975,33.82383799776857,22.847574365722043,15.276920097947333,-29.491969583441822,19.696956014719138,-10.592787932997664,34.67282896442943,-24.181192234124676,1.8721328930545997,32.95822807678781,-23.986574896580407,25.92715327257567,-11.97031675089821,21.040006586961606,2.4580015782320332,-10.448105555950567
0.88,0.044044044044044044,30.17994409987249,-27.819533194317103,-37.461766799687716,-22.07197610237733,-40.973668452824796,33.826272618654286,22.848368813797283,15.276158406772062,-29.491858534138064,19.700043140705628,-10.59262708272932,34.67292945405881,-24.17996917551038,1.8737525913769484,32.95920834710449,-23.986658127154335,25.929103280088405,-11.970228668717612,21.04049564047818,2.4578803736639165,-10.450827404683398
0.9,0.04504504504504504,30.17784469272,-27.8223511611602,-37.45996059949507,-22.073684308267712,-40.97833784420635,33.82873432848612,22.849159364696696,15.275366045915703,-29.49171569201955,19.70319685903565,-10.592454844267936,34.672995837554666,-24.17869709252034,1.8754081828093114,32.96017946004766,-23.98672028588932,25.93107474577559,-11.970124231497458,21.04097235462112,2.457756272288286,-10.453598860194427
0.92,0.04604604604604605,30.175660394529775,-27.82521447421217,-37.45807488424375,-22.075413947338607,-40.983073961706666,33.831223251547755,22.84994592077498,15.274543108912178,-29.49154091550504,19.706417955635175,-10.592271383674905,34.67302785000879,-24.17737618210079,1.8770996675910414,32.96114142705801,-23.986761383659363,25.933067719300944,-11.97000325635958,21.04143651924466,2.457629449629712,-10.456419650999699
0.9400000000000001,0.04704704704704705,30.17339042419641,-27.82812352313085,-37.45610942489976,-22.077165216529238,-40.98787657557402,33.83373951455157,22.85072838098157,15.273689691842742,-29.491334058655408,19.70970722674474,-10.592076871750313,34.673025221861884,-24.176006648178397,1.8788270452360358,32.96209426460468,-23.98678143450269,25.93508225271881,-11.969865558422166,21.041887924008847,2.457500086632527,-10.459289497304523
